# Test Instrument: Cary 5000 (2223)
#
# Part No.: 100FL07-25
# Lot No.: 42128
# Serial No.: 26
# A.O.I. (deg): 0  (RANDOM Pol.)
# Temp. (C.): 23
#
Wavelength (nm),Tx. (%)
850.000000000,90.837089540
851.000000000,90.872413640
852.000000000,90.914916990
853.000000000,90.944427490
854.000000000,91.003341670
855.000000000,91.063194270
856.000000000,91.120918270
857.000000000,91.192230220
858.000000000,91.254684450
859.000000000,91.321823120
860.000000000,91.408615110
861.000000000,91.466323850
862.000000000,91.545684810
863.000000000,91.611457820
864.000000000,91.696861270
865.000000000,91.741546630
866.000000000,91.830039980
867.000000000,91.879730220
868.000000000,91.962379460
869.000000000,92.010261540
870.000000000,92.082015990
871.000000000,92.125389100
872.000000000,92.186187740
873.000000000,92.196731570
874.000000000,92.254676820
875.000000000,92.293930050
876.000000000,92.297142030
877.000000000,92.334999080
878.000000000,92.347457890
879.000000000,92.349792480
880.000000000,92.369720460
881.000000000,92.368637080
882.000000000,92.359504700
883.000000000,92.357948300
884.000000000,92.345169070
885.000000000,92.322784420
886.000000000,92.312423710
887.000000000,92.287849430
888.000000000,92.247924800
889.000000000,92.219108580
890.000000000,92.180389400
891.000000000,92.123901370
892.000000000,92.089477540
893.000000000,92.044517520
894.000000000,91.979774480
895.000000000,91.928878780
896.000000000,91.866310120
897.000000000,91.832496640
898.000000000,91.753166200
899.000000000,91.688423160
900.000000000,91.618019100
901.000000000,91.544219970
902.000000000,91.502105710
903.000000000,91.407669070
904.000000000,91.339500430
905.000000000,91.276443480
906.000000000,91.208061220
907.000000000,91.153015140
908.000000000,91.083633420
909.000000000,91.010528560
910.000000000,90.950134280
911.000000000,90.893417360
912.000000000,90.840538020
913.000000000,90.795036320
914.000000000,90.767723080
915.000000000,90.721946720
916.000000000,90.705146790
917.000000000,90.689918520
918.000000000,90.682701110
919.000000000,90.686309810
920.000000000,90.703430180
921.000000000,90.724502560
922.000000000,90.769454960
923.000000000,90.807685850
924.000000000,90.866867070
925.000000000,90.924690250
926.000000000,91.008148190
927.000000000,91.067077640
928.000000000,91.162155150
929.000000000,91.250785830
930.000000000,91.343101500
931.000000000,91.442527770
932.000000000,91.542434690
933.000000000,91.633895870
934.000000000,91.728256230
935.000000000,91.815261840
936.000000000,91.854515080
937.000000000,91.913436890
938.000000000,91.949371340
939.000000000,91.944480900
940.000000000,91.918472290
941.000000000,91.873672490
942.000000000,91.740501400
943.000000000,91.607406620
944.000000000,91.449897770
945.000000000,91.185607910
946.000000000,90.950622560
947.000000000,90.575942990
948.000000000,90.194168090
949.000000000,89.760986330
950.000000000,89.263900760
951.000000000,88.731101990
952.000000000,88.129981990
953.000000000,87.471015930
954.000000000,86.777999880
955.000000000,86.054351810
956.000000000,85.289192200
957.000000000,84.509490970
958.000000000,83.696136470
959.000000000,82.854965210
960.000000000,82.009628300
961.000000000,81.184814450
962.000000000,80.363349910
963.000000000,79.533981320
964.000000000,78.773460390
965.000000000,78.008880620
