Sample,Sample ID,Degassing Time (h),Laser Power Setpoint (%),Base Pressure (mTorr),Peak Pressure (mTorr),Peak dt (s),Density (g/cm^3),Sample Diameter (cm),Erosion Rate (cm/s),Erosion Rate Error (cm/s),Outgassing Rate (Torr L / s),Outgassing Rate (Torr L / s m2),Mean particle velocity (cm/s),Particle velocity std (cm/s),Particle velocity mode (cm/s),N
66 h,R3N40,66,100,7,34,2.93035984,0.918,0.917,0.115,0.005,0.215468418,3.26E+03,41,6,35,17
12 h,R3N20,12,100,3.8,31,2.936405182,0.798,0.904,0.18,0.007,0.249428793,3.89E+03,28,23,10,31
4 h,R3N40,4,100,10,37,2.840214729,0.918,0.917,0.327,0.007,0.244537849,3.70E+03,26,25,8,83
1 h,R3N20,1,100,8.7,42,2.96841526,0.798,0.904,0.258,0.008,0.300979116,4.69E+03,43,34,11,52
-2.5 h,R3N40,-2.5,100,24,72,2.86316061,0.918,0.916,0.132,0.006,0.407972223,6.19E+03,49,21,46,25
-3.5 h,R3N40,-3.5,100,33,65,2.837873697,0.918,0.917,0.175,0.005,0.289237678,4.38E+03,51,9,59,50
0.2 h,R3N40,0.2,100,180,310,2.829761028,0.918,0.917,0.201,0.006,0.780949337,1.18E+04,65,17,59,56
1 h,R4N41,1,100,180,280,2.770968676,0.918,0.923,0.368,0.007,0.683587663,1.02E+04,58,22,49,110
1 h,R3N41,1,100,5.7,39,2.843712807,0.918,0.923,0.231,0.006,0.303075964,4.53E+03,55,35,41,68
1h,R3N18,12,100,4.4,15,2.907102585,0.82,0.93,0.3,0.006,0.093392645,1.37E+03,56,31,43,121
1h,R3N18,12,100,4.7,11,2.801051855,0.82,0.93,0.19,0.006,0.05973506,8.79E+02,46,28,18,71
0h,R3N58,1,100,21,36,1.947298288,0.918,0.916,0.205,0.01,0.097273233,1.48E+03,40,29,35,30
0h,R3N58,1,100,12,20,1.749400854,0.918,0.916,0.063,0.005,0.072184714,1.10E+03,41,22,23,8
24 h,R3N58,24,100,4.8,11,2.75019002,0.918,0.916,0.079,0.006,0.053952272,8.19E+02,26,13,22,18
1 h,GT001688,1,100,43,64,6.872556448,1.723,0.966,0.002,0.001,0.022968163,3.13E+02,0,0,0,0
