element	sp_num	obs_wl_vac(nm)	unc_obs_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref
O	2	"350.2671"	"0.0010"	"4"	""		"28.8525664"	"32.392272"	"2s2.2p2.(3P).3d"	"4D"	"1/2"	"2s2.2p2.(3P).5p"	"4P*"	"3/2"		""	"L10621"
O	2	"350.6842"	"0.0010"	"6"	""		"28.8568239"	"32.392272"	"2s2.2p2.(3P).3d"	"4D"	"3/2"	"2s2.2p2.(3P).5p"	"4P*"	"3/2"		""	"L10621"
O	2	"350.8419"	"0.0010"	"3"	""		"28.8525664"	"32.386467"	"2s2.2p2.(3P).3d"	"4D"	"1/2"	"2s2.2p2.(3P).5p"	"4P*"	"1/2"		""	"L10621"
O	2	"351.2659"	"0.0010"	"5"	""		"28.8568239"	"32.386467"	"2s2.2p2.(3P).3d"	"4D"	"3/2"	"2s2.2p2.(3P).5p"	"4P*"	"1/2"		""	"L10621"
C	1	"351.5806"	"0.0005"	"6000"	""		"7.48779869"	"11.014279"	"2s2.2p.3s"	"3P*"	"2"	"2s2.2p.(2P*<3/2>).8p"	"2[5/2]"	"3"		""	"L17684"
O	2	"351.5828"	"0.0010"	"2"	"2.22e+05"	D	"28.512453"	"32.038913"	"2s2.2p2.(1D).3p"	"2D*"	"3/2"	"2s2.2p2.(3P).5s"	"2P"	"1/2"		"T5723LS"	"L10621"
O	2	"351.7032"	"0.0010"	"3"	""		"28.8570199"	"32.382266"	"2s2.2p2.(3P).3d"	"4D"	"5/2"	"2s2.2p2.(3P).5p"	"4D*"	"7/2"		""	"L10621"
O	2	"351.7800"	"0.0010"	"4"	""		"28.8577953"	"32.382266"	"2s2.2p2.(3P).3d"	"4D"	"7/2"	"2s2.2p2.(3P).5p"	"4D*"	"7/2"		""	"L10621"
O	2	"351.8313"	"0.0010"	"1"	""		"28.8307832"	"32.354745"	"2s2.2p2.(3P).3d"	"4P"	"3/2"	"2s2.2p2.(3P).5p"	"4D*"	"3/2"		""	"L10621"
C	1	"351.9320"	"0.0010"	"2700"	""		"7.48277598"	"11.005709"	"2s2.2p.3s"	"3P*"	"1"	"2s2.2p.(2P*<1/2>).8p"	"2[3/2]"	"1"		""	"L17684"
