# T_fit 3346 -/+ 25 K
# I_fit 5.012E-04 -/+ 1.705E-05 
Wavelength (nm),Radiance (W/cm^2/ster/nm),Radiance error (W/cm^2/ster/nm)
200.0,8.577440389330913e-09,1.1581472087466112e-09
201.0,9.310702184415789e-09,1.2496239241641095e-09
202.0,1.0097200032470421e-08,1.3470981291812014e-09
203.0,1.0940056097056915e-08,1.4508737756930282e-09
204.0,1.1842525896304003e-08,1.5612647774361076e-09
205.0,1.2808001245042163e-08,1.6785950661330505e-09
206.0,1.384001313685309e-08,1.8031986350325468e-09
207.0,1.494223456058288e-08,1.9354195714092187e-09
208.0,1.6118483245937215e-08,2.0756120760669086e-09
209.0,1.7372724332853234e-08,2.224140471722809e-09
210.0,1.8709072959433864e-08,2.3813791974193918e-09
211.0,2.0131796763332363e-08,2.5477127915616524e-09
212.0,2.1645318291587726e-08,2.7235358615970517e-09
213.0,2.3254217314036377e-08,2.909253040661634e-09
214.0,2.496323303555872e-08,3.105278931380956e-09
215.0,2.6777266202564823e-08,3.3120380374734773e-09
216.0,2.8701381099276218e-08,3.5299646806996296e-09
217.0,3.0740807429525145e-08,3.759502905971141e-09
218.0,3.290094207995909e-08,4.001106373567273e-09
219.0,3.5187350760723475e-08,4.255238237362751e-09
220.0,3.7605769519877385e-08,4.522371010941411e-09
221.0,4.016210612798729e-08,4.802986420826627e-09
222.0,4.2862441329552206e-08,5.09757524700131e-09
223.0,4.571302995810335e-08,5.406637150554959e-09
224.0,4.872030191204749e-08,5.7306804893355906e-09
225.0,5.1890862988519697e-08,6.070222121443728e-09
226.0,5.523149557274292e-08,6.42578719663543e-09
227.0,5.874915918060449e-08,6.797908934787651e-09
228.0,6.24509908523821e-08,7.187128396502769e-09
229.0,6.634430539578608e-08,7.593994237575123e-09
230.0,7.043659547669702e-08,8.019062456176e-09
231.0,7.473553155622248e-08,8.462896127636517e-09
232.0,7.924896167291106e-08,8.926065130517291e-09
233.0,8.398491106919643e-08,9.409145859211618e-09
234.0,8.895158166137365e-08,9.91272093216096e-09
235.0,9.41573513526304e-08,1.0437378885767626e-08
236.0,9.961077318888929e-08,1.0983713862534567e-08
237.0,1.0532057435743097e-07,1.1552325289274784e-08
238.0,1.1129565502849568e-07,1.2143817548352243e-08
239.0,1.1754508704028213e-07,1.2758799637274616e-08
240.0,1.2407811242795852e-07,1.3397884831585066e-08
241.0,1.3090414179754317e-07,1.4061690322163066e-08
242.0,1.380327525456833e-07,1.4750836869570502e-08
243.0,1.454736869265956e-07,1.546594843164328e-08
244.0,1.5323684996760922e-07,1.6207651794810884e-08
245.0,1.6133230723494993e-07,1.6976576203852982e-08
246.0,1.6977028245160346e-07,1.777335298091787e-08
247.0,1.7856115496925986e-07,1.8598615138183228e-08
248.0,1.8771545709653195e-07,1.9452996996924233e-08
249.0,1.972438712858067e-07,2.033713379068723e-08
250.0,2.07157227181256e-07,2.1251661276312883e-08
251.0,2.1746649853068046e-07,2.2197215338375212e-08
252.0,2.2818279996403455e-07,2.3174431585600306e-08
253.0,2.3931738364159975e-07,2.418394495848543e-08
254.0,2.508816357749315e-07,2.5226389325970616e-08
255.0,2.6288707302382975e-07,2.630239708663681e-08
256.0,2.753453387727061e-07,2.7412598759835474e-08
257.0,2.8826819928984425e-07,2.8557622596267882e-08
258.0,3.0166753977315033e-07,2.9738094169398988e-08
259.0,3.1555536028611005e-07,3.0954635981423884e-08
260.0,3.2994377158774983e-07,3.220786706206526e-08
261.0,3.4484499086050406e-07,3.349840257322841e-08
262.0,3.602713373399587e-07,3.482685342163163e-08
263.0,3.762352278505146e-07,3.6193825857361866e-08
264.0,3.9274917225111566e-07,3.759992109984092e-08
265.0,4.098257687952025e-07,3.904573494483048e-08
266.0,4.274776994091421e-07,4.05318573822515e-08
267.0,4.45717724893395e-07,4.2058872231003876e-08
