# ******** Mean D flux on the sample **********
# Gamma_D_mean: 6.000E+16 -/+ 1.201E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 2.404E+00 -/+ 4.834E-01 eV
# ************ Gaussian fit to n_e ************
# A:          1.288E+11 -/+ 8.102E+09 (1/cm^3)
# sigma:      1.748 -/+ 0.174 (cm)
# mu:         0.00 (cm)
# baseline:   1.690E+10 -/+ 5.921E+09 (1/cm^3)
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 3.067E+00 -/+ 5.488E-01
# a_ 1: -1.840E+00 -/+ 6.244E-01
# a_ 2: -5.763E-01 -/+ 8.218E-01
# a_ 3: 6.250E-01 -/+ 2.965E-01
# a_ 4: 1.111E-01 -/+ 2.573E-01
# a_ 5: -7.272E-02 -/+ 4.770E-02
# a_ 6: -1.024E-02 -/+ 3.036E-02
# a_ 7: 3.505E-03 -/+ 2.930E-03
# a_ 8: 4.531E-04 -/+ 1.511E-03
# a_ 9: -5.987E-05 -/+ 5.987E-05
# a_10: -7.681E-06 -/+ 2.665E-05
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,26289096831.53134,4535388944.05232,2.076012792374872,1.1345895005349222
-3.959798994974874,26794006821.462452,4515176958.480026,2.078061152024498,1.1211256858074934
-3.919597989949749,27320545436.385513,4512041478.292216,2.0772113627512843,1.1123248848957221
-3.879396984924623,27869291689.64648,4526547726.077387,2.0736001144453144,1.1065284411900838
-3.8391959798994977,28440819081.9038,4558972346.497615,2.0673895745287316,1.1023166292115183
-3.798994974874372,29035694066.44464,4609289492.348678,2.0587646474545283,1.098564159148001
-3.758793969849246,29654474453.265495,4677174812.727964,2.04793027601269,1.094450470550652
-3.7185929648241207,30297707753.921078,4762026223.199087,2.035108793339162,1.0894402217308867
-3.678391959798995,30965929469.47374,4862998127.236617,2.02053733381618,1.0832471441059495
-3.6381909547738696,31659661324.211037,4979044380.007209,2.004465310367448,1.075790646288215
-3.5979899497487438,32379409448.14023,5108964938.746755,1.9871519649904013,1.0671510377361215
-3.557788944723618,33125662511.613052,5251451705.850028,1.9688639987286485,1.057526659109002
-3.5175879396984926,33898889815.782482,5405130208.320282,1.949873286671162,1.0471945793977901
-3.477386934673367,34699539342.94133,5568595087.589433,1.9304546829700302,1.0364756310898864
-3.4371859296482414,35528035771.14134,5740438591.1943445,1.9108839202956667,1.0257041521885883
-3.3969849246231156,36384778457.837326,5919272189.377764,1.891435607597019,1.015202674973051
-3.35678391959799,37270139397.64247,6103742037.33989,1.87238132950343,1.0052617853276793
-3.3165829145728645,38184461159.61786,6292539303.75007,1.8539878501954827,0.9961253595949012
-3.2763819095477387,39128054809.84651,6484406463.385556,1.8365154240829007,0.9879812974151162
-3.2361809045226133,40101197825.36127,6678140586.85996,1.820216215158182,0.9809576803025899
-3.1959798994974875,41104132005.802734,6872594520.707313,1.8053328264458117,0.9751240095657694
-3.1557788944723617,42137061389.475464,7066676684.673107,1.7920969405371596,0.970496860579763
-3.115577889447236,43200150180.7487,7259350049.747226,1.7807280717904432,0.9670489987169397
-3.0753768844221105,44293520696.006454,7449630715.921706,1.7714324303840807,0.9647207977516205
-3.035175879396985,45417251335.59101,7636586388.972499,1.7644018980385963,0.9634327241889116
-2.9949748743718594,46571374589.40144,7819334961.140116,1.7598131148677487,0.9630977079548569
-2.9547738693467336,47755875084.00197,7997043328.866378,1.7578266764831043,0.9636323880553872
-2.914572864321608,48970687679.262634,8168926528.0099535,1.7585864401573195,0.96496645938218
-2.8743718592964824,50215695622.69409,8334247229.337055,1.7622189385500462,0.9670496086093182
-2.834170854271357,51490728769.7493,8492315611.053364,1.7688328992159457,0.969855776644979
-2.7939698492462313,52795561878.44313,8642489607.756323,1.7785188678467851,0.9733847008550729
-2.7537688442211055,54129912986.6871,8784175524.084295,1.791348932948522,0.9776608653356262
-2.7135678391959797,55493441880.74858,8916828994.69524,1.8073765494191736,0.9827301252826489
-2.6733668341708543,56885748663.21896,9039956268.644592,1.8266364582744428,0.9886543797755886
-2.633165829145729,58306372428.81476,9153115794.724804,1.8491446995643765,0.9955047529418655
-2.592964824120603,59754790056.235634,9255920084.120354,1.874898715336119,1.0033538090140979
-2.5527638190954773,61230415124.1657,9348037827.25915,1.9038775393244765,1.0122673692804542
-2.5125628140703515,62732596959.32602,9429196242.57537,1.9360420698932983,1.022296511267207
-2.472361809045226,64260619824.26748,9499183635.697824,1.9713354226063213,1.0334703045638391
-2.4321608040201004,65813702252.33473,9557852148.047356,2.00968335867571,1.0457897684101787
-2.391959798994975,67390996536.930885,9605120673.685118,2.050994785419886,1.0592234249183294
-2.351758793969849,68991588381.87282,9640977922.209965,2.095162324759006,1.07370467816882
-2.3115577889447234,70614496719.2445,9665485603.228724,2.142062945686221,1.0891310901354796
-2.271356783919598,72258673700.73508,9678781704.035172,2.191558656575549,1.105365469902847
-2.2311557788944723,73923004867.98734,9681083826.175608,2.243497253122207,1.1222385623652125
-2.190954773869347,75606309506.98285,9672692538.008795,2.297713117658579,1.1395530305799688
-2.150753768844221,77307341190.95457,9653994688.553837,2.3540280655481363,1.1570883782924184
-2.1105527638190953,79024788515.74475,9625466612.143225,2.412252234330247,1.1746064538661902
-2.07035175879397,80757276030.92131,9587677132.886026,2.4721850112708754,1.1918572057480616
-2.030150753768844,82503365369.32663,9541290251.92102,2.5336159949669215,1.2085844112213384
-1.9899497487437188,84261556577.06558,9487067368.225548,2.5963259866555775,1.2245311627975537
-1.949748743718593,86030289645.24393,9425868844.92867,2.6600880068938983,1.2394449602440336
-1.9095477386934672,87807946244.04716,9358654687.75036,2.7246683332975943,1.2530823139572278
-1.8693467336683418,89592851659.00793,9286484051.294172,2.7898275550617715,1.2652128132487148
-1.829145728643216,91383276928.54758,9210513234.699694,2.8553216400291537,1.275622649768001
-1.7889447236180902,93177441181.099,9131991774.685844,2.9209030101236,1.284117612212287
-1.7487437185929648,94973514169.32826,9052256197.762001,2.986321621027459,1.2905255851811446
-1.708542713567839,96769618998.17105,8972720963.697668,3.0513260420507646,1.2946985944593925
-1.6683417085427137,98563835042.59468,8894866131.614346,3.1156645322177616,1.2965144450882902
-1.6281407035175879,100354201050.18951,8820221323.286572,3.179086108681703,1.2958779990022453
-1.587939698492462,102138718422.88625,8750345661.586468,3.2413416036718083,1.2927221371029527
-1.5477386934673367,103915354671.29742,8686803540.094236,3.3021847062765155,1.2870084473861076
-1.507537688442211,105682047034.3903,8631136341.597086,3.3613729854743366,1.2787276767608853
-1.4673366834170856,107436706256.42226,8584830566.326811,3.4186688909374423,1.2678999798544615
-1.4271356783919598,109177220512.31221,8549283236.702985,3.4738407282532564,1.2545749934767505
-1.386934673366834,110901459471.8841,8525765875.311578,3.526663605335511,1.2388317604323869
-1.3467336683417086,112607278492.70923,8515388748.446683,3.5769203469281443,1.2207785207212078
-1.3065326633165828,114292522930.59267,8519067357.293619,3.6244023742426665,1.2005523814000372
-1.2663316582914574,115955032556.10187,8537493271.499286,3.6689105469121013,1.1783188678387007
-1.2261306532663316,117592646064.92754,8571111282.482015,3.710255964591801,1.1542713479536422
-1.1859296482412058,119203205669.29611,8620104489.443617,3.7482607256890836,1.1286303062222298
-1.1457286432160805,120784561757.13116,8684388349.821154,3.7827586408596074,1.101642424715476
-1.1055276381909547,122334577605.18373,8763614003.960434,3.813595899068086,1.0735794028832957
-1.0653266331658293,123851134131.92642,8857180428.297543,3.8406316841743204,1.0447364155212877
-1.0251256281407035,125332134675.63507,8964254295.870876,3.863738740172061,1.0154300692014908
-0.9849246231155777,126775509782.76544,9083795920.979376,3.882803883377815,0.9859956731255494
-0.9447236180904524,128179221991.47731,9214589389.919577,3.8977284600388367,0.9567835955181245
-0.9045226130653266,129541270594.9616,9355274938.832062,3.908428748004111,0.9281544406119279
-0.8643216080402008,130859696369.09305,9504381798.8012,3.9148363012786707,0.9004727694802093
-0.8241206030150754,132132586248.8634,9660360027.609526,3.9168982364598692,0.8740991227174063
-0.7839195979899496,133358077938.04439,9821610218.804764,3.91457746023394,0.8493802111848409
-0.7437185929648242,134534364436.59361,9986510360.454569,3.907852837291965,0.8266373474079022
-0.7035175879396984,135659698470.44534,10153439462.28891,3.8967192982060075,0.8061535040476374
-0.6633165829145726,136732396808.52315,10320797853.626661,3.8811878869882115,0.7881597834096471
-0.6231155778894473,137750844452.0746,10487024265.183008,3.861285748238052,0.7728224913283157
-0.5829145728643215,138713498681.75586,10650609947.770573,3.8370560539650085,0.7602323106937094
-0.5427135678391961,139618892948.2876,10810110159.926739,3.8085578703557026,0.7503971268170287
-0.5025125628140703,140465640592.9605,10964153387.905663,3.7758659649355977,0.7432397704401489
-0.4623115577889445,141252438384.78833,11111448658.857052,3.7390705547552554,0.7386013180071815
