# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.040E+17 -/+ 2.083E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 2.790E+00 -/+ 5.612E-01 eV
# ************ Gaussian fit to n_e ************
# A:          2.360E+11 -/+ 2.716E+10 (1/cm^3)
# sigma:      2.187 -/+ 0.412 (cm)
# mu:         0.00 (cm)
# baseline:   2.879E-21 -/+ 2.973E+10 (1/cm^3)
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 3.052E+00 -/+ 4.980E-01
# a_ 1: -2.298E-01 -/+ 5.272E-01
# a_ 2: -1.513E+00 -/+ 4.109E-01
# a_ 3: 8.784E-02 -/+ 2.277E-01
# a_ 4: 2.883E-01 -/+ 1.118E-01
# a_ 5: -1.121E-02 -/+ 3.163E-02
# a_ 6: -2.448E-02 -/+ 1.240E-02
# a_ 7: 5.819E-04 -/+ 1.724E-03
# a_ 8: 9.510E-04 -/+ 5.876E-04
# a_ 9: -1.036E-05 -/+ 3.198E-05
# a_10: -1.346E-05 -/+ 9.830E-06
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,44288565665.711136,16479067486.42501,0.5222677557726296,0.49185722601545623
-3.959798994974874,45795506281.52955,16532241426.222876,0.507420305615998,0.4919660118160131
-3.919597989949749,47337719678.07037,16619312862.889257,0.4960144858228883,0.49401494673404056
-3.879396984924623,48915333874.27394,16737209237.056734,0.4875254328707026,0.49666600561519236
-3.8391959798994977,50528444693.16846,16882619416.396595,0.48144746528351945,0.49891554977856184
-3.798994974874372,52177114557.35051,17052073480.224928,0.47729846249188945,0.5000749010352192
-3.758793969849246,53861371301.8938,17242017519.11365,0.4746235469981963,0.4997286619244085
-3.7185929648241207,55581207007.70653,17448880509.933968,0.472998119916066,0.4976874404845455
-3.678391959798995,57336576858.4082,17669131576.98136,0.4720302978563957,0.49394321604076324
-3.6381909547738696,59127398023.838524,17899327057.6913,0.4713627970860266,0.48863024273257244
-3.5979899497487438,60953548573.348755,18136147658.60566,0.4706743088894063,0.4819916046619874
-3.557788944723618,62814866422.052734,18376426583.622635,0.46968040811553546,0.47435032194567717
-3.5175879396984926,64711148313.23631,18617169861.433964,0.46813403499401485,0.46608352574507905
-3.477386934673367,66642148840.136406,18855570239.31117,0.46582558845286215,0.457598274227288
-3.4371859296482414,68607579510.304245,19089016002.27907,0.4625826673678781,0.44930791054717817
-3.3969849246231156,70607107855.76389,19315095973.471565,0.45826949441598197,0.44160843179645537
-3.35678391959799,72640356592.16238,19531601796.92225,0.45278605549564244,0.43485512622113814
-3.3165829145728645,74706902830.08588,19736528430.525032,0.446066986012422,0.4293406520588782
-3.2763819095477387,76806277341.68385,19928073605.903526,0.4380802337092615,0.42527654966246575
-3.2361809045226133,78937963885.70145,20104636856.087128,0.428825526146273,0.42278056752469967
-3.1959798994974875,81101398593.96948,20264818577.280205,0.41833266940518454,0.421871848125772
-3.1557788944723617,83295969422.3389,20407419479.25919,0.40665970310669164,0.42247491047217295
-3.115577889447236,85521015668.9776,20531440688.89654,0.39389093538624476,0.42443179346652965
-3.0753768844221105,87775827562.86426,20636084700.2898,0.38013488007242113,0.4275202529154596
-3.035175879396985,90059645925.22443,20720757309.51227,0.36552211695410364,0.4314750586133225
-2.9949748743718594,92371661906.55185,20785070628.34707,0.35020309470490496,0.436009425477641
-2.9547738693467336,94711016801.74812,20828847235.716347,0.33434589475773446,0.440834272714995
-2.914572864321608,97076801945.79227,20852125494.0726,0.31813397318616166,0.4456739685293017
-2.8743718592964824,99468058692.2212,20855166026.959118,0.30176389645383217,0.450278131102244
-2.834170854271357,101883778476.56277,20838459319.324707,0.285443085736525,0.4544297148453276
-2.7939698492462313,104322902966.712,20802734359.812164,0.2693875834038806,0.45794996970865715
-2.7537688442211055,106784324302.08383,20748968189.606464,0.2538198541685773,0.46070097639951874
-2.7135678391959797,109266885423.2073,20678396150.630672,0.23896663236894577,0.46258642038679465
-2.6733668341708543,111769380493.24986,20592522531.714584,0.22505682584692,0.4635511514165938
-2.633165829145729,114290555412.77582,20493131189.625664,0.21231948591524832,0.4635799363012244
