# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.217E+17 -/+ 3.045E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 3.610E+00 -/+ 9.057E-01 eV
# ************ Lorentzian fit to n_e ************
# amplitude:  2.430E+11 -/+ 2.114E+10 (1/cm^3)
# gamma:      1.710 -/+ 0.323 (cm)
# center:     0.00 (cm)
# yoffset:     1.072E+10 -/+ 1.878E+10 (1/cm^3)
# ************ Gaussian fit to T_e ************
# A:          2.833E+00 -/+ 1.258E+00 (1/cm^3)
# sigma:      2.273 -/+ 1.331 (cm)
# mu:         0.00 (cm)
# baseline:   8.125E-01 -/+ 1.319E+00 (1/cm^3)
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,48260366414.483246,8635468189.690842,1.4151273231044201,0.5120644525636788
-3.959798994974874,48906066890.667725,8539112547.845161,1.434072620192775,0.5111482577525213
-3.919597989949749,49567502421.276794,8443905139.176274,1.4534131108477815,0.5110597811224703
-3.879396984924623,50245148116.787796,8350068636.794291,1.473148811265395,0.5117470057938308
-3.8391959798994977,50939495197.82045,8257842713.498778,1.4932793617889066,0.5131516477363425
-3.798994974874372,51651051535.46153,8167484614.158477,1.5138040157927974,0.5152103187277194
-3.758793969849246,52380342203.5488,8079269601.358474,1.5347216288401317,0.5178557331167497
-3.7185929648241207,53127910042.2272,7993491236.346077,1.5560306481424706,0.5210179040541983
-3.678391959798995,53894316231.925354,7910461452.211674,1.57772910235149,0.5246252835989584
-3.6381909547738696,54680140876.71202,7830510371.4512615,1.5998145917116169,0.5286058120759392
-3.5979899497487438,55485983595.782074,7753985815.970583,1.6222842786030807,0.5328878536515861
-3.557788944723618,56312464121.580154,7681252454.708278,1.6451348785047606,0.537401005996557
-3.5175879396984926,57160222902.80237,7612690532.978088,1.6683626514061394,0.5420767812350945
-3.477386934673367,58029921710.210754,7548694129.037391,1.6919633936975047,0.5468491626781733
-3.4371859296482414,58922244242.85513,7489668887.9993725,1.7159324305673265,0.5516550470062566
-3.3969849246231156,59837896731.9129,7436029191.708837,1.7402646089354012,0.5564345847709428
-3.35678391959799,60777608538.92822,7388194736.166723,1.7649542909499787,0.561131433638653
-3.3165829145728645,61742132744.75116,7346586505.848753,1.7899953480765958,0.5656929390803941
