# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.111E+17 -/+ 2.779E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 3.638E+00 -/+ 9.109E-01 eV
# ************ Lorentzian fit to n_e ************
# amplitude:  2.008E+11 -/+ 1.801E+10 (1/cm^3)
# gamma:      1.580 -/+ 0.307 (cm)
# center:     0.00 (cm)
# yoffset:     3.066E+10 -/+ 1.618E+10 (1/cm^3)
# ************ Gaussian fit to T_e ************
# A:          3.409E+00 -/+ 7.277E-01 (1/cm^3)
# sigma:      1.929 -/+ 0.585 (cm)
# mu:         0.00 (cm)
# baseline:   2.875E-01 -/+ 7.358E-01 (1/cm^3)
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,57745596155.91405,8146905968.498849,0.6845895526976699,0.3465423169656628
-3.959798994974874,58222515706.56032,8053359781.01668,0.7020355302282548,0.3392875461841424
-3.919597989949749,58711450553.98387,7959610063.586655,0.7200601601910673,0.3326324567266185
-3.879396984924623,59212781245.38205,7865774866.216202,0.7386726105638399,0.326619479911047
-3.8391959798994977,59726902213.0482,7771984804.908378,0.7578816636604521,0.3212865865233995
-3.798994974874372,60254222307.08765,7678384050.382188,0.7776956839578217,0.31666594934108167
-3.758793969849246,60795165346.05521,7585131353.638903,0.7981225854722018,0.31278263788710675
-3.7185929648241207,61350170685.60965,7492401098.572821,0.8191697987524875,0.30965343586940874
-3.678391959798995,61919693805.19285,7400384368.163644,0.8408442375621772,0.3072858759411164
-3.6381909547738696,62504206912.63898,7309290006.366197,0.8631522653255965,0.3056775784183363
-3.5979899497487438,63104199566.499756,7219345652.559062,0.8860996614178764,0.30481595964394376
-3.557788944723618,63720179315.73133,7130798719.280503,0.9096915873818876,0.3046783438544032
-3.5175879396984926,64352672356.22688,7043917276.964256,0.9339325531589673,0.3052324744627914
-3.477386934673367,65002224203.49165,6958990801.553915,0.9588263834236856,0.3064373830408799
-3.4371859296482414,65669400380.541,6876330732.382465,0.9843761841161629,0.3082445433780062
-3.3969849246231156,66354787119.85455,6796270778.843192,1.0105843092685096,0.31059921853120454
-3.35678391959799,67058992077.934586,6719166905.606316,1.0374523282247676,0.3134419027064371
-3.3165829145728645,67782645060.692245,6645396918.110093,1.0649809933563394,0.31670976616371577
-3.2763819095477387,68526398757.51387,6575359563.661465,1.093170208377207,0.32033802696519104
-3.2361809045226133,69290929481.43738,6509473059.839776,1.1220189973652712,0.32426119410868315
-3.1959798994974875,70076937912.3887,6448172962.337457,1.1515254745979127,0.3284141483645131
-3.1557788944723617,70885149839.88344,6391909290.359632,1.181686815311266,0.33273304684340954
-3.115577889447236,71716316900.98195,6341142840.707571,1.2124992274938127,0.3371560531045784
-3.0753768844221105,72571217308.58887,6296340642.950081,1.2439579248256172,0.3416239057878419
-3.035175879396985,73450656564.40067,6257970538.4231825,1.27605710087491,0.34608034553148753
-2.9949748743718594,74355468149.91707,6226494905.171671,1.3087899046636984,0.35047242305048953
-2.9547738693467336,75286514187.93459,6202363598.213766,1.3421484177136842,0.35475071163507793
-2.914572864321608,76244686065.81802,6186006227.163053,1.3761236326829513,0.3588694459059145
-2.8743718592964824,77230905010.58821,6177823947.322661,1.4107054337026508,0.36278660620536357
-2.834170854271357,78246122604.45543,6178180990.645264,1.4458825785212528,0.3664639651016336
-2.7939698492462313,79291321227.85367,6187396203.414902,1.4816426825618472,0.369867109535716
-2.7537688442211055,80367514415.27374,6205734882.153081,1.517972204995427,0.37296544939576914
-2.7135678391959797,81475747107.23723,6233401203.105968,1.5548564369301405,0.375732220887428
-2.6733668341708543,82617095779.57817,6270531520.814245,1.5922794918130407,0.3781444910263752
-2.633165829145729,83792668428.78801,6317188767.663146,1.6302242981370294,0.3801831679037154
-2.592964824120603,85003604389.51025,6373358122.151758,1.6686725945413476,0.3818330200264953
-2.5527638190954773,86251073957.32579,6438944035.091734,1.7076049273892382,0.3830827069605806
-2.5125628140703515,87536277786.72707,6513768618.356722,1.7470006509012042,0.38392482263965205
-2.472361809045226,88860446030.61981,6597571319.288256,1.7868379299166726,0.3843559519893125
-2.4321608040201004,90224837183.79816,6690009733.919501,1.8270937453508507,0.3843767408865226
-2.391959798994975,91630736588.59418,6790661360.3906555,1.8677439024071083,0.38399197886966474
-2.351758793969849,93079454556.29694,6899026064.143925,1.9087630415984114,0.3832106933711173
-2.3115577889447234,94572324052.95694,7014529019.570842,1.9501246526241112,0.38204625349838917
-2.271356783919598,96110697892.8417,7136523906.950204,1.9918010911408466,0.38051648047525705
-2.2311557788944723,97695945377.09033,7264296175.0453005,2.033763598458419,0.3786437607021635
-2.190954773869347,99329448309.04832,7397066223.890389,2.0759823241832813,0.3764551559357133
-2.150753768844221,101012596311.38075,7533992414.225549,2.118426351823806,0.37398250325483
-2.1105527638190953,102746781363.40738,7674173865.44104,2.161063727362711,0.37126249522306554
-2.07035175879397,104533391470.2526,7816653059.484703,2.2038614907930527,0.36833672794759836
-2.030150753768844,106373803368.44815,7960418321.880516,2.2467857106049784,0.3652517016007156
-1.9899497487437188,108269374165.69954,8104406301.883852,2.289801521201057,0.3620587545159304
-1.949748743718593,110221431805.79367,8247504621.945019,2.3328731632085216,0.35881390842674754
-1.9095477386934672,112231264243.29874,8388554912.932538,2.3759640266470816,0.35557759917622994
-1.8693467336683418,114300107207.05556,8526356497.389707,2.4190366969013506,0.35241426489188193
-1.829145728643216,116429130426.80946,8659671030.20515,2.462053003437138,0.3493917630221665
-1.7889447236180902,118619422194.08603,8787228456.387547,2.5049740711911768,0.3465805897991987
-1.7487437185929648,120871972127.05237,8907734701.108425,2.54776037455418,0.3440528817563699
-1.708542713567839,123187652010.19943,9019881569.732393,2.590371793857508,0.34188118990750443
-1.6683417085427137,125567194583.89848,9122359406.958239,2.6327676742642607,0.34013703366293585
-1.6281407035175879,128011170167.00165,9213873145.92981,2.6749068869563133,0.3388892632401446
-1.587939698492462,130519961008.55219,9293162471.18871,2.7167478924996646,0.33820228468810065
-1.5477386934673367,133093733283.33755,9359026923.600574,2.7582488062616415,0.3381342276722612
-1.507537688442211,135732406671.54878,9410356889.079613,2.7993674657448673,0.33873515852818353
-1.4673366834170856,138435621496.38702,9446171531.076607,2.840061499694662,0.3400454548172779
-1.4271356783919598,141202703436.3261,9465664838.852829,2.880288398828613,0.34209445828776025
-1.386934673366834,144032625882.17465,9468261049.545853,2.920005588029522,0.3448995082880587
-1.3467336683417086,146923970074.3275,9453680726.191225,2.9591704998358788,0.3484654279061957
-1.3065326633165828,149874883233.80704,9422018674.919506,2.997740649057345,0.35278449442366355
-1.2663316582914574,152883034992.81842,9373834561.30741,3.0356737083366396,0.35783688072418574
-1.2261306532663316,155945572537.2323,9310256377.633781,3.0729275844736073,0.36359151270601303
-1.1859296482412058,159059074994.83542,9233095576.403215,3.1094604953222196,0.37000725610657037
-1.1457286432160805,162219507738.92044,9144970376.898626,3.1452310470668277,0.3770343284451785
-1.1055276381909547,165422177425.54102,9049430033.350948,3.180198311680137,0.3846158287452402
-1.0653266331658293,168661688742.23734,8951067274.094496,3.214321904362205,0.3926892871460689
-1.0251256281407035,171931904012.67865,8855598445.315668,3.2475620607572235,0.40118815448950607
-0.9849246231155777,175225906970.4471,8769881583.941408,3.2798797137429867,0.4100431739924357
-0.9447236180904524,178535972179.44272,8701833646.213453,3.3112365695868164,0.4191835992680034
-0.9045226130653266,181853541729.6924,8660203726.225307,3.341595183261235,0.42853824245877886
-0.8643216080402008,185169210965.49536,8654166122.883818,3.3709190327129557,0.43803635160110505
-0.8241206030150754,188472725095.94568,8692722875.075878,3.399172591879755,0.4476083271533851
-0.7839195979899496,191752988582.66748,8783952320.593403,3.4263214022515016,0.45718629424993334
-0.7437185929648242,194998089181.89886,8934198684.410845,3.452332142774057,0.466704550451659
-0.7035175879396984,198195338423.54218,9147343387.863781,3.477172697897953,0.47609990945033503
-0.6633165829145726,201331330124.9414,9424302864.732584,3.5008122235776167,0.485311960188152
-0.6231155778894473,204392018250.53705,9762847741.3445,3.523221211031543,0.4942832588776085
-0.5829145728643215,207362815032.2552,10157752846.902266,3.544371548079096,0.5029594689737024
-0.5427135678391961,210228709756.6683,10601206865.451061,3.5642365778756155,0.5112894616220441
-0.5025125628140703,212974408007.3927,11083368550.856485,3.5827911548741627,0.5192253867085823
-0.4623115577889445,215584490436.59988,11592960579.391867,3.6000116978495207,0.5267227224926813
-0.42211055276381915,218043589348.62183,12117825637.018408,3.6158762398279998,0.5337403099679651
-0.38190954773869334,220336580541.42554,12645409033.711649,3.6303644747750985,0.5402403765716037
-0.341708542713568,222448787007.1044,13163162469.7312,3.64345780090214,0.5461885526328688
-0.3015075376884422,224366190286.81857,13658879949.59789,3.655139360462624,0.5515538829826448
-0.2613065326633164,226075644560.16476,14120981717.357088,3.665394075919123,0.556308835398996
-0.22110552763819102,227565087976.7052,14538760148.930258,3.6742086823721105,0.5604293070020095
-0.18090452261306522,228823745358.64874,14902596809.556835,3.6815717561530965,0.5638946292991062
-0.14070351758793986,229842316261.48746,15204154895.907778,3.687473739495797,0.566687572289322
-0.10050251256281406,230613142504.8969,15436547267.702717,3.691906961210747,0.5687943478357992
-0.06030150753768826,231130349694.59537,15594477643.43254,3.6948656533007704,0.5702046123883251
-0.0201005025125629,231389957943.48785,15674351270.110306,3.6963459634669165,0.570911469064501
0.020100502512562457,231389957943.48785,15674351270.110306,3.6963459634669165,0.570911469064501
0.06030150753768826,231130349694.59537,15594477643.43254,3.6948656533007704,0.5702046123883251
0.10050251256281406,230613142504.8969,15436547267.702717,3.691906961210747,0.5687943478357992
0.14070351758793986,229842316261.48746,15204154895.907778,3.687473739495797,0.566687572289322
0.18090452261306567,228823745358.64874,14902596809.556835,3.6815717561530965,0.5638946292991062
0.22110552763819058,227565087976.7052,14538760148.930258,3.6742086823721105,0.5604293070020097
0.2613065326633164,226075644560.16476,14120981717.357088,3.665394075919123,0.556308835398996
0.3015075376884422,224366190286.81857,13658879949.59789,3.655139360462624,0.5515538829826448
0.341708542713568,222448787007.1044,13163162469.7312,3.64345780090214,0.5461885526328688
0.3819095477386938,220336580541.4255,12645409033.711643,3.6303644747750985,0.5402403765716037
0.4221105527638196,218043589348.6218,12117825637.018404,3.6158762398279998,0.5337403099679651
0.4623115577889445,215584490436.59988,11592960579.391867,3.6000116978495207,0.5267227224926813
0.5025125628140703,212974408007.3927,11083368550.856485,3.5827911548741627,0.5192253867085823
0.5427135678391961,210228709756.6683,10601206865.451061,3.5642365778756155,0.5112894616220441
0.5829145728643219,207362815032.25516,10157752846.902264,3.544371548079096,0.5029594689737023
0.6231155778894477,204392018250.53702,9762847741.344494,3.5232212110315424,0.49428325887760843
0.6633165829145726,201331330124.9414,9424302864.732584,3.5008122235776167,0.485311960188152
0.7035175879396984,198195338423.54218,9147343387.863781,3.477172697897953,0.47609990945033503
0.7437185929648242,194998089181.89886,8934198684.410845,3.452332142774057,0.466704550451659
0.78391959798995,191752988582.66745,8783952320.593403,3.426321402251501,0.4571862942499333
