# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.152E+17 -/+ 2.881E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 3.543E+00 -/+ 8.875E-01 eV
# ************ Lorentzian fit to n_e ************
# amplitude:  2.300E+11 -/+ 1.789E+10 (1/cm^3)
# gamma:      1.651 -/+ 0.278 (cm)
# center:     0.00 (cm)
# yoffset:     1.280E+10 -/+ 1.615E+10 (1/cm^3)
# ************ Gaussian fit to T_e ************
# A:          2.393E+00 -/+ 7.010E-01 (1/cm^3)
# sigma:      1.294 -/+ 0.470 (cm)
# mu:         0.00 (cm)
# baseline:   1.240E+00 -/+ 3.721E-01 (1/cm^3)
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,46263522277.33067,7737010830.2224655,1.2601445762970696,0.38560961739623434
-3.959798994974874,46845321244.47126,7646469905.73095,1.2621617120799877,0.38212923312398517
-3.919597989949749,47441517990.56299,7556195608.074205,1.2643576497360063,0.3785079120696872
-3.879396984924623,48052557023.451614,7466338285.620637,1.2667456833062074,0.3747538652915416
-3.8391959798994977,48678898454.17621,7377062278.478079,1.2693398355562913,0.37087783331957164
-3.798994974874372,49321018555.8291,7288546799.666436,1.2721548727652383,0.366893378164138
-3.758793969849246,49979410337.979324,7200986802.250337,1.275206317199312,0.3628171845211196
-3.7185929648241207,50654584136.34648,7114593811.918476,1.2785104569711148,0.35866936413603556
-3.678391959798995,51347068217.27936,7029596699.548281,1.2820843529729216,0.3544737548227619
-3.6381909547738696,52057409396.441086,6946242362.724729,1.285945842564515,0.3502582025542866
-3.5979899497487438,52786173670.92891,6864796279.065706,1.2901135396884906,0.34605481131245014
-3.557788944723618,53533946863.85704,6785542887.6942,1.2946068310806864,0.34190014102690386
-3.5175879396984926,54301335280.20422,6708785748.539051,1.2994458682402699,0.337835329090638
-3.477386934673367,55088966372.47011,6634847422.713856,1.304651554823324,0.3339061059253416
-3.4371859296482414,55897489414.390396,6564069011.533961,1.3102455291257016,0.33016267044313863
-3.3969849246231156,56727576180.630615,6496809287.459272,1.3162501413257413,0.3266593878762557
-3.35678391959799,57579921630.00174,6433443348.227582,1.3226884251653128,0.3234542715208714
-3.3165829145728645,58455244589.31822,6374360726.63351,1.329584063758831,0.3206082129488762
-3.2763819095477387,59354288434.54138,6319962893.852871,1.3369613492345003,0.31818393377351034
-3.2361809045226133,60277821765.31369,6270660104.928251,1.3448451359303029,0.3162446474643894
-3.1959798994974875,61226639068.386536,6226867551.869928,1.3532607868892694,0.3148524425821456
-3.1557788944723617,62201561364.76582,6189000813.2834835,1.3622341134244773,0.31406642834026854
-3.115577889447236,63203436834.64189,6157470619.4417515,1.3717913075541084,0.3139407168725777
-3.0753768844221105,64233141413.3208,6132676987.4277935,1.3819588671408152,0.31452234917772026
-3.035175879396985,65291579350.426056,6115002820.605604,1.392763513607605,0.3158492970562615
-2.9949748743718594,66379683723.581985,6104807107.457409,1.4042321021444588,0.3179486848534991
-2.9547738693467336,67498416896.61224,6102417893.114145,1.416391524365855,0.3208353675722836
-2.914572864321608,68648770910.97739,6108125228.48637,1.42926860342921,0.32451097462109346
-2.8743718592964824,69831767797.72101,6122174322.506521,1.4428899816777827,0.3289634844474815
-2.834170854271357,71048459795.58383,6144759128.949229,1.457282000928639,0.33416734210581583
-2.7939698492462313,72299929459.1625,6176016588.224049,1.4724705755865855,0.3400840792009148
-2.7537688442211055,73587289639.0235,6216021715.926957,1.4884810588282396,0.34666335290928313
-2.7135678391959797,74911683313.51573,6264783685.473613,1.5053381021662708,0.35384429419546015
-2.6733668341708543,76274283249.64392,6322242995.6304455,1.523065508771903,0.361557046931232
-2.633165829145729,77676291467.75499,6388269750.6931925,1.5416860810035664,0.3697243873555004
-2.592964824120603,79118938481.93492,6462663017.802373,1.5612214626606165,0.37826333245061305
-2.5527638190954773,80603482284.90263,6545151168.727233,1.5816919765527413,0.3870866706997453
-2.5125628140703515,82131207042.80696,6635393067.699022,1.6031164580474826,0.39610437425506817
-2.472361809045226,83703421461.67355,6732979936.158637,1.6255120853295126,0.4052248741713499
-2.4321608040201004,85321456783.30394,6837437711.216103,1.6488942071753359,0.4143561981025621
-2.391959798994975,86986664364.1947,6948229716.839611,1.673276169115141,0.4234069822066037
-2.351758793969849,88700412786.5284,7064759483.331051,1.698669138918945,0.4322873764138217
-2.3115577889447234,90464084445.49158,7186373578.478327,1.7250819324061544,0.4409098656536323
-2.271356783919598,92279071552.12741,7312364349.4379,1.7525208406354815,0.4491900302091302
-2.2311557788944723,94146771485.65347,7441972514.536162,1.7809894595850193,0.4570472671061177
-2.190954773869347,96068581423.71745,7574389585.939536,1.810488523479417,0.4644054921682875
-2.150753768844221,98045892173.4865,7708760145.433992,1.8410157429618104,0.4711938396866838
-2.1105527638190953,100080081120.84789,7844184035.098972,1.8725656493416247,0.4773473739531694
-2.07035175879397,102172504209.45135,7979718561.962342,1.9051294461749868,0.4828078244170344
-2.030150753768844,104324486855.97641,8114380850.937924,1.9386948694515054,0.4875243540307049
-1.9899497487437188,106537313703.03792,8247150514.133029,1.9732460576690445,0.49145436844274576
-1.949748743718593,108812217106.75313,8376972837.972074,2.0087634330762545,0.4945643719801859
-1.9095477386934672,111150364252.44427,8502762723.726288,2.0452235953505244,0.4968308746693584
-1.8693467336683418,113552842789.54758,8623409653.28409,2.082599228956324,0.49824135262746816
-1.829145728643216,116020644875.90771,8737783991.681026,2.1208590253952186,0.49879526167322236
-1.7889447236180902,118554649522.68779,8844744982.32875,2.1599676215139514,0.4985051004907262
-1.7487437185929648,121155603134.61967,8943150841.231653,2.199885554980826,0.4973975145211648
-1.708542713567839,123824098146.82892,9031871413.752815,2.2405692379729913,0.4955144241545187
-1.6683417085427137,126560549669.6483,9109803922.340515,2.2819709500384215,0.4929141497557686
-1.6281407035175879,129365170067.4101,9175892406.094187,2.3240388510063816,0.48967249042657524
-1.587939698492462,132237941416.97963,9229151532.103722,2.3667170147194656,0.48588369196254805
-1.5477386934673367,135178585817.6313,9268695541.24489,2.4099454842491603,0.48166121122726363
-1.507537688442211,138186533556.68356,9293773171.479937,2.453660349136012,0.47713814887733497
-1.4673366834170856,141260889176.0433,9303809468.294474,2.497793845065418,0.47246718139157234
-1.4271356783919598,144400395534.399,9298455424.572937,2.5422744762516887,0.46781978088164206
-1.386934673366834,147603396019.118,9277646356.902536,2.587027160657188,0.4633844757262291
-1.3467336683417086,150867795131.7237,9241669766.295664,2.6319733980210804,0.45936389077794554
-1.3065326633165828,154191017751.72238,9191243060.669754,2.677031460514611,0.4559703323388037
-1.2663316582914574,157569967475.8297,9127600800.697891,2.72211660567808,0.45341977239655706
-1.2261306532663316,161000984533.21695,9052589877.889599,2.7671413111301177,0.45192425592069374
-1.1859296482412058,164479803891.66678,8968768988.504683,2.8120155303737286,0.4516830044992356
-1.1457286432160805,168001514293.24698,8879505631.19496,2.856646968857441,0.45287278926483937
-1.1055276381909547,171560519089.23123,8789059370.586294,2.9009413792851086,0.4556384295593933
-1.0653266331658293,175150499879.53543,8702634244.479515,2.9448028750059856,0.46008444916918495
-1.0251256281407035,178764384097.82382,8626376507.092197,2.988134260159191,0.46626890362883455
-0.9849246231155777,182394317814.4104,8567288053.007161,3.0308373750950572,0.47420014382273523
-0.9447236180904524,186031645148.6255,8533024084.939856,3.0728134554516338,0.4838368458974432
-0.9045226130653266,189666895782.64978,8531550547.087286,3.113963503129266,0.4950911305804225
-0.8643216080402008,193289782141.0037,8570657073.444272,3.154188667281094,0.5078341578345035
-0.8241206030150754,196889207834.01334,8657355505.756218,3.193390633323901,0.5219033230933456
-0.7839195979899496,200453288949.14246,8797235215.9688,3.2314720178732026,0.5371101342887269
-0.7437185929648242,203969389700.47253,8993878271.291021,3.2683367674200596,0.5532479777760246
-0.7035175879396984,207424173803.7844,9248441135.885534,3.303890558495833,0.5700992089366061
-0.6633165829145726,210803672724.01035,9559476592.333963,3.3380411970159147,0.5874412504265246
-0.6231155778894473,214093371637.02216,9923010779.092276,3.370699014455233,0.6050515918980918
-0.5829145728643215,217278313555.9678,10332831271.458025,3.4017772584876234,0.6227117340993406
-0.5427135678391961,220343221595.3121,10780906830.149769,3.4311924757185093,0.640210206383208
-0.5025125628140703,223272638790.48648,11257855897.096025,3.4588648841561107,0.6573448221644226
-0.4623115577889445,226051084270.88873,11753400758.234438,3.4847187331006824,0.6739243382162574
-0.42211055276381915,228663223918.78375,12256772365.527807,3.5086826481841156,0.6897696658132291
-0.38190954773869334,231094052962.78293,12757055033.742477,3.530689959363391,0.7047147556417739
-0.341708542713568,233329087284.17438,13243475410.884163,3.5506790097604752,0.7186072511274469
-0.3015075376884422,235354559593.9987,13705646565.32198,3.5685934433477215,0.731308980149516
-0.2613065326633164,237157616107.39105,14133778486.685219,3.584382469600993,0.742696334623522
-0.22110552763819102,238726508938.09583,14518863685.4236,3.598001103381588,0.7526605714134608
-0.18090452261306522,240050779195.72955,14852843018.66159,3.609410378461624,0.7611080560989641
-0.14070351758793986,241121425720.4029,15128753578.32033,3.618577533274547,0.7679604626082692
-0.10050251256281406,241931054553.3205,15340857989.330671,3.6254761676515925,0.7731549359261137
-0.06030150753768826,242474004625.53818,15484752920.001017,3.630086369494755,0.7766442213495438
-0.0201005025125629,242746445744.019,15557453941.516788,3.6323948105356316,0.7783967615482157
0.020100502512562457,242746445744.019,15557453941.516788,3.6323948105356316,0.7783967615482157
0.06030150753768826,242474004625.53818,15484752920.001017,3.630086369494755,0.7766442213495438
0.10050251256281406,241931054553.3205,15340857989.330671,3.6254761676515925,0.7731549359261137
0.14070351758793986,241121425720.4029,15128753578.32033,3.618577533274547,0.7679604626082692
0.18090452261306567,240050779195.72955,14852843018.66159,3.609410378461624,0.7611080560989638
0.22110552763819058,238726508938.09583,14518863685.4236,3.5980011033815886,0.7526605714134609
0.2613065326633164,237157616107.39105,14133778486.685219,3.584382469600993,0.742696334623522
0.3015075376884422,235354559593.9987,13705646565.32198,3.5685934433477215,0.731308980149516
0.341708542713568,233329087284.17438,13243475410.884163,3.5506790097604752,0.7186072511274469
0.3819095477386938,231094052962.7829,12757055033.742474,3.530689959363391,0.7047147556417738
0.4221105527638196,228663223918.78372,12256772365.5278,3.508682648184115,0.6897696658132288
0.4623115577889445,226051084270.88873,11753400758.234438,3.4847187331006824,0.6739243382162574
0.5025125628140703,223272638790.48648,11257855897.096025,3.4588648841561107,0.6573448221644226
0.5427135678391961,220343221595.3121,10780906830.149769,3.4311924757185093,0.640210206383208
0.5829145728643219,217278313555.96774,10332831271.458014,3.4017772584876234,0.6227117340993402
0.6231155778894477,214093371637.02216,9923010779.092272,3.3706990144552327,0.6050515918980917
0.6633165829145726,210803672724.01035,9559476592.333963,3.3380411970159147,0.5874412504265246
0.7035175879396984,207424173803.7844,9248441135.885534,3.303890558495833,0.5700992089366061
0.7437185929648242,203969389700.47253,8993878271.291021,3.2683367674200596,0.5532479777760246
0.78391959798995,200453288949.14246,8797235215.968798,3.2314720178732017,0.5371101342887268
0.8241206030150758,196889207834.0133,8657355505.75622,3.193390633323901,0.5219033230933455
0.8643216080402008,193289782141.0037,8570657073.444272,3.154188667281094,0.5078341578345035
0.9045226130653266,189666895782.64978,8531550547.087286,3.113963503129266,0.4950911305804225
0.9447236180904524,186031645148.6255,8533024084.939856,3.0728134554516338,0.4838368458974432
0.9849246231155782,182394317814.41034,8567288053.00716,3.0308373750950572,0.47420014382273507
1.025125628140704,178764384097.82376,8626376507.0922,2.9881342601591907,0.46626890362883444
1.0653266331658289,175150499879.53546,8702634244.479517,2.944802875005986,0.460084449169185
1.1055276381909547,171560519089.23123,8789059370.586294,2.9009413792851086,0.4556384295593933
1.1457286432160805,168001514293.24698,8879505631.19496,2.856646968857441,0.45287278926483937
1.1859296482412063,164479803891.66675,8968768988.504683,2.8120155303737286,0.45168300449923554
1.226130653266332,161000984533.2169,9052589877.889599,2.7671413111301177,0.4519242559206938
1.266331658291457,157569967475.82977,9127600800.697895,2.7221166056780803,0.45341977239655706
