# ******** Mean D flux on the sample **********
# Gamma_D_mean: 6.442E+16 -/+ 1.294E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 1.576E+00 -/+ 3.202E-01 eV
# ************ Gaussian fit to n_e ************
# A:          1.846E+11 -/+ 2.847E+10 (1/cm^3)
# sigma:      2.057 -/+ 0.560 (cm)
# mu:         0.00 (cm)
# baseline:   2.088E-21 -/+ 2.752E+10 (1/cm^3)
# *********** Polynomial fit to T_e ***********
# Order:      20
# a_ 0: 2.203E+00 -/+ 6.242E-01
# a_ 1: -6.577E-01 -/+ 6.314E-01
# a_ 2: -4.399E+00 -/+ 7.156E-01
# a_ 3: 1.370E+00 -/+ 1.259E-01
# a_ 4: 4.915E+00 -/+ 4.291E-01
# a_ 5: -8.704E-01 -/+ 3.981E-01
# a_ 6: -2.216E+00 -/+ 5.267E-01
# a_ 7: 2.594E-01 -/+ 2.004E-01
# a_ 8: 5.287E-01 -/+ 1.837E-01
# a_ 9: -4.317E-02 -/+ 4.468E-02
# a_10: -7.516E-02 -/+ 3.233E-02
# a_11: 4.329E-03 -/+ 5.458E-03
# a_12: 6.688E-03 -/+ 3.303E-03
# a_13: -2.673E-04 -/+ 3.892E-04
# a_14: -3.757E-04 -/+ 2.044E-04
# a_15: 9.940E-06 -/+ 1.615E-05
# a_16: 1.292E-05 -/+ 7.563E-06
# a_17: -2.038E-07 -/+ 3.612E-07
# a_18: -2.481E-07 -/+ 1.539E-07
# a_19: 1.768E-09 -/+ 3.365E-09
# a_20: 2.035E-09 -/+ 1.326E-09
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,27889372626.72783,16574234780.656858,1.3578254765689053,0.8195919803276164
-3.959798994974874,28963662096.848866,16769588313.087523,1.397546383476083,0.81237111781339
-3.919597989949749,30067851322.31857,17024550022.03584,1.414976224715474,0.8040241558842437
-3.879396984924623,31202221155.450718,17332515904.28474,1.411788671342265,0.7924302444177714
-3.8391959798994977,32367027888.232647,17686476310.309948,1.3905118460533004,0.7773050042712178
-3.798994974874372,33562501927.246117,18079263957.022984,1.3542570078294602,0.759798440534381
-3.758793969849246,34788846469.183914,18503758413.98476,1.3064581569350366,0.7420005425727538
-3.7185929648241207,36046236180.07341,18953042176.58208,1.2506359874081454,0.7264133477607048
-3.678391959798995,37334815881.42383,19420510500.096996,1.1901955116629779,0.7154390518337126
-3.6381909547738696,38654699246.612854,19899941408.872627,1.128262976154872,0.7109272483023507
-3.5979899497487438,40005967510.921585,20385534082.789047,1.067564467330044,0.7138523823690343
-3.557788944723618,41388668198.711365,20871923883.84981,1.0103459245167983,0.7241969476251021
-3.5175879396984926,42802813871.314224,21354181353.268906,0.958332137493727,0.7410564713924888
-3.477386934673367,44248380899.27792,21827801156.477764,0.9127206998477106,0.7628868107707989
-3.4371859296482414,45725308262.66608,22288685551.01499,0.8742057758487789,0.7877857911576371
-3.3969849246231156,47233496383.166214,22733125700.06185,0.8430258732377496,0.8137230446180341
-3.35678391959799,48772805991.7982,23157783132.784084,0.8190295375732433,0.8386906986582967
-3.3165829145728645,50343057036.04716,23559672870.892223,0.8017529369752836,0.8607893283311835
-3.2763819095477387,51944027630.26415,23936149172.62004,0.7905036255261848,0.8782795987558125
-3.2361809045226133,53575453053.18689,24284894451.17834,0.7844453001909493,0.8896269315312355
-3.1959798994974875,55237024796.429214,24603911664.336258,0.7826790418709706,0.8935539343929283
