# ******** Mean D flux on the sample **********
# Gamma_D_mean: 3.019E+17 -/+ 7.555E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 8.391E+00 -/+ 2.104E+00 eV
# ************ Lorentzian fit to n_e ************
# amplitude:  4.805E+11 -/+ 3.894E+10 (1/cm^3)
# gamma:      2.397 -/+ 0.358 (cm)
# center:     0.00 (cm)
# yoffset:     -5.899E+10 -/+ 4.296E+10 (1/cm^3)
# ************ Gaussian fit to T_e ************
# A:          3.346E+00 -/+ 3.750E+00 (1/cm^3)
# sigma:      0.536 -/+ 0.530 (cm)
# mu:         0.00 (cm)
# baseline:   5.695E+00 -/+ 7.902E-01 (1/cm^3)
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,68012952501.56426,12144867712.664686,5.695177186056945,1.1283527405005795
-3.959798994974874,69909537481.16516,11936504037.319324,5.695177186058995,1.1283527404360567
-3.919597989949749,71843591467.33484,11734608143.136005,5.6951771860625255,1.1283527403272806
-3.879396984924623,73815924741.97989,11539842887.748278,5.695177186068569,1.128352740144989
-3.8391959798994977,75827361207.7005,11352896033.645855,5.695177186078854,1.128352739841312
-3.798994974874372,77878738126.2384,11174476040.61813,5.69517718609626,1.1283527393384307
-3.758793969849246,79970905799.71255,11005306626.074324,5.695177186125549,1.1283527385106356
-3.7185929648241207,82104727189.39899,10846119987.493996,5.695177186174551,1.128352737156128
-3.678391959798995,84281077466.43506,10697648619.704966,5.695177186256065,1.1283527349530145
-3.6381909547738696,86500843488.42639,10560615714.850334,5.695177186390885,1.1283527313910824
-3.5979899497487438,88764923195.5177,10435724205.204357,5.695177186612597,1.1283527256667654
-3.557788944723618,91074224919.0459,10323644596.795984,5.695177186975114,1.1283527165225407
-3.5175879396984926,93429666595.43335,10225001840.826399,5.695177187564465,1.128352702003066
-3.477386934673367,95832174877.49518,10140361592.894117,5.695177188517088,1.1283526790874614
-3.4371859296482414,98282684134.83423,10070216307.032993,5.695177190048079,1.1283526431387383
-3.3969849246231156,100782135334.47284,10014971690.498652,5.695177192494461,1.1283525870852622
-3.35678391959799,103331474792.33377,9974934093.591331,5.695177196381117,1.1283525002125185
-3.3165829145728645,105931652785.62384,9950299415.666407,5.69517720252052,1.1283523663924637
-3.2763819095477387,108583622015.60574,9941144066.845156,5.695177212162648,1.1283521615074965
-3.2361809045226133,111288335909.6608,9947418433.678114,5.695177227218835,1.1283518497301823
-3.1959798994974875,114046746750.95557,9968943161.99201,5.695177250593787,1.128351378190231
-3.1557788944723617,116859803623.43149,10005408403.969946,5.695177286674779,1.1283506693868302
-3.115577889447236,119728450159.24402,10056375996.813713,5.695177342047576,1.1283496104749104
-3.0753768844221105,122653622075.18973,10121284366.947802,5.695177426537115,1.128348038253515
-3.035175879396985,125636244484.08884,10199455805.297516,5.695177554709957,1.1283457182958667
-2.9949748743718594,128677228966.53683,10290105650.12009,5.695177748028606,1.1283423161642836
-2.9547738693467336,131777470387.91962,10392352852.30532,5.6951780379192085,1.1283373580273623
-2.914572864321608,134937843445.10641,10505231385.159876,5.695178470109558,1.1283301772194614
-2.8743718592964824,138159198926.80908,10627701991.404423,5.695179110720495,1.1283198423321945
-2.834170854271357,141442359671.23947,10758663824.936302,5.695180054759005,1.128305061286827
-2.7939698492462313,144788116204.42105,10896965632.085384,5.6951814378755365,1.1282840544956418
-2.7537688442211055,148197222042.33978,11041416214.73683,5.695183452522968,1.1282543886840921
-2.7135678391959797,151670388640.06836,11190794015.45725,5.695186370003516,1.1282127612413824
-2.6733668341708543,155208279971.09027,11343855754.788193,5.69519057032773,1.1281547231572646
-2.633165829145729,158811506720.31348,11499344128.143866,5.695196582352532,1.1280743268008824
-2.592964824120603,162480620074.72086,11655994631.887531,5.695205137329872,1.1279636831902091
-2.5527638190954773,166216105096.29037,11812541634.92752,5.695217239800084,1.1278124122770183
-2.5125628140703515,170018373662.76074,11967723844.842663,5.695234260718968,1.1276069695612012
-2.472361809045226,173887756963.05594,12120289338.293999,5.695258058825765,1.1273298336655462
-2.4321608040201004,177824497535.75296,12269000336.862406,5.695291137544925,1.1269585432091507
-2.391959798994975,181828740840.91858,12412637914.041166,5.695336846163273,1.1264645785896028
-2.351758793969849,185900526358.00116,12550006819.244331,5.695399635618116,1.125812096686779
-2.3115577889447234,190039778205.2789,12679940602.341553,5.69548538093612,1.1249565460707083
-2.271356783919598,194246295279.69443,12801307218.967869,5.695601784120845,1.1238432196129997
-2.2311557788944723,198519740919.78183,12913015293.851408,5.695758873015253,1.1224058436454718
-2.190954773869347,202859632098.8725,13014021217.45532,5.6959696132499325,1.12056536177722
-2.150753768844221,207265328160.89612,13103337250.819351,5.696250651678236,1.1182291515416591
-2.1105527638190953,211736019116.91125,13180040814.781992,5.696623210508155,1.1152910180005584
-2.07035175879397,216270713527.05746,13243285142.64723,5.697114151440644,1.1116324452262023
-2.030150753768844,220868225999.94894,13292311479.381361,5.697757228251005,1.1071257587381598
-1.9899497487437188,225527164349.65585,13326463014.730022,5.698594544108214,1.101640062503512
-1.949748743718593,230245916459.37558,13345200740.836756,5.699678226198716,1.0950510623535854
-1.9095477386934672,235022636910.67966,13348121424.849539,5.701072324581767,1.087256164823681
-1.8693467336683418,239855233447.8383,13334977880.352734,5.7028549343419295,1.0781965204206165
-1.829145728643216,244741353358.1472,13305701703.418186,5.705120529750589,1.0678879016334082
-1.7889447236180902,249678369861.37527,13260428602.595795,5.707982486104827,1.0564623370575592
-1.7487437185929648,254663368614.34225,13199526387.210922,5.711575749091214,1.0442220017529056
-1.708542713567839,259693134450.14255,13123625570.864758,5.716059592986866,1.0317055066656757
-1.6683417085427137,264764138485.5237,13033652377.976118,5.721620388015091,1.0197636345847885
-1.6281407035175879,269872525744.25143,12930863685.589901,5.728474274203641,1.0096356364754173
-1.587939698492462,275014103458.75555,12816883059.496748,5.736869614899442,1.0030075055033283
-1.5477386934673367,280184330226.7127,12693736517.43585,5.747089078710607,1.0020209668239526
-1.507537688442211,285378306213.2123,12563885937.582558,5.759451175404337,1.0091916646973993
-1.4673366834170856,290590764602.4424,12430257103.299715,5.774311050798053,1.0271996269580146
-1.4271356783919598,295816064515.06537,12296258240.900536,5.79206032979426,1.0585493311054284
-1.386934673366834,301048185618.2125,12165783631.889973,5.81312578745813,1.1051596187349029
-1.3467336683417086,306280724663.8688,12043195632.179422,5.837966627533998,1.1679998236266427
-1.3065326633165828,311506894197.8599,11933277520.793612,5.867070158114402,1.2468854867177694
-1.2663316582914574,316719523685.1719,11841149512.837757,5.900945677191751,1.3404741756744385
-1.2261306532663316,321911063297.41064,11772141626.718054,5.9401164180529165,1.4464144753442922
-1.1859296482412058,327073590604.29315,11731620509.96112,5.985109456889737,1.5615624381259907
-1.1457286432160805,332198820402.62885,11724773128.592949,6.036443552834144,1.682198295348128
-1.1055276381909547,337278117902.79395,11756358063.46091,6.094614973232037,1.8042171445059847
-1.0653266331658293,342302515473.76276,11830443689.681034,6.160081452663262,1.923299063368005
-1.0251256281407035,347262733122.9496,11950159435.754847,6.233244540200223,2.035078112354222
-0.9849246231155777,352149202856.13464,12117488978.895826,6.31443070174407,2.135331557891083
-0.9447236180904524,356952097025.42303,12333130783.991495,6.403871657977663,2.2202078786919186
-0.9045226130653266,361661360729.48535,12596441907.98506,6.501684547590175,2.286509227476563
-0.8643216080402008,366266748280.38184,12905467805.589508,6.6078526033279905,2.332042486435861
-0.8241206030150754,370757863695.4241,13257047748.219542,6.7222071081131505,2.3560519282635384
-0.7839195979899496,375124205111.30225,13646975968.855988,6.844411452983648,2.3597416400211886
-0.7437185929648242,379355212951.8865,14070194689.333532,6.973948141489282,2.346876822897111
-0.7035175879396984,383440321611.6748,14520996576.584663,7.1101095709536875,2.3243977342663875
-0.6633165829145726,387369014345.0582,14993219173.879408,7.251993365700608,2.302853521209904
-0.6231155778894473,391130880978.82697,15480420243.380287,7.3985029388831345,2.296247697138997
-0.5829145728643215,394715677993.312,15976028924.453789,7.548353818189091,2.3206924656966432
-0.5427135678391961,398113390448.03284,16473472144.227247,7.700086089211015,2.391478033978462
-0.5025125628140703,401314295162.6364,16966278547.889734,7.852083094097759,2.519178983145895
-0.4623115577889445,404309024505.2447,17448163562.986534,8.002596280245962,2.706667013300917
-0.42211055276381915,407088630090.0604,17913099491.974148,8.149775834546876,2.9487108193384812
-0.38190954773869334,409644645646.12506,18355374164.71214,8.29170647523324,3.2339674429377525
-0.341708542713568,411969148291.2331,18769641013.969425,8.426447519063974,3.5477567957607374
-0.3015075376884422,414054817430.717,19150962689.034847,8.552076110314008,3.874310945493298
-0.2613065326633164,415894990501.3502,19494849626.41958,8.666732303312692,4.198163822121648
-0.22110552763819102,417483714796.8265,19797294415.072704,8.76866454436601,4.504904953379062
-0.18090452261306522,418815794643.5914,20054802346.00339,8.856274011986077,4.781594971989033
-0.14070351758793986,419886833244.1704,20264418218.3134,8.928156253774162,5.017035085012529
-0.10050251256281406,420693268569.0228,20423749269.75692,8.983138607958956,5.201978573686438
-0.06030150753768826,421232402756.2881,20530983990.541237,9.020312017546473,5.329311211589712
-0.0201005025125629,421502424570.06396,20584906544.56397,9.039056031381246,5.39419989625084
0.020100502512562457,421502424570.06396,20584906544.56397,9.039056031381246,5.39419989625084
0.06030150753768826,421232402756.2881,20530983990.541237,9.020312017546473,5.329311211589712
0.10050251256281406,420693268569.0228,20423749269.75692,8.983138607958956,5.201978573686438
0.14070351758793986,419886833244.1704,20264418218.3134,8.928156253774162,5.017035085012529
0.18090452261306567,418815794643.5913,20054802346.003357,8.856274011986077,4.781594971989031
0.22110552763819058,417483714796.82654,19797294415.072704,8.768664544366011,4.504904953379065
0.2613065326633164,415894990501.3502,19494849626.41958,8.666732303312692,4.198163822121648
0.3015075376884422,414054817430.717,19150962689.034847,8.552076110314008,3.874310945493298
0.341708542713568,411969148291.2331,18769641013.969425,8.426447519063974,3.5477567957607374
0.3819095477386938,409644645646.12506,18355374164.71214,8.291706475233239,3.233967442937749
0.4221105527638196,407088630090.0604,17913099491.974148,8.149775834546872,2.9487108193384786
0.4623115577889445,404309024505.2447,17448163562.986534,8.002596280245962,2.706667013300917
0.5025125628140703,401314295162.6364,16966278547.889734,7.852083094097759,2.519178983145895
0.5427135678391961,398113390448.03284,16473472144.227247,7.700086089211015,2.391478033978462
0.5829145728643219,394715677993.312,15976028924.453789,7.5483538181890895,2.320692465696643
0.6231155778894477,391130880978.8269,15480420243.38028,7.398502938883133,2.2962476971389973
0.6633165829145726,387369014345.0582,14993219173.879408,7.251993365700608,2.302853521209904
0.7035175879396984,383440321611.6748,14520996576.584663,7.1101095709536875,2.3243977342663875
0.7437185929648242,379355212951.8865,14070194689.333532,6.973948141489282,2.346876822897111
