# ******** Mean D flux on the sample **********
# Gamma_D_mean: 2.086E+17 -/+ 4.180E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 3.944E+00 -/+ 7.926E-01 eV
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 4.190E+11 -/+ 6.206E+10
# a_ 1: -1.278E+10 -/+ 3.543E+10
# a_ 2: -1.051E+11 -/+ 4.977E+10
# a_ 3: 4.174E+09 -/+ 1.151E+10
# a_ 4: 1.749E+10 -/+ 9.708E+09
# a_ 5: -4.558E+08 -/+ 1.222E+09
# a_ 6: -1.286E+09 -/+ 7.617E+08
# a_ 7: 1.908E+07 -/+ 5.119E+07
# a_ 8: 4.118E+07 -/+ 2.627E+07
# a_ 9: -2.703E+05 -/+ 7.408E+05
# a_10: -4.792E+05 -/+ 3.320E+05
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 4.278E+00 -/+ 7.238E-01
# a_ 1: -2.574E-01 -/+ 6.059E-01
# a_ 2: -2.008E+00 -/+ 5.386E-01
# a_ 3: 9.037E-02 -/+ 2.097E-01
# a_ 4: 3.498E-01 -/+ 1.274E-01
# a_ 5: -1.030E-02 -/+ 2.552E-02
# a_ 6: -2.670E-02 -/+ 1.221E-02
# a_ 7: 4.645E-04 -/+ 1.266E-03
# a_ 8: 9.128E-04 -/+ 5.094E-04
# a_ 9: -7.122E-06 -/+ 2.184E-05
# a_10: -1.139E-05 -/+ 7.695E-06
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,150490828835.96704,45880430884.98841,0.2670631184395784,0.7383391531212421
-3.959798994974874,155129760028.03406,47284913922.65815,0.29783399035630076,0.7345343797631777
-3.919597989949749,159540613739.5752,48720432988.22014,0.32775849062987206,0.7286200085914475
-3.879396984924623,163709940513.49005,50180292270.11495,0.3564168843490574,0.7207493266440398
-3.8391959798994977,167626589417.2646,51656220270.92712,0.38343079588411566,0.7111028331052429
-3.798994974874372,171281708481.59302,53138971987.02472,0.40846461958634706,0.6998794779009073
-3.758793969849246,174668727128.7877,54618903192.96888,0.4312264398368635,0.6872887331680826
-3.7185929648241207,177783322223.5945,56086487413.56109,0.45146850065392297,0.6735435618596455
-3.678391959798995,180623369305.52264,57532757767.30952,0.46898726330918183,0.6588543324228054
-3.6381909547738696,183188880490.0172,58949665299.77011,0.48362308868785675,0.6434237225798127
-3.5979899497487438,185481930455.8611,60330352316.891884,0.4952595794531218,0.6274426531378624
-3.557788944723618,187506571867.94904,61669343740.96341,0.5038226154435734,0.611087290043576
-3.5175879396984926,189268741518.1338,62962662104.84866,0.5092791141408974,0.5945171461077038
-3.477386934673367,190776158402.05127,64207873016.96985,0.511635546494952,0.5778743005219993
-3.4371859296482414,192038214886.7942,65404068281.28368,0.5109362368832264,0.5612837330755541
-3.3969849246231156,193065862062.91278,66551793758.56612,0.5072614745116324,0.5448547406468505
-3.35678391959799,193871490314.5064,67652928814.72504,0.5007254621326531,0.5286833669820518
-3.3165829145728645,194468806083.06693,68710524020.82959,0.4914741265648124,0.5128557345883271
