# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.987E+17 -/+ 3.975E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 4.022E+00 -/+ 8.067E-01 eV
# *********** Polynomial fit to n_e ***********
# Order:      30
# a_ 0: 4.358E+11 -/+ 3.662E-04
# a_ 1: -2.591E+10 -/+ 1.099E-03
# a_ 2: -4.398E+11 -/+ 1.221E-04
# a_ 3: -1.445E+09 -/+ 7.153E-07
# a_ 4: 4.918E+11 -/+ 0.000E+00
# a_ 5: 4.746E+10 -/+ 0.000E+00
# a_ 6: -3.230E+11 -/+ 0.000E+00
# a_ 7: -4.648E+10 -/+ 0.000E+00
# a_ 8: 1.258E+11 -/+ 0.000E+00
# a_ 9: 2.083E+10 -/+ 3.815E-06
# a_10: -3.152E+10 -/+ 6.104E-05
# a_11: -5.398E+09 -/+ 4.578E-05
# a_12: 5.417E+09 -/+ 6.857E-04
# a_13: 8.948E+08 -/+ 4.780E-04
# a_14: -6.649E+08 -/+ 6.856E-03
# a_15: -1.002E+08 -/+ 4.263E-03
# a_16: 5.964E+07 -/+ 5.860E-02
# a_17: 7.808E+06 -/+ 2.900E-02
# a_18: -3.945E+06 -/+ 3.853E-01
# a_19: -4.288E+05 -/+ 1.143E-01
# a_20: 1.920E+05 -/+ 1.475E+00
# a_21: 1.655E+04 -/+ 6.470E-02
# a_22: -6.780E+03 -/+ 3.051E-01
# a_23: -4.391E+02 -/+ 9.651E-03
# a_24: 1.686E+02 -/+ 2.455E-02
# a_25: 7.634E+00 -/+ 5.533E-04
# a_26: -2.796E+00 -/+ 9.762E-04
# a_27: -7.828E-02 -/+ 1.405E-05
# a_28: 2.771E-02 -/+ 1.924E-05
# a_29: 3.590E-04 -/+ 1.329E-07
# a_30: -1.240E-04 -/+ 1.506E-07
# *********** Polynomial fit to T_e ***********
# Order:      30
# a_ 0: 3.401E+00 -/+ 3.109E-15
# a_ 1: 5.297E-01 -/+ 4.330E-15
# a_ 2: 5.827E+00 -/+ 5.329E-15
# a_ 3: -2.103E+00 -/+ 0.000E+00
# a_ 4: -1.058E+01 -/+ 0.000E+00
# a_ 5: 1.366E+00 -/+ 0.000E+00
# a_ 6: 5.307E+00 -/+ 0.000E+00
# a_ 7: -2.366E-02 -/+ 1.155E-15
# a_ 8: -8.198E-01 -/+ 4.441E-16
# a_ 9: -2.353E-01 -/+ 1.335E-14
# a_10: -1.498E-01 -/+ 5.052E-15
# a_11: 9.681E-02 -/+ 1.436E-13
# a_12: 8.521E-02 -/+ 4.748E-14
# a_13: -1.987E-02 -/+ 1.390E-12
# a_14: -1.692E-02 -/+ 4.000E-13
# a_15: 2.525E-03 -/+ 1.150E-11
# a_16: 1.992E-03 -/+ 2.912E-12
# a_17: -2.143E-04 -/+ 7.300E-11
# a_18: -1.556E-04 -/+ 1.697E-11
# a_19: 1.252E-05 -/+ 2.692E-10
# a_20: 8.394E-06 -/+ 6.154E-11
# a_21: -5.069E-07 -/+ 5.899E-11
# a_22: -3.153E-07 -/+ 1.333E-11
# a_23: 1.398E-08 -/+ 5.010E-12
# a_24: 8.120E-09 -/+ 1.121E-12
# a_25: -2.510E-10 -/+ 2.097E-13
# a_26: -1.368E-10 -/+ 4.649E-14
# a_27: 2.645E-12 -/+ 4.342E-15
# a_28: 1.361E-12 -/+ 9.547E-16
# a_29: -1.243E-14 -/+ 3.561E-17
# a_30: -6.064E-15 -/+ 7.773E-18
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,105200683318.125,17714548968.73175,0.7137561637264298,0.5195967874711658
-3.959798994974874,107739732751.07812,17634765987.324512,0.6689196432844255,0.5105516585660208
-3.919597989949749,109268311768.70312,17368798357.932076,0.6484830279159723,0.5262197674104439
-3.879396984924623,109841425098.64844,16932857838.03127,0.65852254459287,0.5616307822056503
-3.8391959798994977,109583955649.625,16347728250.12633,0.7025959393738503,0.6087350293460663
-3.798994974874372,108674478611.94531,15636938753.63455,0.7814868709319853,0.659749485668998
-3.758793969849246,107326739633.69922,14825246580.300991,0.8931743923142221,0.708662855445177
-3.7185929648241207,105770528922.11719,13937410834.892944,1.0330162562597707,0.7513616177369348
-3.678391959798995,104233470238.06055,12997235212.599676,1.1941199647905023,0.7852857105321772
-3.6381909547738696,102924952349.85742,12026854318.54245,1.3678641888369611,0.8090481193598023
-3.5979899497487438,102023094094.8125,11046235917.818628,1.5445254653793086,0.8221285454652487
-3.557788944723618,101665289138.50098,10072870067.00372,1.7139612895280436,0.8246419908772707
-3.5175879396984926,101942543706.27441,9121615765.801666,1.8663004903288822,0.8171626026201152
-3.477386934673367,102897526997.41699,8204676444.146242,1.9925948388449939,0.8005860240730476
-3.4371859296482414,104526008912.62402,7331677124.422963,2.0853915826950384,0.7760193484870217
-3.3969849246231156,106781175552.35657,6509818277.740631,2.1391943912240663,0.7446921084926356
-3.35678391959799,109580189903.11304,5744084028.097428,2.150789351287365,0.7078843454485024
-3.3165829145728645,112812303177.39587,5037485259.539573,2.1194224716153087,0.6668692212520332
-3.2763819095477387,116347815382.30396,4391321181.938851,2.046824959103372,0.6228683492272443
-3.2361809045226133,120047223633.37524,3805445872.6730833,1.937091791159757,0.5770183504108081
-3.1959798994974875,123769973849.32202,3278529126.6840606,1.796427287737771,0.5303472791479722
-3.1557788944723617,127382335137.31094,2808303538.0485697,1.63277816248592,0.4837596168094227
-3.115577889447236,130764035559.44073,2391792050.5218296,1.4553796210826442,0.43802856285063213
-3.0753768844221105,133813423170.32733,2025512224.1620107,1.2742433661521941,0.3937943885572907
-3.035175879396985,136451038570.84073,1705655160.5600176,1.099617833140259,0.3515676728807476
-2.9949748743718594,138621597152.27032,1428238415.9614804,0.9414507034718369,0.3117363151035515
-2.9547738693467336,140294475483.90958,1189233326.527897,0.8088818861298226,0.2745753136129424
-2.914572864321608,141462872984.8918,984667997.9023589,0.7097919557556478,0.24025840926946485
-2.8743718592964824,142141875291.1928,810707801.8704469,0.6504267664760485,0.20887081032085722
-2.834170854271357,142365679033.22202,663715608.5613412,0.6351139285042869,0.18042233804181812
-2.7939698492462313,142184250327.89752,540294196.2340717,0.6660813593167783,0.15486045337936502
-2.7537688442211055,141659683141.8266,437313354.2647319,0.7433825095388765,0.1320827407271409
-2.7135678391959797,140862501888.56845,351924158.50837433,0.8649274037929018,0.11194853234451498
-2.6733668341708543,139868118699.9424,281562779.02075326,1.0266135837533887,0.09428945359805548
-2.633165829145729,138753613591.74908,223946002.2490305,1.2225466057346828,0.07891875371245635
-2.592964824120603,137594958983.0481,177060433.88329428,1.4453360926564691,0.06563935841209696
-2.5527638190954773,136464762359.45384,139147111.81815994,1.6864505829311802,0.0542506396837383
-2.5125628140703515,135430555418.57571,108683015.02311645,1.9366126177602652,0.04455394437651362
-2.472361809045226,134553617466.03758,84360714.41370632,2.18621467520562,0.036356958341819214
-2.4321608040201004,133888287107.5771,65067184.14460639,2.425736660438227,0.029477007435498675
-2.391959798994975,133481690759.36768,49862581.783657394,2.6461466233206927,0.02374341225628592
