# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.512E+17 -/+ 3.783E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 4.057E+00 -/+ 1.016E+00 eV
# ************ Lorentzian fit to n_e ************
# amplitude:  2.689E+11 -/+ 2.160E+10 (1/cm^3)
# gamma:      1.473 -/+ 0.255 (cm)
# center:     0.00 (cm)
# yoffset:     3.349E+10 -/+ 1.779E+10 (1/cm^3)
# ************ Gaussian fit to T_e ************
# A:          2.478E+00 -/+ 7.508E-01 (1/cm^3)
# sigma:      1.408 -/+ 0.601 (cm)
# mu:         0.00 (cm)
# baseline:   1.658E+00 -/+ 5.662E-01 (1/cm^3)
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,65592158669.93208,9618580103.792356,1.702016340894878,0.5338351401848443
-3.959798994974874,66167731649.94889,9519807639.8639,1.7056977015566968,0.5269208513381778
-3.919597989949749,66758183098.93991,9420635075.348963,1.7096465521244686,0.5198344789745174
-3.879396984924623,67364001611.4247,9321173275.577229,1.713878436412738,0.5125966611403812
-3.8391959798994977,67985694581.93109,9221545591.436342,1.718409463771585,0.5052316879648173
-3.798994974874372,68623788992.33567,9121888905.528238,1.7232563009801147,0.4977677718744817
-3.758793969849246,69278832231.344,9022354733.14935,1.7284361611145598,0.490237303346969
-3.7185929648241207,69951392946.99728,8923110372.61856,1.7339667892014108,0.4826770804302475
-3.678391959798995,70642061933.04149,8824340096.665714,1.7398664444696916,0.47512849684809166
-3.6381909547738696,71351453049.92812,8726246373.120975,1.746153879021786,0.46763766957179115
-3.5979899497487438,72080204181.13208,8629051098.918877,1.7528483127491272,0.4602554823936858
-3.557788944723618,72828978225.36678,8532996826.365741,1.759969404327707,0.4530375175613592
-3.5175879396984926,73598464125.14757,8438347954.6470785,1.7675372181387878,0.4460438433992093
-3.477386934673367,74389377931.99818,8345391852.638706,1.7755721869724725,0.439338622790645
-3.4371859296482414,75202463908.4061,8254439871.248331,1.7840950703859553,0.43298950644142814
-3.3969849246231156,76038495666.40845,8165828194.850015,1.7931269086043884,0.42706677727904296
-3.35678391959799,76898277342.42258,8079918472.085953,1.8026889718703445,0.4216422195957514
-3.3165829145728645,77782644807.6217,7997098156.746271,1.8128027051678794,0.4167876999355156
-3.2763819095477387,78692466912.7861,7917780480.124828,1.8234896682691677,0.4125734670591438
-3.2361809045226133,79628646766.1292,7842403967.925031,1.834771471075574,0.40906620535045646
-3.1959798994974875,80592123042.09521,7771431408.424002,1.8466697042508131,0.40632690792105425
-3.1557788944723617,81583871318.541,7705348175.394823,1.8592058651714343,0.4044086687046141
-3.115577889447236,82604905439.04031,7644659810.625652,1.8724012792492164,0.4033545215339373
-3.0753768844221105,83656278896.26816,7589888778.255611,1.886277016711012,0.4031954721948816
-3.035175879396985,84739086231.5263,7541570318.018246,1.9008538049540729,0.4039488709923343
-2.9949748743718594,85854464444.4385,7500247348.026294,1.916151936628719,0.4056172551350722
-2.9547738693467336,87003594405.66328,7466464400.584479,1.932191173635268,0.4081877528996113
-2.914572864321608,88187702264.1188,7440760616.459084,1.9489906472581866,0.41163209015537966
-2.8743718592964824,89408060838.67024,7423661872.687284,1.9665687546972945,0.4159071829932701
-2.834170854271357,90665990982.47083,7415672173.632918,1.984943052293283,0.42095624776139934
-2.7939698492462313,91962862906.14555,7417264490.444906,2.004130145782579,0.4267103202978974
-2.7537688442211055,93300097443.73396,7428871285.0244255,2.0241455779544215,0.4330900546396628
-2.7135678391959797,94679167242.73228,7450874995.06612,2.045003714120639,0.44000766876495456
-2.6733668341708543,96101597856.66171,7483598780.847078,2.066717625845707,0.447368918018487
-2.633165829145729,97568968715.2996,7527297837.440742,2.089298973420969,0.4550750004977699
-2.592964824120603,99082913944.00275,7582151555.254249,2.1127578876020303,0.463024327005451
-2.5527638190954773,100645122999.38408,7648256767.370852,2.137102851161992,0.4711141161650864
-2.5125628140703515,102257341083.92618,7725622257.389529,2.1623405808450693,0.47924179949513335
-2.472361809045226,103921369296.87897,7814164622.416004,2.1884759103348097,0.48730623987746136
-2.4321608040201004,105639064472.9429,7913705500.72531,2.2155116748783583,0.49520877959634346
-2.391959798994975,107412338653.72682,8023970091.33946,2.243448598232569,0.5028541415609687
-2.351758793969849,109243158129.74207,8144586821.733382,2.2722851826189925,0.5101512105391303
-2.3115577889447234,111133541982.69157,8275087966.7186775,2.3020176023924592,0.5170137214236814
-2.271356783919598,113085560048.9915,8414910990.322228,2.3326396021419153,0.5233608798246833
-2.2311557788944723,115101330215.77216,8563400374.426018,2.364142399951958,0.5291179375142304
-2.190954773869347,117183014950.00931,8719809711.768953,2.396514596558955,0.5342167420932294
-2.150753768844221,119332816949.91483,8883303873.437336,2.4297420911364496,0.5385962771255168
-2.1105527638190953,121552973795.25208,9052961107.940067,2.4638080044404607,0.5422032061403366
-2.07035175879397,123845751459.8609,9227774985.91763,2.498692610036194,0.5449924314480431
-2.030150753768844,126213436535.41803,9406656167.486467,2.5343732743133227,0.5469276766535659
-1.9899497487437188,128658327000.41388,9588434035.131126,2.570824405977297,0.5479821000196688
-1.949748743718593,131182721352.63248,9771858302.052567,2.6080174156790012,0.5481389442969101
-1.9095477386934672,133788905907.27834,9955600773.28319,2.645920686414423,0.547392227108748
-1.8693467336683418,136479140046.59099,10138257505.093689,2.684499555289875,0.5457474741986367
-1.829145728643216,139255639190.7003,10318351678.54962,2.7237163072066943,0.5432224954642618
