# ******** Mean D flux on the sample **********
# Gamma_D_mean: 9.448E+16 -/+ 1.893E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 2.467E+00 -/+ 4.965E-01 eV
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 2.317E+11 -/+ 2.767E+10
# a_ 1: -3.933E+09 -/+ 1.898E+10
# a_ 2: -6.200E+10 -/+ 2.330E+10
# a_ 3: 4.116E+08 -/+ 7.829E+09
# a_ 4: 1.308E+10 -/+ 5.974E+09
# a_ 5: 4.554E+07 -/+ 1.019E+09
# a_ 6: -1.298E+09 -/+ 6.168E+08
# a_ 7: -7.344E+06 -/+ 5.307E+07
# a_ 8: 5.650E+07 -/+ 2.754E+07
# a_ 9: 2.193E+05 -/+ 9.634E+05
# a_10: -8.904E+05 -/+ 4.444E+05
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 2.645E+00 -/+ 4.209E-01
# a_ 1: -5.319E-01 -/+ 6.164E-01
# a_ 2: -9.835E-03 -/+ 5.684E-01
# a_ 3: 1.675E-01 -/+ 2.556E-01
# a_ 4: -2.176E-01 -/+ 1.843E-01
# a_ 5: -1.814E-02 -/+ 3.795E-02
# a_ 6: 3.710E-02 -/+ 2.259E-02
# a_ 7: 8.514E-04 -/+ 2.275E-03
# a_ 8: -2.095E-03 -/+ 1.162E-03
# a_ 9: -1.515E-05 -/+ 4.672E-05
# a_10: 3.855E-05 -/+ 2.112E-05
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,45192997039.81409,11622827689.064861,1.9175685112190735,0.9501191189508149
-3.959798994974874,47100641104.89868,11385311437.578278,1.9530866758006553,0.9383778508875193
-3.919597989949749,49183287420.9375,11279596497.897118,1.9734483913398009,0.9270186624790542
-3.879396984924623,51428137074.35486,11301846027.072878,1.9790422968119294,0.9153471484189448
-3.8391959798994977,53819772711.68201,11447586809.751493,1.9704711668662291,0.9027255071540267
-3.798994974874372,56340778872.30237,11711855533.112923,1.9485158440426282,0.8886177212261342
-3.758793969849246,58972299320.43878,12088903843.613016,1.9141023309519412,0.8726150737530624
-3.7185929648241207,61694535232.5495,12571740458.249744,1.8682718640487295,0.8544457102433511
-3.678391959798995,64487187947.3139,13151762986.129988,1.8121537972296746,0.8339725499811415
-3.6381909547738696,67329849839.798706,13818625100.333426,1.74694112994192,0.8111834797547733
-3.5979899497487438,70202346739.16278,14560363415.636152,1.6738685207933983,0.7861769718301618
-3.557788944723618,73085035170.37408,15363724207.719164,1.5941926338192776,0.7591454091646227
-3.5175879396984926,75959057564.83218,16214598603.045248,1.5091746705760691,0.7303576485914953
-3.477386934673367,78806558452.44464,17098483409.797838,1.420064947113044,0.7001417643749236
-3.4371859296482414,81610864518.62283,18000911317.18864,1.32808938060555,0.6688684864690567
-3.3969849246231156,84356631283.75717,18907821594.754612,1.2344377560329667,0.636935553345151
-3.35678391959799,87029959039.97324,19805862595.690693,1.1402536487445492,0.6047530095487544
-3.3165829145728645,89618480560.34424,20682629081.129124,1.0466258840805551,0.572729372344788
-3.2763819095477387,92111422979.2027,21526842588.468864,0.9545814204066296,0.5412585602165406
-3.2361809045226133,94499646128.68677,22328484302.211838,0.8650795469776602,0.5107075197035051
-3.1959798994974875,96775659506.1922,23078889145.94235,0.7790072929735636,0.4814046140169197
-3.1557788944723617,98933619939.88048,23770808340.7092,0.6971759488473159,0.45362905271132115
-3.115577889447236,100969311914.86823,24398446106.388744,0.6203186057942585,0.4276019353936895
-3.0753768844221105,102880112421.02997,24957474787.167545,0.5490886236953441,0.4034798082412606
-3.035175879396985,104664942084.61182,25445031525.551876,0.48405894230416724,0.3813518967356535
-2.9949748743718594,106324204249.87665,25859698669.107037,0.42572215474295927,0.3612422491298199
-2.9547738693467336,107859713583.881,26201469317.899693,0.3744912665452047,0.34311777352783285
-2.914572864321608,109274615687.09242,26471698755.29484,0.3307010675351598,0.32690252156220817
-2.8743718592964824,110573299104.9176,26673041908.471455,0.2946100477685696,0.31249764120538787
-2.834170854271357,111761301050.25159,26809376435.327915,0.2664027925753505,0.2998053948930921
-2.7939698492462313,112845208064.86353,26885710529.565113,0.24619279544627515,0.28875475284695584
-2.7537688442211055,113832552767.75821,26908074100.19593,0.2340256310924046,0.27932546076829035
-2.7135678391959797,114731707761.5676,26883391669.390507,0.2298824344807131,0.2715671197124989
-2.6733668341708543,115551777693.48497,26819335229.478134,0.23368363501240763,0.2656096110839314
-2.633165829145729,116302490395.2403,26724155522.594,0.24529289826468464,0.2616612297036344
-2.592964824120603,116994087957.06499,26606490891.68711,0.2645212308624243,0.25999163473374437
-2.5527638190954773,117637218523.50406,26475154132.482014,0.29113120708609197,0.2608990092503946
-2.5125628140703515,118242829534.2402,26338899740.62404,0.3248412787568386,0.26466509770061813
-2.472361809045226,118822063070.78032,26206176582.50007,0.3653301327712831,0.27150701651757836
-2.4321608040201004,119386153909.87752,26084874143.423557,0.4122410633881366,0.28153793479025635
-2.391959798994975,119946330826.87943,25982073735.033592,0.4651863289984503,0.2947468436324016
-2.351758793969849,120513721636.7899,25903818782.868412,0.5237514656420115,0.31100073723270844
-2.3115577889447234,121099262407.64537,25854919854.52815,0.587499531966122,0.33006459394786203
-2.271356783919598,121713611229.82216,25838809770.736534,0.6559752626612312,0.3516301286108633
-2.2311557788944723,122367066876.06776,25857461583.55849,0.7287091096518288,0.3753447417736637
-2.190954773869347,123069492640.34088,25911377495.44575,0.8052211524726705,0.40083544286777106
-2.150753768844221,123830245598.93518,25999650556.892666,0.8850248613210463,0.4277260711429141
-2.1105527638190953,124658111494.795,26120094272.989918,0.9676306982469076,0.45564841888487434
-2.07035175879397,125561245405.3885,26269429271.59511,1.0525495438261088,0.48424877039808506
-2.030150753768844,126547118315.93489,26443511947.198704,1.1392959384589363,0.5131914072763436
-1.9899497487437188,127622469683.16716,26637588044.238026,1.2273911291483282,0.5421603013470256
-1.949748743718593,128793266040.09967,26846554476.368176,1.3163659142411546,0.5708598275738871
-1.9095477386934672,130064665659.43341,27065214824.09216,1.4057632801631532,0.5990150084431287
-1.8693467336683418,131440989262.23842,27288517186.77593,1.4951408256452259,0.6263715765009957
-1.829145728643216,132925696729.35507,27511766635.246986,1.5840729703272483,0.6526959991425401
-1.7889447236180902,134521369745.53215,27730807811.983604,1.6721529459369335,0.6777755260663342
-1.7487437185929648,136229700280.62335,27942175876.223576,1.7589945694771583,0.7014182742329594
-1.708542713567839,138051484788.16522,28143215832.777454,1.8442337990169952,0.7234533426190478
-1.6683417085427137,139986623979.32196,28332171329.693016,1.9275300737710686,0.7437309396684455
-1.6281407035175879,142034128009.46793,28508244381.600044,2.0085674411704444,0.7621225040396029
-1.587939698492462,144192126895.55566,28671627342.990818,2.0870554745772463,0.7785208004763097
-1.5477386934673367,146457885964.84567,28823508001.416634,2.1627299861766183,0.7928399753824896
-1.507537688442211,148827826119.5216,28966048060.71327,2.2353535403945877,0.805015559874655
-1.4673366834170856,151297548687.14557,29102334703.76187,2.304715773940692,0.8150044111546917
-1.4271356783919598,153861864613.7816,29236304518.438286,2.370633529261306,0.8227845857127296
-1.386934673366834,156514827744.90768,29372638986.72052,2.4329508088150167,0.8283551400024354
-1.3467336683417086,159249771928.89417,29516631109.31833,2.4915385581467104,0.8317358557622553
-1.3065326633165828,162059351668.83405,29674023670.63647,2.5462942862437647,0.8329668880384087
-1.2663316582914574,164935586040.81488,29850821187.036915,2.597141532107438,0.8321083341449956
-1.2261306532663316,167869905590.29883,30053079676.23353,2.644029186866783,0.8292397211990106
-1.1859296482412058,170853201913.0868,30286680859.934982,2.6869306811026705,0.8244594083919976
-1.1457286432160805,173875879623.34665,30557099945.497807,2.7258430473373747,0.817883897677872
-1.1055276381909547,176927910408.35632,30869178285.495342,2.760785867882208,0.8096470429226796
-1.0653266331658293,179998888867.9033,31226913498.708073,2.7918001184233487,0.7998991426350125
-1.0251256281407035,183078089835.67017,31633279630.423542,2.818946917865956,0.7888058950758978
-0.9849246231155777,186154526880.37128,32090088407.92809,2.8423061950503157,0.7765471868422502
-0.9447236180904524,189217011685.86884,32597899676.015923,2.8619752830027894,0.7633156771438937
-0.9045226130653266,192254214011.93417,33155985060.077286,2.878067451390149,0.749315130515716
-0.8643216080402008,195254721940.71457,33762344424.48394,2.8907103878101306,0.7347584417212646
-0.8241206030150754,198207102118.2647,34413770483.00176,2.900044638475216,0.7198652899474416
-0.7839195979899496,201099959705.68713,35105953596.62305,2.906222018732289,0.7048593578106861
-0.7437185929648242,203921997760.4382,35833616751.72307,2.90940400370949,0.6899650579006177
-0.7035175879396984,206662075775.19122,36590670045.776695,2.9097601091948295,0.6754037299999656
-0.6633165829145726,209309267109.2378,37370374554.705315,2.9074662726304497,0.661389310147561
-0.6231155778894473,211852915055.74286,38165506879.731926,2.902703243853407,0.6481235313656368
-0.5829145728643215,214282687297.1954,38968517576.79551,2.895654994930026,0.6357907947464299
-0.5427135678391961,216588628511.08984,39771678696.42694,2.8865071581177952,0.6245529425789317
-0.5025125628140703,218761210898.19336,40567217535.58922,2.875445500647916,0.6145442588512514
-0.4623115577889445,220791382416.66382,41347435263.01686,2.8626544446546522,0.6058670963425107
-0.42211055276381915,222670612516.75266,42104810261.42514,2.848315640185951,0.5985885596989503
-0.38190954773869334,224390935182.81183,42832086840.838745,2.8326065988150884,0.5927386398588407
-0.341708542713568,225944989101.80118,43522350467.546524,2.8156993949367606,0.5883100883475971
-0.3015075376884422,227326054790.41055,44169090891.82574,2.7977594413747497,0.5852601501290304
-0.2613065326633164,228528088526.2493,44766254615.136314,2.7789443454534823,0.5835140697087813
-0.22110552763819102,229545752942.2689,45308288076.137596,2.7594028511941007,0.5829700878201103
-0.18090452261306522,230374444157.64136,45790172804.18126,2.7392738727885515,0.5835054954182529
-0.14070351758793986,231010315332.67822,46207453625.2787,2.718685623984214,0.5849832346781305
-0.10050251256281406,231450296550.0105,46556260833.66135,2.6977548474784054,0.5872585395383176
-0.06030150753768826,231692110939.1181,46833327077.34002,2.6765861478779884,0.5901851777723575
-0.0201005025125629,231734286976.3697,47035999556.98737,2.655271431226169,0.5936209671006137
0.020100502512562457,231576166907.96582,47162248007.66231,2.6338894535375594,0.5974323614245286
0.06030150753768826,231217911258.54108,47210668822.88096,2.6125054802156376,0.6014980170311462
0.10050251256281406,230660499403.63983,47180485588.93911,2.5911710576550053,0.605711338769783
0.14070351758793986,229905726199.7885,47071546221.79809,2.5699238977562238,0.6099820679735064
0.18090452261306567,228956194681.4284,46884316836.39865,2.548787875504762,0.6142370092337454
0.22110552763819058,227815304849.48856,46619872425.986946,2.5277731391894807,0.6184200077032332
0.2613065326633164,226487238591.85574,46279884384.05097,2.506876332261444,0.622491289218207
0.3015075376884422,224976940791.38058,45866604861.1103,2.4860809252624203,0.6264262684820902
0.341708542713568,223290096692.3298,45382847910.497314,2.4653576556856245,0.6302139207689437
0.3819095477386938,221433105611.29984,44831967339.38034,2.4446650730706447,0.6338548034403952
0.4221105527638196,219413051093.52957,44217831141.989,2.4239501860816524,0.6373588069252283
0.4623115577889445,217237667630.23743,43544792350.235054,2.403149207774447,0.6407427113886203
0.5025125628140703,214915304067.03674,42817656092.32923,2.3821883947251186,0.6440276248981344
0.5427135678391961,212454883847.61237,42041642603.23799,2.360984975172798,0.6472363805868333
0.5829145728643219,209865862250.63385,41222345883.96488,2.3394481608224837,0.6503909727929483
0.6231155778894477,207158180791.30792,40365687663.650276,2.3174802364629743,0.6535101138793488
0.6633165829145726,204342218971.98737,39477866285.863205,2.2949777210809184,0.6566069928813822
0.7035175879396984,201428743578.8349,38565300127.920685,2.2718325936966126,0.6596873130279782
0.7437185929648242,198428855733.63828,37634565183.165,2.247933576711734,0.6627476767270281
0.78391959798995,195353935921.4621,36692326508.62639,2.2231674691455536,0.6657743736309685
0.8241206030150758,192215587225.86014,35745263386.19126,2.1974205217455274,0.668742610428108
0.8643216080402008,189025577013.83047,34799988288.89025,2.170579845592386,0.6716162012084235
0.9045226130653266,185795777322.52902,33862960109.873764,2.1425348454802027,0.6743477162671193
0.9447236180904524,182538104208.94275,32940392619.908737,2.1131786690401366,0.6768790668782824
0.9849246231155782,179264456332.21057,32038159777.65038,2.0824096622940607,0.6791424856455026
1.025125628140704,175986653046.0476,31161700312.083164,2.0501328220727526,0.6810618479084682
1.0653266331658289,172716372285.73065,30315924883.6617,2.0162612355141136,0.6825542702061562
1.1055276381909547,169465088540.30774,29505130025.71829,1.9807174966717171,0.6835319172135075
1.1457286432160805,166244011206.067,28732923844.944214,1.9434350901142994,0.6839039485650746
1.1859296482412063,163064023621.8037,28002168959.95672,1.904359731284152,0.6835785408158892
1.226130653266332,159935623090.02396,27314948209.006126,1.863450653308359,0.6824649264781532
1.266331658291457,156868862190.88177,26672558113.653862,1.8206818299228826,0.6804754005549273
1.3065326633165828,153873291697.33008,26075533862.081654,1.7760431241772798,0.6775272542904884
1.3467336683417086,150957905400.6408,25523707694.497704,1.7295413526388401,0.673544605172261
1.3869346733668344,148131087155.06924,25016300177.75856,1.68120125491062,0.6684601009790743
1.4271356783919602,145400560448.98785,24552041202.216007,1.631066358419979,0.662216483535117
1.4673366834170851,142773340807.23404,24129314943.04492,1.5791997286240451,0.6547680046655374
1.507537688442211,140255691325.69006,23746320821.810444,1.5256845950178697,0.6460816926911244
1.5477386934673367,137853081634.19595,23401240931.317707,1.4706248436212306,0.6361384727990287
1.5879396984924625,135570150577.75014,23092403577.225426,1.4141453669627075,0.6249341490142762
1.6281407035175883,133410672898.55263,22818432541.631817,1.356392262976398,0.612480259544009
1.6683417085427132,131377530192.74182,22578372282.650974,1.2975328746788577,0.5988048212536092
1.708542713567839,129472686405.64812,22371780400.037952,1.2377556630032214,0.5839529832218124
1.7487437185929648,127697168117.9852,22198780188.272575,1.1772699057354976,0.5679876139136029
1.7889447236180906,126051049862.59908,22060067899.63294,1.1163052161261304,0.5509898515917099
1.8291457286432165,124533444697.15382,21956871468.134106,1.055110875439909,0.5330596530266828
1.8693467336683414,123142500242.41798,21890859977.89089,0.9939549744604553,0.5143163808256274
1.9095477386934672,121875400378.58902,21864006171.669434,0.933123359783486,0.4948994735238924
1.949748743718593,120728372773.32422,21878407773.542606,0.8729183816174438,0.4749692424646716
1.9899497487437188,119696702394.7932,21936077154.87873,0.8136574407622518,0.4547078308318034
2.0301507537688446,118774751141.09908,22038712492.072758,0.7556713334586962,0.43432034509134165
2.0703517587939704,117955983693.79266,22187466436.351147,0.6993023938935494,0.4140361147801886
2.1105527638190953,117232999677.89735,22382729756.280212,0.6449024353107451,0.39410993412747897
2.150753768844221,116597572183.82724,22623946869.99332,0.5928304919181184,0.3748229638667173
2.190954773869347,116040692677.78842,22909477456.72441,0.5434503650941747,0.35648269996721327
2.2311557788944727,115552622296.66899,23236513717.278793,0.4971279787911818,0.33942104405295004
2.2713567839195985,115122949491.00154,23601057101.18445,0.45422855050175426,0.3239890954565753
2.3115577889447234,114740653945.30171,23997952468.96594,0.41511358570685736,0.3105470100825012
2.351758793969849,114394176668.89793,24420972722.818,0.3801377053559868,0.2994474974587329
2.391959798994975,114071496112.24657,24862943629.969147,0.34964531764619816,0.29101272962232355
2.432160804020101,113760210123.62653,25315897142.71578,0.32396714716760994,0.28550687119783247
2.4723618090452266,113447623519.00967,25771241815.178505,0.3034166363702056,0.2831095592964348
2.5125628140703515,113120840993.7449,26219940462.870983,0.28828623628209893,0.2838977705641019
2.5527638190954773,112766865058.47403,26652687434.291492,0.278843605474,0.2878425557140541
2.592964824120603,112372698633.34526,27060080244.033215,0.27532773842046243,0.2948225833260201
2.633165829145729,111925451884.09879,27432782479.716442,0.27794504665680037,0.3046504994277729
2.6733668341708547,111412452830.91663,27761676633.940125,0.28686541847290653,0.31710421786215676
2.7135678391959797,110821361206.0209,28038006764.368572,0.3022182853233679,0.33195523273421795
2.7537688442211055,110140284978.8432,28253511684.701874,0.32408872566858615,0.34898894839597894
2.7939698492462313,109357898908.13396,28400549822.715424,0.3525136395954781,0.3680155860321228
2.834170854271357,108463564418.58893,28472217051.333958,0.3874780303008247,0.38887278382152995
2.874371859296483,107447450035.42577,28462458801.439495,0.42891143135640863,0.41142214777373265
2.914572864321608,106300651543.78712,28366177681.366173,0.47668452161439157,0.43554211196717346
2.9547738693467336,105015310970.86104,28179337719.675606,0.5306059726561998,0.46111906782753986
2.9949748743718594,103584733417.15363,27899066259.449074,0.5904195768386353,0.4880381996603389
3.035175879396985,102003500689.37476,27523754494.819912,0.6558017072500146,0.5161749972213133
3.075376884422111,100267580610.89632,27053157673.11405,0.726359164257472,0.5453880574028087
3.115577889447236,98374430806.65125,26488496096.997795,0.8016274668060328,0.575513531191634
3.1557788944723617,96323095677.63347,25832558243.14504,0.8810696502222823,0.6063613984423014
3.1959798994974875,94114295195.81848,25089807533.95355,0.9640756359813274,0.6377136423169862
3.2361809045226133,91750504063.27191,24266494470.815186,1.0499622427183288,0.669324332811461
3.276381909547739,89236019689.47498,23370775779.278374,1.1379739117044547,0.7009216037425338
3.316582914572864,86577017348.34982,22412841560.38564,1.2272842240656416,0.7322115112683992
