# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.207E+17 -/+ 2.417E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 5.522E+00 -/+ 1.106E+00 eV
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 2.074E+11 -/+ 3.497E+10
# a_ 1: -4.086E+09 -/+ 2.650E+10
# a_ 2: -5.131E+10 -/+ 3.869E+10
# a_ 3: 1.030E+09 -/+ 1.179E+10
# a_ 4: 1.023E+10 -/+ 1.151E+10
# a_ 5: -8.174E+07 -/+ 1.842E+09
# a_ 6: -9.885E+08 -/+ 1.395E+09
# a_ 7: 4.238E+05 -/+ 1.171E+08
# a_ 8: 4.266E+07 -/+ 7.449E+07
# a_ 9: 8.995E+04 -/+ 2.582E+06
# a_10: -6.754E+05 -/+ 1.453E+06
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 5.670E+00 -/+ 1.199E+00
# a_ 1: -8.120E-02 -/+ 1.214E+00
# a_ 2: -9.217E-01 -/+ 1.435E+00
# a_ 3: -1.547E-02 -/+ 5.700E-01
# a_ 4: -4.677E-02 -/+ 4.758E-01
# a_ 5: 8.146E-03 -/+ 9.449E-02
# a_ 6: 2.462E-02 -/+ 6.269E-02
# a_ 7: -7.680E-04 -/+ 6.352E-03
# a_ 8: -1.875E-03 -/+ 3.569E-03
# a_ 9: 2.092E-05 -/+ 1.476E-04
# a_10: 4.295E-05 -/+ 7.326E-05
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,47271061315.86597,14169549294.504,2.02522325853559,1.1274644718523785
-3.959798994974874,49318417226.61389,13105111990.700277,2.071305021303708,1.1225865823024144
-3.919597989949749,51408621828.62256,12187347001.883036,2.115035099105313,1.1081040260431676
-3.879396984924623,53539627973.30243,11533779940.94629,2.15472748119992,1.088674402536846
-3.8391959798994977,55707069285.04413,11209294552.156078,2.189096663774574,1.0679905423372464
-3.798994974874372,57904734715.121216,11212245911.481794,2.217210514241355,1.0486412584943516
-3.758793969849246,60124995689.76471,11482864497.661125,2.238446771556216,1.0321121182195108
-3.7185929648241207,62359188752.528015,11931855603.599358,2.252452987572582,1.018903675809645
-3.678391959798995,64597956488.73779,12470178597.305073,2.2591097215663147,1.0087404174512202
-3.6381909547738696,66831549410.05859,13026260241.307669,2.258496807027891,1.0008281816379778
-3.5979899497487438,69050091369.9732,13550734708.049131,2.250862516620355,0.9941112004866712
-3.557788944723618,71243810976.29074,14014510801.006315,2.2365954578442757,0.9874891166237124
-3.5175879396984926,73403241364.60287,14404704898.4514,2.2161990384386687,0.9799734671053595
-3.477386934673367,75519390596.86115,14720530852.365473,2.1902683468802664,0.9707819023884525
-3.4371859296482414,77583884851.97159,14969768538.89629,2.1594692995241385,0.9593803147660616
-3.3969849246231156,79589086480.41608,15165842417.137537,2.1245199119583704,0.9454873283125625
-3.35678391959799,81528188902.42319,15325385535.074163,2.086173558026365,0.9290547555616697
-3.3165829145728645,83395290239.07242,15466174616.155128,2.0452040857038103,0.9102345550046217
-3.2763819095477387,85185447477.93063,15605382237.913492,2.0023926646044865,0.8893394715603332
-3.2361809045226133,86894712889.30997,15758155742.748055,1.9585162453331062,0.8668018051166037
-3.1959798994974875,88520154326.0336,15936575741.610985,1.9143375162047853,0.8431328570484755
-3.1557788944723617,90059860958.62369,16149055262.115292,1.8705962480113278,0.818884474471313
-3.115577889447236,91512935919.09782,16400209787.074747,1.8280019225365591,0.7946135803598737
-3.0753768844221105,92879477250.00241,16691169502.036182,1.7872275454082116,0.770850472599889
-3.035175879396985,94160548480.96043,17020241173.612463,1.7489045486228598,0.7480718307749161
-2.9949748743718594,95358140082.76248,17383782758.111397,1.713618692696739,0.7266796117364347
-2.9547738693467336,96475122978.94016,17777142765.763184,1.6819068828789234,0.7069871547385971
-2.914572864321608,97515195226.71918,18195536560.633568,1.6542548182170915,0.6892136740036345
-2.8743718592964824,98482822913.30707,18634770101.966488,1.6310953964913644,0.673487776752711
-2.834170854271357,99383176249.53148,19091763056.155277,1.6128078021300185,0.6598597238195505
-2.7939698492462313,100222061780.94423,19564857422.18569,1.599717208194156,0.6483210203858805
-2.7537688442211055,101005851576.55911,20053921149.566048,1.5920950273684644,0.6388288668675755
-2.7135678391959797,101741410197.41953,20560269916.34417,1.5901596506234825,0.6313322914696938
-2.6733668341708543,102436020191.13522,21086437588.129955,1.594077615823101,0.6257965850299276
-2.633165829145729,103097306804.37918,21635830080.49272,1.6039651520414286,0.6222229586632905
-2.592964824120603,103733162553.04951,22212300330.969646,1.6198900487265975,0.6206610171788397
-2.5527638190954773,104351672239.37787,22819684307.852196,1.6418738021083477,0.6212125313158604
-2.5125628140703515,104961038956.64157,23461338764.453503,1.6698939943918405,0.6240259956374226
-2.472361809045226,105569511575.32542,24139719632.326977,1.7038868643149576,0.6292825354055407
-2.4321608040201004,106185314159.51462,24856034634.348507,1.743750030571173,0.6371748414190727
-2.391959798994975,106816577718.98534,25609994825.878418,1.7893453324172515,0.6478818604213699
-2.351758793969849,107471274660.85541,26399678330.16065,1.8405017544958908,0.6615427329458999
-2.3115577889447234,108157156264.72859,27221507330.664684,1.8970184055098782,0.6782336783572966
-2.271356783919598,108881693467.00378,28070328465.477905,1.958667522888072,0.6979509970098798
-2.2311557788944723,109652021203.38551,28939578777.8983,2.025197477986229,0.7206021487992497
-2.190954773869347,110474886523.59674,29821515112.91204,2.096335758669039,0.746005302654401
-2.150753768844221,111356600658.84029,30707484192.12526,2.171791908325635,0.7738962968098696
-2.1105527638190953,112302995190.64641,31588212744.900887,2.251260402480728,0.8039409895566605
-2.07035175879397,113319382439.35982,32454100908.752247,2.3344234461793865,0.8357506631565613
-2.030150753768844,114410520161.62772,33295506567.396847,2.4209536772468363,0.8688983730350187
-1.9899497487437188,115580580618.82733,34103012558.86517,2.5105167623573394,0.9029346766745249
-1.949748743718593,116833124052.39243,34867672274.384026,2.6027738745899383,0.9374017932441865
-1.9095477386934672,118171076577.42636,35581231886.260284,2.6973840428051856,0.9718457741737717
-1.8693467336683418,119596712482.81287,36236329295.78165,2.79400636474799,1.0058266381295755
-1.829145728643216,121111640904.21068,36826670995.27704,2.8923020772685715,1.0389266415047578
-1.7889447236180902,122716796815.83348,37347188543.30636,2.991936478458577,1.0707569521429288
-1.7487437185929648,124412436267.73251,37794176399.49464,3.0925806978238675,1.1009630117225433
-1.708542713567839,126198135777.39551,38165412562.81187,3.193913311861305,1.1292288467126894
-1.6683417085427137,128072795767.82643,38460262869.57739,3.295621803575817,1.1552805438353042
-1.6281407035175879,130034647928.84041,38679768961.331825,3.3974038655675853,1.178889058209176
-1.587939698492462,132081266364.08267,38826718823.497086,3.4989685473393544,1.1998724780458407
-1.5477386934673367,134209582373.21858,38905697401.84843,3.600037248422162,1.2180978314305964
-1.507537688442211,136415902706.83128,38923113106.15001,3.700344559795994,1.2334824882043642
-1.4673366834170856,138695931120.76202,38887194020.75261,3.7996389568917284,1.2459951818186168
-1.4271356783919598,141044793046.92322,38807945443.442245,3.897683348203938,1.2556566503247717
-1.386934673366834,143457063188.96625,38697058172.90949,3.994255484222369,1.262539870404503
-1.3467336683417086,145926795843.57898,38567755151.32249,4.089148232004973,1.2667698318159735
-1.3065326633165828,148447557741.58502,38434563262.43358,4.18216972126896,1.2685227705792617
-1.2663316582914574,151012463197.39786,38312998141.362144,4.273143368370007,1.2680247472002315
-1.2261306532663316,153614211350.7193,38219153757.8511,4.361907784975645,1.265549422005574
-1.1859296482412058,156245125280.63187,38169196155.80511,4.448316578618071,1.2614148458064893
-1.1457286432160805,158897192769.40152,38178772374.39121,4.5322380526364485,1.255979055688719
-1.1055276381909547,161562108491.34143,38262360448.38434,4.613554813290645,1.2496342509218799
-1.0653266331658293,164231317400.97192,38432602186.63266,4.692163292048927,1.2427993343057369
-1.0251256281407035,166896059094.41522,38699673411.44487,4.767973191223438,1.235910653837325
-0.9849246231155777,169547412918.45767,39070752154.564545,4.840906861250626,1.229410882730674
