# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.006E+17 -/+ 2.013E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 3.173E+00 -/+ 6.357E-01 eV
# *********** Polynomial fit to n_e ***********
# Order:      20
# a_ 0: 2.162E+11 -/+ 3.489E+05
# a_ 1: 2.190E+10 -/+ 4.803E+06
# a_ 2: -7.827E+10 -/+ 1.490E+06
# a_ 3: -2.597E+10 -/+ 1.976E+07
# a_ 4: 4.575E+10 -/+ 6.198E+06
# a_ 5: 8.928E+09 -/+ 6.740E+07
# a_ 6: -1.804E+10 -/+ 2.241E+07
# a_ 7: -1.383E+09 -/+ 1.381E+08
# a_ 8: 3.846E+09 -/+ 4.988E+07
# a_ 9: 1.103E+08 -/+ 4.638E+07
# a_10: -4.654E+08 -/+ 1.596E+07
# a_11: -4.411E+06 -/+ 5.971E+06
# a_12: 3.386E+07 -/+ 1.974E+06
# a_13: 5.265E+04 -/+ 3.951E+05
# a_14: -1.515E+06 -/+ 1.260E+05
# a_15: 2.199E+03 -/+ 1.431E+04
# a_16: 4.091E+04 -/+ 4.421E+03
# a_17: -8.448E+01 -/+ 2.703E+02
# a_18: -6.124E+02 -/+ 8.108E+01
# a_19: 8.575E-01 -/+ 2.086E+00
# a_20: 3.905E+00 -/+ 6.090E-01
# *********** Polynomial fit to T_e ***********
# Order:      20
# a_ 0: 3.297E+00 -/+ 7.437E-06
# a_ 1: -1.022E+00 -/+ 1.814E-04
# a_ 2: 1.744E+00 -/+ 3.934E-05
# a_ 3: 9.319E-01 -/+ 7.746E-04
# a_ 4: -2.410E+00 -/+ 1.956E-04
# a_ 5: -3.144E-01 -/+ 2.786E-03
# a_ 6: 1.060E+00 -/+ 7.710E-04
# a_ 7: 5.099E-02 -/+ 5.951E-03
# a_ 8: -2.320E-01 -/+ 1.767E-03
# a_ 9: -4.501E-03 -/+ 2.161E-03
# a_10: 2.888E-02 -/+ 6.120E-04
# a_11: 2.275E-04 -/+ 2.990E-04
# a_12: -2.175E-03 -/+ 8.167E-05
# a_13: -6.529E-06 -/+ 2.114E-05
# a_14: 1.011E-04 -/+ 5.603E-06
# a_15: 9.772E-08 -/+ 8.133E-07
# a_16: -2.835E-06 -/+ 2.102E-07
# a_17: -5.666E-10 -/+ 1.620E-08
# a_18: 4.398E-08 -/+ 4.099E-09
# a_19: -3.987E-13 -/+ 1.310E-10
# a_20: -2.900E-10 -/+ 3.256E-11
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,67075115229.879395,20511217292.77018,1.0609142312316635,0.41854604258182526
-3.959798994974874,71316818949.55908,21534910830.94991,1.0407634556181051,0.41151502020512215
-3.919597989949749,75643851521.97412,22370562699.097748,1.0078017780929827,0.4007735599354083
-3.879396984924623,79994892316.32764,22998220890.12782,0.962827500981291,0.3866375500440495
-3.8391959798994977,84304749321.00049,23412812907.57035,0.9072047821116485,0.3696670260314425
-3.798994974874372,88506341191.4065,23623510954.818523,0.8427887824948357,0.3506461149329574
-3.758793969849246,92532703558.98218,23652848310.83846,0.7718359989540886,0.330570802106904
-3.7185929648241207,96318950218.00122,23535478254.73556,0.6969045178045548,0.3106340800720605
-3.678391959798995,99804127181.59753,23316393136.21091,0.6207487638541522,0.2921898435700828
-3.6381909547738696,102932906128.21503,23048340908.417965,0.5462130222367776,0.27666657251323995
-3.5979899497487438,105657073042.35455,22788165051.96434,0.4761276085081718,0.2654008283959146
-3.557788944723618,107936777530.40302,22591927646.592537,0.4132110823364279,0.25939248420567657
-3.5175879396984926,109741518027.09637,22509065632.13185,0.3599813679449184,0.2590600095000271
-3.477386934673367,111050847627.75073,22576433833.471874,0.31867808302799716,0.2641352768684551
-3.4371859296482414,111854794342.02882,22813630787.79782,0.29119780788035143,0.2737825382860209
-3.3969849246231156,112153997978.38469,23221011288.231167,0.2790434655429479,0.2868760266699056
-3.35678391959799,111959573471.0665,23781017962.368206,0.28328844721717594,0.30228637841833156
-3.3165829145728645,111292717151.00465,24462285886.84976,0.30455561680511156,0.31907434038549326
-3.2763819095477387,110184078150.78394,25225123782.677372,0.34301087438400923,0.3365783199770891
-3.2361809045226133,108672921783.48721,26026897594.15604,0.3983705575769916,0.3544270821839478
-3.1959798994974875,106806115329.04016,26826357023.03704,0.4699216172747209,0.37251046173173946
-3.1557788944723617,104636969213.83661,27586584635.085125,0.5565532225562024,0.39092821711011877
-3.115577889447236,102223968112.42673,28276686787.661896,0.6567982302831243,0.40992688603655963
-3.0753768844221105,99629427092.03935,28872526282.024734,0.7688827965766312,0.4298301500805537
-3.035175879396985,96918107629.71558,29356805102.203896,0.8907823084787703,0.4509680487843813
-2.9949748743718594,94155827242.37035,29718740921.988808,1.020281771021995,0.47361173052040323
-2.9547738693467336,91408094673.99176,29953506335.678387,1.1550387935148856,0.49792105509998547
-2.914572864321608,88738800181.7011,30061539337.138664,1.2926473740428752,0.5239109564858835
-2.8743718592964824,86208987554.54309,30047792435.66591,1.4307007773841054,0.551439128341088
-2.834170854271357,83875731191.44592,29920962208.96836,1.566851932807393,0.580213553331416
-2.7939698492462313,81791137959.3906,29692726140.985935,1.6988699383841783,0.6098152220342203
-2.7537688442211055,80001489750.64261,29377005087.73198,1.82469144127608,0.6397299982011114
-2.7135678391959797,78546538753.47678,28989264829.9678,1.942465862862713,0.6693839414486347
-2.6733668341708543,77458963534.70541,28545867105.64828,2.0505936475744706,0.6981777934610333
-2.633165829145729,76763990185.75961,28063478212.676655,2.1477569293277226,0.7255179871753015
-2.592964824120603,76479179082.27919,27558541211.492188,2.232942224244737,0.7508429291743349
-2.5527638190954773,76614374315.0505,27046815632.57303,2.3054549681430787,0.7736442468014468
-2.5125628140703515,77171809624.20732,26542986385.93372,2.3649259178052175,0.7934832152452798
-2.472361809045226,78146361755.90294,26060341361.956203,2.4113096225945925,0.8100028063620002
-2.4321608040201004,79525939598.23936,25610515218.3352,2.444875344401024,0.8229358525050812
-2.391959798994975,81291995269.21796,25203295330.23423,2.466190956630848,0.8321097852462004
-2.351758793969849,83420141542.69284,24846485083.767708,2.4761004849954382,0.8374483446031584
-2.3115577889447234,85880858618.63345,24545819749.83557,2.475696062791206,0.8389705862939152
-2.271356783919598,88640272273.31905,24304931010.700787,2.4662851603387166,0.8367874530569687
-2.2311557788944723,91660984857.44443,24125357516.580254,2.4493540118925123,0.8310961231636126
-2.190954773869347,94902940432.60565,24006600131.08312,2.4265282038003932,0.8221723037827048
-2.150753768844221,98324305530.03226,23946221248.09205,2.3995314055545522,0.8103605981987091
-2.1105527638190953,101882347555.16681,23939987346.51562,2.370143221623638,0.7960630458736137
-2.07035175879397,105534293718.28085,23982052711.703537,2.3401571179231726,0.7797259191918394
-2.030150753768844,109238154511.63393,24065180248.421253,2.3113393341113775,0.7618248717537615
-1.9899497487437188,112953497141.38544,24180993037.18097,2.2853896334838617,0.7428485866492087
-1.949748743718593,116642155919.0733,24320248294.32434,2.2639046681794626,0.7232811880096812
-1.9095477386934672,120268868383.00748,24473124111.265472,2.2483446509428244,0.7035838701348492
-1.8693467336683418,123801827813.73083,24629508959.789227,2.240003928168709,0.6841764655135117
-1.829145728643216,127213144789.10489,24779284412.108177,2.2399859447702775,0.6654199871397738
-1.7889447236180902,130479212453.67783,24912592627.81728,2.249182981979006,0.6476014729068267
-1.7487437185929648,133580972215.08447,25020081635.03237,2.268260936864401,0.6309226245686721
-1.708542713567839,136504078590.54384,25093123032.785275,2.2976492994544313,0.6154936538223685
-1.6683417085427137,139238963874.6123,25123998287.64388,2.337536372026903,0.6013333454594272
-1.6281407035175879,141780805153.5342,25106051189.001686,2.387869667473704,0.5883756378760758
-1.587939698492462,144129397923.31635,25033805227.65534,2.448361321488667,0.5764821387914263
-1.5477386934673367,146288942152.90002,24903045675.31572,2.518498258381917,0.5654591593303265
-1.507537688442211,148267748049.11588,24710866992.352505,2.597556764053575,0.5550772852842873
-1.4673366834170856,150077870008.83813,24455686905.717464,2.684621043319061,0.5450913428735004
-1.4271356783919598,151734678272.20612,24137229103.11823,2.7786052733851268,0.5352588529167803
-1.386934673366834,153256378609.17084,23756477000.562664,2.8782786116084744,0.5253555803725949
-1.3467336683417086,154663490974.09964,23315601468.738792,2.9822925742650446,0.5151874041611844
-1.3065326633165828,155978298447.68265,22817865754.192272,3.089210174216807,0.504598303345154
-1.2663316582914574,157224277953.58972,22267511105.22341,3.197536189150533,0.49347468866295113
-1.2261306532663316,158425524194.36325,21669626809.397083,3.3057479283217583,0.48174657604975524
-1.1859296482412058,159606178005.33765,21030008468.727547,3.4123258740979283,0.46938621979822687
-1.1457286432160805,160789869888.37054,20355008379.721947,3.5157835944919533,0.4564048372260939
-1.1055276381909547,161999188873.00726,19651381849.4289,3.614696353565385,0.44284800607268776
-1.0653266331658293,163255186077.89847,18926133167.73664,3.7077278871535553,0.428790234209546
-1.0251256281407035,164576921428.44315,18186364774.172646,3.793654860778383,0.41432911145742346
-0.9849246231155777,165981060947.96213,17439132909.591248,3.871388583705039,0.39957936834648217
-0.9447236180904524,167481530900.80478,16691312735.951572,3.9399936166098932,0.3846670924071897
-0.9045226130653266,169089233849.13443,15949475548.661404,3.9987029789311515,0.36972429050172917
-0.8643216080402008,170811830413.77902,15219780304.572376,4.046929734296024,0.35488393495406867
-0.8241206030150754,172653589226.69983,14507881254.542713,4.084274807061156,0.3402755900274084
-0.7839195979899496,174615306251.3842,13818853013.320738,4.110530958568795,0.32602168169341095
-0.7437185929648242,176694293350.32587,13157133932.883852,4.125682926834391,0.3122344459308822
-0.7035175879396984,178884434717.40234,12526488180.329437,4.129903806710649,0.29901356764359466
