# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.115E+17 -/+ 2.230E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 3.613E+00 -/+ 7.239E-01 eV
# *********** Polynomial fit to n_e ***********
# Order:      20
# a_ 0: 2.407E+11 -/+ 3.310E+05
# a_ 1: 1.462E+10 -/+ 4.135E+06
# a_ 2: -1.773E+11 -/+ 1.374E+06
# a_ 3: -1.915E+10 -/+ 1.682E+07
# a_ 4: 1.017E+11 -/+ 5.495E+06
# a_ 5: 8.376E+09 -/+ 5.507E+07
# a_ 6: -3.076E+10 -/+ 1.819E+07
# a_ 7: -1.851E+09 -/+ 1.044E+08
# a_ 8: 5.413E+09 -/+ 3.584E+07
# a_ 9: 2.305E+08 -/+ 4.195E+07
# a_10: -5.992E+08 -/+ 1.366E+07
# a_11: -1.668E+07 -/+ 6.280E+06
# a_12: 4.333E+07 -/+ 1.963E+06
# a_13: 6.905E+05 -/+ 4.772E+05
# a_14: -2.047E+06 -/+ 1.441E+05
# a_15: -1.506E+04 -/+ 1.968E+04
# a_16: 6.076E+04 -/+ 5.769E+03
# a_17: 1.313E+02 -/+ 4.207E+02
# a_18: -1.025E+03 -/+ 1.202E+02
# a_19: 7.631E-02 -/+ 3.656E+00
# a_20: 7.470E+00 -/+ 1.021E+00
# *********** Polynomial fit to T_e ***********
# Order:      20
# a_ 0: 2.549E+00 -/+ 3.907E-03
# a_ 1: 2.152E+00 -/+ 5.392E-04
# a_ 2: 4.276E+00 -/+ 1.072E-02
# a_ 3: -2.987E+00 -/+ 1.504E-03
# a_ 4: -3.430E+00 -/+ 2.503E-02
# a_ 5: 1.376E+00 -/+ 3.435E-03
# a_ 6: 1.010E+00 -/+ 3.254E-02
# a_ 7: -3.134E-01 -/+ 5.903E-03
# a_ 8: -1.551E-01 -/+ 2.043E-02
# a_ 9: 4.107E-02 -/+ 2.514E-03
# a_10: 1.411E-02 -/+ 4.409E-03
# a_11: -3.308E-03 -/+ 3.992E-04
# a_12: -8.060E-04 -/+ 4.858E-04
# a_13: 1.668E-04 -/+ 3.197E-05
# a_14: 2.941E-05 -/+ 3.040E-05
# a_15: -5.133E-06 -/+ 1.380E-06
# a_16: -6.693E-07 -/+ 1.095E-06
# a_17: 8.819E-08 -/+ 3.069E-08
# a_18: 8.686E-09 -/+ 2.115E-08
# a_19: -6.477E-10 -/+ 2.758E-10
# a_20: -4.919E-11 -/+ 1.699E-10
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,74595922837.58008,10930453805.372278,0.6559913558383528,0.43706647868405163
-3.959798994974874,75287906073.62793,11224452880.483406,0.6484006963744662,0.41716387399262517
-3.919597989949749,75593049995.58301,11478694307.835745,0.6520079505283576,0.4040071414641591
-3.879396984924623,75565695849.40869,11686604678.13848,0.6672428297866162,0.3959397798752383
-3.8391959798994977,75261599911.27588,11838205302.862906,0.6942511065443462,0.39151992476632314
-3.798994974874372,74735867520.93945,11922153497.71483,0.7328798149730815,0.38954330032959744
-3.758793969849246,74041307016.88574,11928019702.760406,0.7826726194696008,0.3890432840147899
-3.7185929648241207,73227192931.2522,11848414307.872002,0.8428753574749273,0.38930413880767645
-3.678391959798995,72338412118.35376,11680717413.868023,0.9124513575177033,0.389892892689775
-3.6381909547738696,71414954944.63623,11428315416.68296,0.9901057883153577,0.3906990541410997
-3.5979899497487438,70491705880.4076,11101316218.40899,1.0743180138784751,0.39195930674485774
-3.557788944723618,69598483370.52246,10716737372.334063,1.163380712564214,0.3942442190475018
-3.5175879396984926,68760277262.4458,10298107026.89076,1.2554443638450277,0.39838540567723923
-3.477386934673367,67997632860.08386,9874317497.393452,1.3485656116325697,0.4053328890403497
-3.4371859296482414,67327133392.58948,9477460293.595636,1.4407579730757494,0.41595541907109274
-3.3969849246231156,66761936893.17764,9139378923.52094,1.5300433716053368,0.430828198899787
-3.35678391959799,66312328766.4848,8886994715.700304,1.61450302666645,0.4500730479009916
-3.3165829145728645,65986257307.579895,8737225589.256489,1.6923263239636066,0.47330298099407975
-3.2763819095477387,65789825791.74046,8693179143.87981,1.761856412675833,0.49967800647146354
-3.2361809045226133,65727721190.045364,8743386643.539452,1.8216314236641766,0.5280350080863706
-3.1959798994974875,65803565841.721344,8864599465.899233,1.8704203690419114,0.5570397038949241
-3.1557788944723617,66020184328.1068,9026919068.193403,1.9072529625371715,0.5853224252714958
-3.115577889447236,66379783187.252525,9199240819.610445,1.931442786489279,0.611581670133036
-3.0753768844221105,66884045868.82776,9353541328.919136,1.9426034198028717,0.6346552872537169
-3.035175879396985,67534149372.119064,9467575499.359371,1.9406573271966143,0.6535658312584213
-2.9949748743718594,68330712291.784134,9526248485.446709,1.9258374895159913,0.6675473746515458
-2.9547738693467336,69273686498.28864,9522128531.925596,1.8986819241575104,0.6760595601777957
-2.914572864321608,70362206412.84131,9455481696.537851,1.8600214008076539,0.6787929059878446
-2.8743718592964824,71594410830.27191,9334042182.743662,1.8109607982947444,0.6756680989213792
-2.834170854271357,72967252548.22661,9172567853.79941,1.7528546714494508,0.6668312264715802
-2.7939698492462313,74476310739.28186,8992080683.040424,1.6872777011565483,0.6526464999143131
-2.7537688442211055,76115620130.94002,8818556135.530745,1.6159907853098276,0.6336877903037411
-2.7135678391959797,77877529716.53513,8680747880.753222,1.5409035927673715,0.6107300342688864
-2.6733668341708543,79752601997.12341,8606934532.511372,1.4640344466369608,0.5847410117502925
-2.633165829145729,81729561736.35919,8620796669.179876,1.3874684276955633,0.5568727398237086
-2.592964824120603,83795300987.33786,8737326325.501812,1.3133145941656355,0.5284492088311151
-2.5527638190954773,85934944805.3913,8960171428.007341,1.2436632015147253,0.5009428186260637
-2.5125628140703515,88131979675.87627,9281498944.921091,1.180543776641017,0.4759258401883367
-2.472361809045226,90368444334.4058,9684328525.061804,1.125884856306532,0.4549784051110889
-2.4321608040201004,92625180406.48456,10146213608.11089,1.0814761416187257,0.4395388174238589
-2.391959798994975,94882138202.90074,10642918320.657663,1.048933750559137,0.43070621390516184
-2.351758793969849,97118731126.57951,11151252300.431,1.0296691708896577,0.4290490622553567
-2.3115577889447234,99314230517.33713,11650868295.851358,1.024862428181543,0.43450456931139725
-2.271356783919598,101448191414.37129,12125204434.853632,1.0354398901665436,0.4464287013296549
-2.2311557788944723,103500898675.34474,12561848665.796167,1.0620570310343915,0.46377726147270665
-2.190954773869347,105453822168.74298,12952553747.098902,1.1050863796067096,0.4853333118275722
-2.150753768844221,107290069357.97826,13293048130.882483,1.1646107753100647,0.5098973446880655
-2.1105527638190953,108994823518.32072,13582719555.710316,1.2404219572909907,0.5364030532320055
-2.07035175879397,110555756060.53496,13824203973.508307,1.332024416464106,0.5639642187763869
-2.030150753768844,111963401961.2632,14022888521.70884,1.4386443492387582,0.591875771838623
-1.9899497487437188,113211488096.51273,14186327831.140984,1.5592434664614647,0.6195911733558966
-1.949748743718593,114297205313.39664,14323574140.98067,1.692537332902121,0.646691106786007
-1.9095477386934672,115221416324.5321,14444431325.233557,1.8370178424089143,0.6728518456726007
-1.8693467336683418,115988792934.18666,14558659188.597998,1.9909793724822333,0.6978173221799149
-1.829145728643216,116607877668.06819,14675174159.133263,2.1525481101274098,0.7213765081070569
-1.7889447236180902,117091066540.89061,14801310479.500717,2.3197139989126616,0.7433464835053377
-1.7487437185929648,117454511418.38007,14942215209.651016,2.490364725488353,0.7635609478137474
-1.708542713567839,117717942174.25694,15100444585.280724,2.6623211425452205,0.7818636064148459
-1.6683417085427137,117904410570.13022,15275806465.771948,2.8333735142786063,0.798105690304625
-1.6281407035175879,118039959460.97765,15465458096.92887,3.0013179696960015,0.8121467761609796
-1.587939698492462,118153222517.17755,15664230004.45266,3.163992558228687,0.8238580457063424
