# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.364E+17 -/+ 2.729E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 5.354E+00 -/+ 1.072E+00 eV
# *********** Polynomial fit to n_e ***********
# Order:      20
# a_ 0: 2.546E+11 -/+ 2.283E+05
# a_ 1: -2.164E+10 -/+ 4.346E+06
# a_ 2: -1.636E+11 -/+ 1.148E+06
# a_ 3: 1.889E+10 -/+ 1.806E+07
# a_ 4: 8.086E+10 -/+ 5.191E+06
# a_ 5: -7.153E+09 -/+ 6.192E+07
# a_ 6: -2.204E+10 -/+ 1.907E+07
# a_ 7: 1.509E+09 -/+ 1.260E+08
# a_ 8: 3.608E+09 -/+ 4.165E+07
# a_ 9: -1.962E+08 -/+ 4.498E+07
# a_10: -3.765E+08 -/+ 1.429E+07
# a_11: 1.625E+07 -/+ 6.106E+06
# a_12: 2.563E+07 -/+ 1.883E+06
# a_13: -8.539E+05 -/+ 4.245E+05
# a_14: -1.130E+06 -/+ 1.276E+05
# a_15: 2.738E+04 -/+ 1.612E+04
# a_16: 3.100E+04 -/+ 4.732E+03
# a_17: -4.865E+02 -/+ 3.185E+02
# a_18: -4.799E+02 -/+ 9.158E+01
# a_19: 3.662E+00 -/+ 2.568E+00
# a_20: 3.195E+00 -/+ 7.244E-01
# *********** Polynomial fit to T_e ***********
# Order:      20
# a_ 0: 5.738E+00 -/+ 5.183E-03
# a_ 1: -1.039E+00 -/+ 2.055E-03
# a_ 2: -3.845E-01 -/+ 1.497E-02
# a_ 3: 8.993E-01 -/+ 4.770E-03
# a_ 4: -1.330E+00 -/+ 3.596E-02
# a_ 5: -3.266E-01 -/+ 8.166E-03
# a_ 6: 6.523E-01 -/+ 4.819E-02
# a_ 7: 6.018E-02 -/+ 1.123E-02
# a_ 8: -1.489E-01 -/+ 2.824E-02
# a_ 9: -5.939E-03 -/+ 4.398E-03
# a_10: 1.978E-02 -/+ 5.868E-03
# a_11: 3.053E-04 -/+ 6.507E-04
# a_12: -1.621E-03 -/+ 6.273E-04
# a_13: -6.205E-06 -/+ 4.883E-05
# a_14: 8.256E-05 -/+ 3.816E-05
# a_15: -9.020E-08 -/+ 1.986E-06
# a_16: -2.540E-06 -/+ 1.334E-06
# a_17: 6.123E-09 -/+ 4.177E-08
# a_18: 4.316E-08 -/+ 2.500E-08
# a_19: -7.556E-11 -/+ 3.564E-10
# a_20: -3.104E-10 -/+ 1.945E-10
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,52272783192.64258,9479395466.544775,1.491351617516159,1.1149039730682917
-3.959798994974874,52455282264.13574,9598860659.88922,1.5864461110331831,1.0781288205583814
-3.919597989949749,52700839238.36426,9800784897.399086,1.6752548341730176,1.0406703098720502
-3.879396984924623,53026564379.75635,10061036633.930185,1.754770281208664,1.0071040337965733
-3.8391959798994977,53444809428.40747,10349116074.039799,1.822530929258221,0.981122814238049
-3.798994974874372,53963407139.17456,10634728231.673975,1.876664139186218,0.9649125545171674
-3.758793969849246,54586056850.684814,10892599911.945807,1.9159014034544697,0.9588165310973574
-3.7185929648241207,55312818782.08325,11105281717.295973,1.9395689987783271,0.9614486605324832
-3.678391959798995,56140681057.953,11264346061.428411,1.947557566271378,0.9702202248193424
-3.6381909547738696,57064165882.394775,11370480071.098658,1.9402744072111773,0.9820525932068241
-3.5979899497487438,58075944580.48511,11432824629.8931,1.918582375364693,0.9940216731242749
-3.557788944723618,59167435128.34332,11467709861.09551,1.8837291921484578,1.003793930600337
-3.5175879396984926,60329360096.03049,11496797780.907045,1.8372708350988987,1.0098415030746468
-3.477386934673367,61552247416.08853,11544605391.646524,1.780992378312245,1.0114897761568382
-3.4371859296482414,62826860896.351105,11635479594.094885,1.716829318867056,1.0088576991555414
-3.3969849246231156,64144551771.546326,11790323594.274311,1.6467920278704238,1.0027337474765108
-3.35678391959799,65497526704.9762,12023644583.38525,1.5728955383271668,0.994410751352979
-3.3165829145728645,66879031419.83249,12341607448.241587,1.4970964416657484,0.985490638877175
-3.2763819095477387,68283452480.6336,12741578223.29331,1.4212382258653626,0.9776670153921421
-3.2361809045226133,69706342611.4559,13213167412.903698,1.347005963335472,0.9724993439176138
-3.1959798994974875,71144377294.754,13740311979.708052,1.2758908564509115,0.9712032860998012
-3.1557788944723617,72595252234.8504,14303728669.488216,1.2091647812871726,0.9744910233769433
-3.115577889447236,74057532592.67519,14883174070.893974,1.1478646417845169,0.9824933328313936
-3.0753768844221105,75530465722.50793,15459203992.887175,1.0927860616937335,0.9947781569312684
-3.035175879396985,77013769496.69946,16014363737.203045,1.0444857027099554,1.0104541113083951
-2.9949748743718594,78507408226.4064,16533882262.275206,1.003291305302997,1.0283257224531557
-2.9547738693467336,80011367722.61768,17005992713.050924,0.9693184035783933,1.0470606352899774
-2.914572864321608,81525440242.21017,17421997440.46606,0.9424925655794862,1.0653373517749036
-2.8743718592964824,83049028981.5636,17776170407.009228,0.9225759533698865,1.0819572406099955
-2.834170854271357,84580980472.81342,18065562692.315956,0.9091969797919283,1.0959182155695104
