# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.914E+17 -/+ 4.792E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 9.357E+00 -/+ 2.340E+00 eV
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 2.650E+11 -/+ 2.634E+10
# a_ 1: -3.599E+10 -/+ 2.950E+10
# a_ 2: -4.113E+10 -/+ 2.190E+10
# a_ 3: -4.431E+09 -/+ 9.388E+09
# a_ 4: 5.094E+09 -/+ 6.335E+09
# a_ 5: 1.613E+09 -/+ 1.107E+09
# a_ 6: -5.482E+08 -/+ 7.045E+08
# a_ 7: -1.133E+08 -/+ 5.644E+07
# a_ 8: 3.038E+07 -/+ 3.385E+07
# a_ 9: 2.413E+06 -/+ 1.048E+06
# a_10: -6.060E+05 -/+ 5.928E+05
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 9.990E+00 -/+ 1.023E+00
# a_ 1: -1.479E+00 -/+ 1.498E+00
# a_ 2: -1.127E+00 -/+ 1.268E+00
# a_ 3: 6.280E-02 -/+ 6.955E-01
# a_ 4: 4.612E-01 -/+ 4.346E-01
# a_ 5: 4.834E-03 -/+ 1.144E-01
# a_ 6: -6.790E-02 -/+ 5.750E-02
# a_ 7: -1.548E-05 -/+ 7.477E-03
# a_ 8: 3.802E-03 -/+ 3.253E-03
# a_ 9: -1.042E-05 -/+ 1.670E-04
# a_10: -7.273E-05 -/+ 6.586E-05
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,20425335461.307007,8612667105.213045,4.742938945134867,1.1733439344690946
-3.959798994974874,20178288495.868286,8400084735.216029,4.816648650594487,1.146376726574312
-3.919597989949749,20216865108.7442,8269888876.772936,4.912078271083281,1.1370668171708267
-3.879396984924623,20578335402.26239,8242406315.985735,5.02910411817831,1.1479381825323098
-3.8391959798994977,21290248746.00647,8345715091.8779125,5.16718811790291,1.1778501703662156
-3.798994974874372,22371510325.48346,8615462906.07287,5.325443200423656,1.22294465515329
-3.758793969849246,23833380683.934265,9088500977.582031,5.502692993468848,1.2780558245981763
-3.7185929648241207,25680402040.51129,9793168948.832994,5.697526143386128,1.3379376031491437
-3.678391959798995,27911255042.88733,10741487351.892128,5.90834557563133,1.3980004952262666
-3.6381909547738696,30519549489.769775,11927113747.965017,6.133412994634469,1.454602376182008
-3.5979899497487438,33494552438.716278,13328647180.79481,6.37088891141185,1.5050670795315773
-3.557788944723618,36821856997.05231,14915081407.84068,6.618868475985611,1.5475796571511629
-3.5175879396984926,40483994978.58746,16650667514.156368,6.875413380634406,1.5810450668072846
-3.477386934673367,44460996496.15045,18498202564.38789,7.138580089220607,1.6049499853254936
-3.4371859296482414,48730899449.718445,20420926074.413464,7.406444637325418,1.6192417169039501
-3.3969849246231156,53270211762.073044,22383524367.934357,7.677124237666002,1.6242265729490006
-3.35678391959799,58054329108.42824,24352653550.86221,7.948795915264764,1.6204857665220531
-3.3165829145728645,63057910783.364716,26297228175.13421,8.219712387092692,1.608805730051022
-3.2763819095477387,68255216247.593735,28188601201.70717,8.488215391406007,1.5901198517084243
-3.2361809045226133,73620404798.57568,30000691606.448326,8.752746662741151,1.5654590824245262
-3.1959798994974875,79127800712.80147,31710081775.913692,9.011856739521692,1.5359093702431694
-3.1557788944723617,84752126113.56805,33296091789.584805,9.264211782458933,1.5025743379526018
-3.115577889447236,90468703726.33994,34740831933.58792,9.508598573396124,1.4665420304779844
-3.0753768844221105,96253631594.24725,36029233167.25818,9.743927855945017,1.4288549468207237
-3.035175879396985,102083931738.91974,37149055282.066055,9.969236171198618,1.390482965700573
-2.9949748743718594,107937674666.6406,38090873037.217735,10.183686333964157,1.3522991878819497
-2.9547738693467336,113794081536.74437,38848041172.667534,10.38656668734841,1.3150591378801701
-2.914572864321608,119633605728.2095,39416639717.94023,10.57728926613813,1.2793841449984733
-2.8743718592964824,125437995461.5173,39795401390.95806,10.7553869922489,1.2457499777111138
-2.834170854271357,131190339056.0239,39985623115.7821,10.920510018563416,1.214481841256315
-2.7939698492462313,136875094328.30328,39991063793.03217,11.072421330742587,1.1857565924138391
-2.7537688442211055,142478103564.13788,39817830437.96256,11.210991710066144,1.1596124679842816
-2.7135678391959797,147986595426.04034,39474254656.066574,11.336194154041197,1.135965847273032
-2.6733668341708543,153389175089.35703,38970761133.221886,11.448097845405092,1.1146337415787757
-2.633165829145729,158675803833.1097,38319729338.18145,11.546861754238309,1.0953600283635094
-2.592964824120603,163837769246.74658,37535348906.99234,11.632727952193703,1.0778430899017275
-2.5527638190954773,168867647150.8829,36633468112.87558,11.70601471233434,1.0617625441904894
-2.5125628140703515,173759256268.88293,35631433307.98674,11.767109462752979,1.0468031247067
-2.472361809045226,178507606626.7417,34547915126.66156,11.816461657017825,1.0326743476305795
-2.4321608040201004,183108842601.15872,33402714450.85162,11.854575619548593,1.0191252468209895
-2.391959798994975,187560181479.90817,32216537628.676605,11.882003419271587,1.0059540305039167
-2.351758793969849,191859848344.60266,31010726387.598522,11.899337820329842,0.9930129455091354
-2.3115577889447234,196007008033.6722,29806923892.566944,11.907205354230365,0.9802089063448458
-2.271356783919598,200001694892.83258,28626655757.496925,11.90625955359356,0.9675005784417576
-2.2311557788944723,203844740971.4603,27490805771.8581,11.897174383626188,0.9548926379180948
-2.190954773869347,207537703276.1029,26418973867.25179,11.880637903566091,0.9424279071549935
-2.150753768844221,211082790646.81793,25428721940.977444,11.857346186641768,0.9301780215006246
-2.1105527638190953,214482790778.1139,24534743590.8798,11.827997523549174,0.9182332404160165
-2.07035175879397,217740997863.94736,23748034131.984962,11.793286931069673,0.9066919862769791
-2.030150753768844,220861141305.485,23075177626.354656,11.7539009842333,0.8956506744436268
-1.9899497487437188,223847315881.14246,22517890963.960735,11.710512987367956,0.885194379183185
-1.949748743718593,226703913740.7409,22072953015.82465,11.663778496464886,0.8753888470262504
-1.9095477386934672,229435558549.4496,21732591488.40215,11.614331202530488,0.8662743076183793
-1.8693467336683418,232047042072.49112,21485313108.53231,11.562779182981808,0.8578614325096986
-1.829145728643216,234543263458.34445,21317074055.246727,11.509701525674725,0.8501296540102778
-1.7889447236180902,236929171446.36304,21212630012.728256,11.455645327826977,0.8430278894202582
-1.7487437185929648,239209709694.32248,21156896294.251125,11.401123069910042,0.8364775401230355
-1.708542713567839,241389765392.37527,21136182434.30016,11.346610362531296,0.8303774743881741
-1.6683417085427137,243474121302.22122,21139220746.56728,11.292544062408288,0.8246105797331714
-1.6281407035175879,245467411333.95435,21157961046.71864,11.23932075174712,0.8190514001828928
-1.587939698492462,247374079748.0136,21188138962.121567,11.187295573674115,0.813574359572899
-1.5477386934673367,249198344045.90842,21229638631.265827,11.136781414831184,0.8080621070366965
-1.507537688442211,250944161590.8963,21286665304.863636,11.088048424827804,0.802413589888283
-1.4673366834170856,252615199978.52753,21367726069.351067,11.041323860943065,0.7965515435954162
-1.4271356783919598,254214811156.9215,21485395569.764805,10.996792245287363,0.7904291704384856
-1.386934673366834,255746009277.77136,21655827182.466263,10.95459582056176,0.7840358433509557
-1.3467336683417086,257211452241.3719,21897968790.914894,10.914835289590894,0.777401709863607
-1.3065326633165828,258613426882.3984,22232466136.068604,10.877570822950059,0.7706010786895644
-1.2663316582914574,259953837727.70633,22680290572.112827,10.842823318255277,0.7637544489141819
-1.2261306532663316,261234199243.0623,23261204437.49073,10.810575894034233,0.7570289947521452
-1.1859296482412058,262455631472.4108,23992251500.838676,10.780775600543139,0.7506372592570236
-1.1457286432160805,263618858961.0228,24886496219.305645,10.753335329436133,0.7448337577663946
