# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.361E+17 -/+ 3.402E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 5.761E+00 -/+ 1.441E+00 eV
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 2.361E+11 -/+ 1.249E+10
# a_ 1: -3.601E+10 -/+ 8.570E+09
# a_ 2: -2.645E+10 -/+ 7.998E+09
# a_ 3: 3.502E+09 -/+ 2.883E+09
# a_ 4: 1.897E+09 -/+ 1.724E+09
# a_ 5: -3.012E+07 -/+ 3.323E+08
# a_ 6: -1.153E+08 -/+ 1.567E+08
# a_ 7: -5.147E+06 -/+ 1.528E+07
# a_ 8: 4.442E+06 -/+ 6.236E+06
# a_ 9: 1.209E+05 -/+ 2.408E+05
# a_10: -6.737E+04 -/+ 8.940E+04
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 6.238E+00 -/+ 9.759E-01
# a_ 1: -1.745E+00 -/+ 9.222E-01
# a_ 2: 7.632E-01 -/+ 8.660E-01
# a_ 3: 3.241E-01 -/+ 3.512E-01
# a_ 4: -6.795E-02 -/+ 2.193E-01
# a_ 5: -2.663E-02 -/+ 4.425E-02
# a_ 6: -1.046E-03 -/+ 2.172E-02
# a_ 7: 1.021E-03 -/+ 2.169E-03
# a_ 8: 1.817E-04 -/+ 9.126E-04
# a_ 9: -1.438E-05 -/+ 3.589E-05
# a_10: -3.495E-06 -/+ 1.360E-05
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,50026427076.1174,9401226249.902527,5.566754477853558,1.3108100759396892
-3.959798994974874,51945996429.45045,9196906021.122856,5.710800522407746,1.306031775295908
-3.919597989949749,53991068288.7609,8952513693.46683,5.855961254890875,1.2963271171641517
-3.879396984924623,56156798226.16076,8672935559.718832,6.001904483805169,1.2821042790447612
-3.8391959798994977,58438011790.33742,8363480897.3046465,6.148303005139492,1.2638298752480046
-3.798994974874372,60829268911.337006,8029791860.941703,6.294835804919016,1.2420102363213554
-3.758793969849246,63324922523.9525,7677774113.291126,6.441189116199715,1.2171752596872703
-3.7185929648241207,65919171740.99614,7313544834.87449,6.587057340604611,1.1898643493647945
-3.678391959798995,68606109895.5183,6943393996.315529,6.732143844048169,1.1606140660166588
-3.6381909547738696,71379767759.08139,6573753042.535649,6.8761616358559285,1.1299472001255622
-3.5979899497487438,74234152231.51746,6211162110.667136,7.018833940059084,1.0983630651993406
-3.557788944723618,77163280786.1648,5862222375.75875,7.159894667228285,1.0663288885553237
-3.5175879396984926,80161211943.4285,5533514399.28834,7.299088794806188,1.0342722566091342
-3.477386934673367,83222072034.59145,5231458027.367961,7.436172663505515,1.0025746491590064
-3.4371859296482414,86340078507.16167,4962088306.853583,7.570914196957393,0.971566168824227
-3.3969849246231156,89509560012.63655,4730731607.933157,7.703093051423924,0.9415216298939123
-3.35678391959799,92724973507.41516,4541593719.775245,7.83250070202874,0.9126582048517239
-3.3165829145728645,95980918587.68843,4397317756.808915,7.958940471610385,0.8851348256637853
-3.2763819095477387,99272149269.477,4298618860.575748,8.082227507964188,0.8590534920234069
-3.2361809045226133,102593583415.56377,4244122153.9712024,8.20218871491056,0.8344625481830723
-3.1959798994974875,105940310001.89633,4230490290.9165235,8.318662642309352,0.8113618611898213
-3.1557788944723617,109307594407.08035,4252833191.3970046,8.431499339832303,0.7897096837788721
-3.115577889447236,112690881899.88199,4305295264.219134,8.540560179007997,0.7694308395699367
-3.0753768844221105,116085799491.17099,4381670981.453701,8.645717647765672,0.7504257527776573
-3.035175879396985,119488156308.48618,4475923644.942036,8.746855121426417,0.7325797800984738
-2.9949748743718594,122893942643.37395,4582544679.9955635,8.843866613821625,0.7157722985480153
-2.9547738693467336,126299327813.84627,4696750752.633618,8.936656511959734,0.6998850564758745
-2.914572864321608,129700656976.71843,4814551120.4788685,9.025139297412613,0.6848093915229895
-2.8743718592964824,133094447017.21419,4932727675.332311,9.109239257352336,0.6704520386058956
-2.834170854271357,136477381636.07463,5048765127.762012,9.188890187937945,0.6567393726678676
-2.7939698492462313,139846305747.46,5160758463.719139,9.264035092529172,0.6436200389896947
-2.7537688442211055,143198219294.1996,5267314845.339007,9.334625876990252,0.631066009338956
-2.7135678391959797,146530270580.41547,5367459635.071504,9.400623044142232,0.6190721633209709
-2.6733668341708543,149839749215.22202,5460551332.440204,9.461995389225173,0.6076545347902643
-2.633165829145729,153124078755.0739,5546207339.963055,9.518719698043792,0.5968473902905689
-2.592964824120603,156380809126.41293,5624240942.493576,9.570780449289787,0.586699328413224
-2.5527638190954773,159607608904.52933,5694609154.76645,9.618169522362328,0.5772686126984259
-2.5125628140703515,162802257519.01675,5757370800.706872,9.660885911844193,0.5686179802547089
-2.472361809045226,165962637450.84546,5812654111.3385,9.698935449634604,0.5608092032930384
-2.4321608040201004,169086726480.92654,5860633138.969343,9.732330535591647,0.5538977159809241
-2.391959798994975,172172590045.04962,5901512317.958989,9.761089877395717,0.5479276447288314
-2.351758793969849,175218373745.29303,5935518526.969256,9.785238240212092,0.542927584145008
-2.3115577889447234,178222296063.38043,5962900014.224294,9.80480620660414,0.5389074323987026
-2.271356783919598,181182641317.02332,5983931535.582923,9.81982994702941,0.5358565327598083
-2.2311557788944723,184097752896.01886,5998925027.998912,9.83035100113842,0.5337432653023989
-2.190954773869347,186966026810.78003,6008245100.341175,9.836416069990568,0.5325161063686717
-2.150753768844221,189785905582.04727,6012328568.495703,9.83807681920247,0.5321060427791251
-2.1105527638190953,192555872496.7695,6011707186.7761345,9.835389692951948,0.5324301144134881
-2.07035175879397,195274446251.54388,6007032622.946892,9.828415738674739,0.5333957801494842
-2.030150753768844,197940176001.568,5999102575.987664,9.817220442211537,0.5349057671103269
-1.9899497487437188,200551636829.7741,5988886729.239879,9.801873573089154,0.5368630705223362
-1.949748743718593,203107425647.69397,5977550954.999855,9.782449039552244,0.5391758117171532
-1.9095477386934672,205606157536.62564,5966477838.38745,9.759024752900167,0.5417617210059491
-1.8693467336683418,208046462534.8526,5957281187.271747,9.731682500627542,0.5445520761758724
-1.829145728643216,210426982873.98767,5951811793.497352,9.700507827816548,0.5474949850065074
