# ******** Mean D flux on the sample **********
# Gamma_D_mean: 6.294E+16 -/+ 1.575E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 5.593E+00 -/+ 1.401E+00 eV
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 1.084E+11 -/+ 1.139E+10
# a_ 1: -8.386E+09 -/+ 1.355E+10
# a_ 2: -1.189E+10 -/+ 1.258E+10
# a_ 3: -1.075E+10 -/+ 6.246E+09
# a_ 4: 9.316E+08 -/+ 4.607E+09
# a_ 5: 2.218E+09 -/+ 9.876E+08
# a_ 6: -3.653E+07 -/+ 6.475E+08
# a_ 7: -1.409E+08 -/+ 6.260E+07
# a_ 8: -1.486E+05 -/+ 3.767E+07
# a_ 9: 2.901E+06 -/+ 1.366E+06
# a_10: 3.155E+04 -/+ 7.665E+05
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 6.013E+00 -/+ 1.176E+00
# a_ 1: -1.013E+00 -/+ 1.445E+00
# a_ 2: -7.296E-01 -/+ 1.420E+00
# a_ 3: 2.384E-01 -/+ 7.378E-01
# a_ 4: 2.381E-01 -/+ 5.224E-01
# a_ 5: -5.274E-02 -/+ 1.297E-01
# a_ 6: -2.822E-02 -/+ 7.483E-02
# a_ 7: 4.677E-03 -/+ 8.840E-03
# a_ 8: 1.185E-03 -/+ 4.487E-03
# a_ 9: -1.282E-04 -/+ 2.023E-04
# a_10: -1.451E-05 -/+ 9.429E-05
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,29394671084.38271,22828787155.58858,1.944364903542942,1.5932358173309225
-3.959798994974874,29562338835.8364,22402206112.692894,2.05861725742084,1.5700805476346045
-3.919597989949749,29887116698.041836,22200937000.713913,2.2078988448691845,1.5636001712122403
-3.879396984924623,30384031687.627876,22205294281.454666,2.3862140121551967,1.5722393378150372
-3.8391959798994977,31063687146.641525,22365436215.730526,2.5880932590311883,1.5931494533784258
-3.798994974874372,31932715429.540398,22616050966.956287,2.808564593126114,1.6225425519477752
-3.758793969849246,32994203236.4346,22889504128.279186,3.0431257438501085,1.6562531993456235
-3.7185929648241207,34248090620.24711,23124845223.04771,3.2877172353283672,1.6902579886913327
-3.678391959798995,35691544673.586586,23272462434.729553,3.538696316780195,1.7210321787662763
-3.6381909547738696,37319308879.446754,23295499284.26414,3.7928117476967333,1.745732549958134
-3.5979899497487438,39124029088.33538,23169362072.8564,4.047179434153795,1.7622485601815745
-3.557788944723618,41096557063.08167,22880329601.842083,4.299258911617081,1.7691726501802056
-3.5175879396984926,43226232511.40073,22423879718.17396,4.546830668661864,1.7657295632091108
-3.477386934673367,45501144505.29824,21803050305.942978,4.787974305131161,1.7516901670219758
-3.4371859296482414,47908373165.56891,21026974398.92809,5.021047517400001,1.727283961920712
-3.3969849246231156,50434212468.99989,20109637260.595722,5.2446659025946225,1.6931171902334692
-3.35678391959799,53064375015.41617,19068862825.005814,5.4576835728355535,1.6500992939390091
-3.3165829145728645,55784179571.41607,17925524106.102837,5.659174569831228,1.5993782425011138
-3.2763819095477387,58578722187.53276,16702973503.162228,5.848415069443723,1.5422841009292505
-3.2361809045226133,61433031665.63114,15426697045.78442,6.0248663651795065,1.4802795749180993
-3.1959798994974875,64332210133.5966,14124206479.599003,6.188158618925949,1.4149158333899963
-3.1557788944723617,67261559464.81721,12825187147.744505,6.3380753666566445,1.3477915013356683
-3.115577889447236,70206694260.57382,11561899603.000126,6.474538766267167,1.2805122895172334
-3.0753768844221105,73153642094.27197,10369744137.809067,6.5975955741739805,1.2146483631399643
-3.035175879396985,76088931697.4342,9287647243.670076,6.70740383681576,1.1516865008792578
-2.9949748743718594,78999669748.56804,8357389568.54241,6.8042202827345575,1.0929748133855388
-2.9547738693467336,81873606907.39145,7620216301.844189,6.888388400486001,1.0396598621744915
-2.914572864321608,84699193718.47047,7108941771.824333,6.960327187230724,0.9926198421976553
-2.8743718592964824,87465626990.08173,6836389599.371796,7.020520552493939,0.9524026482630679
-2.834170854271357,90162887236.06567,6786629263.533016,7.0695073612455435,0.919182288008145
-2.7939698492462313,92781767750.58656,6917154216.075405,7.10787210014862,0.8927481616803786
-2.7537688442211055,95313895868.06276,7171715350.776417,7.1362361505495935,0.8725366780177807
-2.7135678391959797,97751746943.06918,7494650305.318571,7.15524965153738,0.8577041023037766
-2.6733668341708543,100088651567.7639,7839444967.604447,7.165583936181796,0.8472279373574774
-2.633165829145729,102318796527.32751,8171135619.154505,7.1679245238719185,0.8400172589959533
-2.592964824120603,104437219977.05157,8465353938.4405365,7.162964651513201,0.8350130896141744
-2.5527638190954773,106439801308.06071,8706352745.901535,7.151399326206482,0.8312663790508121
-2.5125628140703515,108323246152.20103,8885115260.990156,7.133919881923116,0.8279892866571925
-2.472361809045226,110085066960.39021,8997871400.096571,7.111209022606474,0.8245817415142118
-2.4321608040201004,111723559572.68196,9045023741.087868,7.083936334071614,0.8206384268797758
-2.391959798994975,113237776182.47385,9030395377.076889,7.052754247040303,0.8159418817772516
-2.351758793969849,114627495081.6668,8960704995.390463,7.018294433638397,0.8104464704975246
-2.3115577889447234,115893187558.17578,8845187004.602127,6.981164619695102,0.8042565299001216
-2.271356783919598,117035982301.99294,8695283700.798187,6.94194579521904,0.7976006637368752
-2.2311557788944723,118057627661.0239,8524336316.721875,6.9011898054836145,0.7908031849995077
-2.190954773869347,118960452073.1434,8347193748.50121,6.859417305232993,0.7842531979500745
-2.150753768844221,119747322986.36635,8179649580.168249,6.817116058620019,0.7783717621576317
-2.1105527638190953,120421604564.68991,8037625735.256293,6.774739567607345,0.7735779412635303
-2.07035175879397,120987114463.04391,7936067597.498693,6.732706011703333,0.7702551923190639
-2.030150753768844,121448079940.88704,7887617775.765783,6.6913974820630076,0.76872028646892
-1.9899497487437188,121809093570.3045,7901277930.798402,6.651159493162425,0.7691974714037785
-1.949748743718593,122075068781.00768,7981380369.500304,6.612300755450214,0.7718005852685619
-1.9095477386934672,122251195471.39903,8127177250.01342,6.575093192593369,0.7765251359200722
-1.8693467336683418,122342895901.85617,8333178465.493357,6.539772187164316,0.7832510494194567
-1.829145728643216,122355781073.60414,8590114855.749443,6.506537038862485,0.791755215838002
-1.7889447236180902,122295607783.98558,8886222498.846653,6.475551619625607,0.8017315939668404
-1.7487437185929648,122168236536.61067,9208523440.66327,6.446945210262978,0.8128158610570809
-1.708542713567839,121979590472.76524,9543884285.384966,6.42081350353449,0.824611537270924
-1.6683417085427137,121735615478.58888,9879772458.532953,6.397219758904766,0.8367150413095706
-1.6281407035175879,121442241610.8931,10204730878.048199,6.376196094520613,0.8487379610907307
-1.587939698492462,121105345973.08806,10508637690.275394,6.357744902291619,0.8603256694160413
-1.5477386934673367,120730717161.5133,10782823550.627106,6.341840372297674,0.871172092730516
-1.507537688442211,120324021391.53505,11020105791.092045,6.328430113102576,0.8810308797151646
-1.4673366834170856,119890770402.07355,11214781372.811905,6.31743685491951,0.8897234285607761
-1.4271356783919598,119436291226.76485,11362605609.035786,6.308760222951102,0.8971442710920564
-1.386934673366834,118965697909.74086,11460773088.606518,6.302278568613645,0.9032642389377886
-1.3467336683417086,118483865234.03299,11507910593.04242,6.2978508467513175,0.9081317014025533
-1.3065326633165828,117995404520.86617,11504087968.209389,6.29531852735098,0.9118720014211746
-1.2663316582914574,117504641548.61679,11450850755.79447,6.2945075306813205,0.9146850484319009
-1.2261306532663316,117015596630.95749,11351276907.177221,6.295230175200538,0.9168408738507333
-1.1859296482412058,116531966884.70966,11210058124.665594,6.297287128004505,0.918672836635465
-1.1457286432160805,116057110709.16507,11033603191.470638,6.300469348021127,0.9205681105072108
-1.1055276381909547,115594034490.13257,10830154630.941565,6.304560012596536,0.9229551256845612
-1.0653266331658293,115145381533.70442,10609899375.945736,6.3093364185637,0.9262878134145535
-1.0251256281407035,114713423226.7302,10385037020.252625,6.314571849333711,0.9310268359247031
-0.9849246231155777,114300052413.22981,10169745158.104698,6.320037400003798,0.937618468551169
-0.9447236180904524,113906778968.4747,9979954037.977072,6.325503752933268,0.9464723696607572
-0.9045226130653266,113534727545.21793,9832824792.45712,6.3307428966988715,0.9579399986978893
