# ******** Mean D flux on the sample **********
# Gamma_D_mean: 6.417E+16 -/+ 1.605E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 6.005E+00 -/+ 1.502E+00 eV
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 1.039E+11 -/+ 8.637E+09
# a_ 1: 1.750E+09 -/+ 7.354E+09
# a_ 2: -1.830E+10 -/+ 6.540E+09
# a_ 3: -1.161E+09 -/+ 2.667E+09
# a_ 4: 2.131E+09 -/+ 1.694E+09
# a_ 5: 1.741E+08 -/+ 3.332E+08
# a_ 6: -1.402E+08 -/+ 1.708E+08
# a_ 7: -9.537E+06 -/+ 1.671E+07
# a_ 8: 4.665E+06 -/+ 7.295E+06
# a_ 9: 1.738E+05 -/+ 2.864E+05
# a_10: -6.020E+04 -/+ 1.110E+05
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 6.051E+00 -/+ 6.432E-01
# a_ 1: -1.038E-01 -/+ 7.159E-01
# a_ 2: -8.144E-02 -/+ 7.421E-01
# a_ 3: -5.398E-03 -/+ 3.036E-01
# a_ 4: 1.335E-03 -/+ 2.080E-01
# a_ 5: 3.356E-03 -/+ 4.067E-02
# a_ 6: -5.696E-04 -/+ 2.162E-02
# a_ 7: -2.571E-04 -/+ 2.069E-03
# a_ 8: 8.567E-06 -/+ 9.342E-04
# a_ 9: 5.468E-06 -/+ 3.532E-05
# a_10: 1.750E-07 -/+ 1.423E-05
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,24739554330.57054,15154408624.77561,3.6057438677139704,1.3386989250255303
-3.959798994974874,25020336625.680923,15221893295.635235,3.685986073323523,1.3458420374720914
-3.919597989949749,25333681590.589607,15259807004.245878,3.76486060473745,1.3497371460915046
-3.879396984924623,25678190631.944283,15266480642.441088,3.8423580131696085,1.3505988258647734
-3.8391959798994977,26052306621.193497,15241913748.534616,3.9184678227061105,1.3487000802138835
-3.798994974874372,26454360076.685608,15187385157.86408,3.9931788538575796,1.3443497112569456
-3.758793969849246,26882610385.787003,15105099624.627344,4.066479521370036,1.3378724933200332
-3.7185929648241207,27335282370.594036,14997874470.015793,4.138358107323278,1.3295920907862444
-3.678391959798995,27810598489.461063,14868866802.768719,4.208803010527912,1.3198166845036141
-3.6381909547738696,28306806955.459538,14721340463.224136,4.277802973214395,1.3088272978505562
-3.5979899497487438,28822206042.02118,14558471529.136984,4.345347285989499,1.2968688258466379
-3.557788944723618,29355164835.396862,14383191335.15308,4.411425972017665,1.2841437584965258
-3.5175879396984926,29904140683.17821,14198066095.728817,4.476029951366508,1.27080854985628
-3.477386934673367,30467693577.987213,14005212158.999987,4.5391511864375715,1.2569725201829467
-3.4371859296482414,31044497705.521805,13806245558.585806,4.600782809385134,1.2426990982573927
-3.3969849246231156,31633350376.469467,13602263877.577879,4.66091923240743,1.2280091263833435
-3.35678391959799,32233178552.347656,13393857577.938555,4.719556241776283,1.2128858747063396
-3.3165829145728645,32843043166.10493,13181147018.257315,4.776691076452554,1.1972813561331737
