# ******** Mean D flux on the sample **********
# Gamma_D_mean: 3.591E+16 -/+ 9.000E+15 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 3.133E+00 -/+ 7.917E-01 eV
# *********** Polynomial fit to n_e ***********
# Order:      8 
# a_ 0: 8.445E+10 -/+ 8.339E+09
# a_ 1: -1.960E+10 -/+ 4.120E+09
# a_ 2: -1.114E+10 -/+ 5.335E+09
# a_ 3: 2.860E+09 -/+ 1.275E+09
# a_ 4: 1.060E+09 -/+ 1.051E+09
# a_ 5: -1.691E+08 -/+ 1.191E+08
# a_ 6: -5.481E+07 -/+ 7.832E+07
# a_ 7: 3.868E+06 -/+ 3.341E+06
# a_ 8: 1.022E+06 -/+ 1.921E+06
# *********** Polynomial fit to T_e ***********
# Order:      8 
# a_ 0: 2.960E+00 -/+ 1.692E+00
# a_ 1: 3.390E-03 -/+ 1.180E+00
# a_ 2: 1.422E+00 -/+ 1.229E+00
# a_ 3: -1.128E-01 -/+ 4.016E-01
# a_ 4: -2.902E-01 -/+ 2.654E-01
# a_ 5: 7.237E-03 -/+ 4.078E-02
# a_ 6: 2.122E-02 -/+ 2.127E-02
# a_ 7: -6.987E-05 -/+ 1.235E-03
# a_ 8: -5.251E-04 -/+ 5.562E-04
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,25213744711.000328,10882925467.785572,4.8388176381677255,2.9038485878126576
-3.959798994974874,26507130971.356995,10400701417.870115,4.958452115774321,2.850727008235331
-3.919597989949749,27764157273.820534,9854411552.37136,5.05853366797357,2.7781619494299012
-3.879396984924623,28986853920.79003,9259692607.990967,5.141776074508524,2.6895450764669904
-3.8391959798994977,30177281668.170708,8632175481.165007,5.210637802842271,2.5883139388986596
-3.798994974874372,31337518533.02333,7987168761.123677,5.267337536867284,2.4778258473318227
-3.758793969849246,32469647424.88865,7339529557.916085,5.313869103308765,2.3612810771487864
-3.7185929648241207,33575744577.095566,6703655692.676189,5.35201580962779,2.2416751765444096
-3.678391959798995,34657868754.64659,6093542007.813711,5.38336420708654,2.121767368124657
-3.6381909547738696,35718051215.55278,5522828937.46329,5.4093172924928545,2.0040562174763035
-3.5979899497487438,36758286402.77271,5004730215.336246,5.431107161997032,1.8907563753165233
-3.557788944723618,37780523344.19066,4551664015.999963,5.449807130169601,1.7837722742076747
-3.5175879396984926,38786657738.35184,4174370333.803762,5.466343327443942,1.6846669130805614
-3.477386934673367,39778524703.95116,3880391488.4599915,5.4815057888637,1.5946267832726173
-3.4371859296482414,40757892171.355545,3672166760.272971,5.495959046929876,1.5144276284353226
-3.3969849246231156,41726454894.7211,3545570752.163232,5.510252241198783,1.4444094085497101
