# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.096E+17 -/+ 2.742E+16 1/cm^2/s
# ******** Mean T_e on the sample **********
# T_e_mean: 6.240E+00 -/+ 1.562E+00 eV
# ************ Lorentzian fit to n_e ************
# amplitude:  1.648E+11 -/+ 1.181E+10 (1/cm^3)
# gamma:      1.196 -/+ 0.195 (cm)
# center:     0.00 (cm)
# yoffset:     1.973E+10 -/+ 8.920E+09 (1/cm^3)
# ************ Gaussian fit to T_e ************
# A:          4.312E+00 -/+ 1.088E+00 (1/cm^3)
# sigma:      0.600 -/+ 0.197 (cm)
# mu:         0.00 (cm)
# baseline:   2.616E+00 -/+ 3.602E-01 (1/cm^3)
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,33265199906.720654,5782824442.440675,2.615774965662281,0.4603771387416355
-3.959798994974874,33518361092.55861,5739944135.098733,2.615774966210121,0.4603771348300451
-3.919597989949749,33778466373.015533,5696601941.296345,2.6157749670535817,0.46037712893329147
-3.879396984924623,34045763098.348602,5652822578.1714,2.6157749683462383,0.4603771200866413
-3.8391959798994977,34320509275.929214,5608634637.5204735,2.615774970318244,0.46037710687831673
-3.798994974874372,34602974097.66916,5564070985.08776,2.6157749733128424,0.4603770872530208
-3.758793969849246,34893438496.032265,5519169195.363303,2.615774977839455,0.46037705823413144
-3.7185929648241207,35192195730.22716,5473972024.086121,2.6157749846504657,0.46037701553315535
-3.678391959798995,35499552004.25774,5428527920.513109,2.6157749948516873,0.46037695300386816
-3.6381909547738696,35815827118.5904,5382891581.281703,2.615775010060456,0.46037686188383226
-3.5979899497487438,36141355157.28155,5337124547.336207,2.61577503263069,0.4603767297466862
-3.557788944723618,36476485212.493835,5291295844.871568,2.6157750659715684,0.4603765390635277
-3.5175879396984926,36821582148.415276,5245482670.535178,2.61577511499636,0.4603762652394236
-3.477386934673367,37177027406.6799,5199771120.172378,2.6157751867511636,0.4603758739498458
-3.4371859296482414,37543219855.47191,5154256959.152586,2.6157752912909,0.46037531754966105
-3.3969849246231156,37920576684.57552,5109046430.713484,2.6157754428931628,0.4603745302619259
-3.35678391959799,38309534348.70804,5064257096.748022,2.6157756617310106,0.4603734217726327
-3.3165829145728645,38710549561.543076,5020018702.969113,2.615775976165529,0.460371868758031
-3.2763819095477387,39124100342.89082,4976474057.357007,2.615776425870341,0.46036970375043734
-3.2361809045226133,39550687121.55134,4933779907.169948,2.6157770660661748,0.4603667006039113
-3.1959798994974875,39990833896.39012,4892107795.541272,2.6157779732275244,0.460362555650564
-3.1557788944723617,40445089458.20059,4851644873.785482,2.615779252729478,0.4603568634401223
-3.115577889447236,40914028674.909096,4812594640.024975,2.6157810490356406,0.4603490857296221
-3.0753768844221105,41398253842.64018,4775177568.722853,2.6157835591930794,0.4603385121387756
-3.035175879396985,41898396105.0863,4739631589.343737,2.6157870506034095,0.46032421061489665
-2.9949748743718594,42415116943.50853,4706212365.947888,2.6157918842869305,0.4603049655690791
-2.9547738693467336,42949109739.5249,4675193323.465775,2.615798545156073,0.46027920126884697
-2.914572864321608,43501101412.60895,4646865361.254893,2.6158076811722544,0.4602448878267829
-2.8743718592964824,44071854133.910736,4621536191.008536,2.6158201536833627,0.46019942694666954
-2.834170854271357,44662167117.61113,4599529234.996374,2.6158371017334847,0.4601395145311926
-2.7939698492462313,45272878490.50924,4581182022.881713,2.615860023706882,0.4600609773916884
-2.7537688442211055,45904867239.903625,4566844031.892159,2.6158908803170133,0.4599585817307294
-2.7135678391959797,46559055239.03438,4556873926.707944,2.615932223677958,0.459825811926002
-2.6733668341708543,47236409348.379555,4551636172.577402,2.6159873579948685,0.4596546196038733
-2.633165829145729,47937943589.91222,4551497017.9014015,2.6160605382713293,0.45943514527828466
-2.592964824120603,48664721389.98548,4556819870.220258,2.6161572143368423,0.45915541822904604
-2.5527638190954773,49417857884.78109,4567960120.764421,2.6162843284204325,0.4588010451541557
-2.5125628140703515,50198522280.17856,4585259505.229849,2.616450675399489,0.458354904877563
-2.472361809045226,51007940255.42131,4609040119.203069,2.6166673356875494,0.4577968755269123
