Folder,File,Elapsed time (s),Timestamp,Temperature (K),Gamma_B (1/cm^2/s),Gamma_B error (1/cm^2/s),Sputtering yield,Sputtering yield error
echelle_20240815,MechelleSpect_007.csv,1005,2024-08-15 09:45:05,760.0,357401850677.25507,45943962294.22817,2.7303426331341106e-06,7.680012616386736e-07
echelle_20240815,MechelleSpect_010.csv,1576,2024-08-15 09:54:36,760.0,230653106672.94,32650638361.399746,1.8937036672655173e-06,5.444577253097361e-07
echelle_20240815,MechelleSpect_012.csv,1930,2024-08-15 10:00:30,760.0,236688782639.9039,30116427624.987797,1.9448544177477725e-06,5.459221570988486e-07
echelle_20240815,MechelleSpect_015.csv,2844,2024-08-15 10:15:44,760.0,272794576894.9184,37125327928.346085,2.455396731727438e-06,6.992007903275949e-07
echelle_20240815,MechelleSpect_016.csv,3223,2024-08-15 10:22:03,760.0,169313435929.34808,21465264149.24705,1.5239733206962024e-06,4.273658528703442e-07
echelle_20240815,MechelleSpect_019.csv,3730,2024-08-15 10:30:30,760.0,195041930635.54535,27259972655.74323,1.6930723145446645e-06,4.850514061253638e-07
echelle_20240815,MechelleSpect_020.csv,4603,2024-08-15 10:45:03,760.0,240405243120.75574,35326414469.06805,2.2573262264859695e-06,6.55053900710649e-07
echelle_20240827,MechelleSpect_016.csv,477,2024-08-27 09:19:44,760.0,422517763081.84106,62413684678.04266,1.9762290134791444e-06,5.740968417464249e-07
echelle_20240827,MechelleSpect_018.csv,708,2024-08-27 09:23:35,760.0,304418218179.7452,50034544836.08826,1.8449588980590616e-06,5.522734231006679e-07
echelle_20240827,MechelleSpect_020.csv,925,2024-08-27 09:27:12,760.0,233443522202.91864,41955272517.683815,1.414809225472234e-06,4.358242981302556e-07
echelle_20240827,MechelleSpect_022.csv,1410,2024-08-27 09:43:46,760.0,241625616981.63257,45863743449.94357,1.7727484738197546e-06,5.568166800278216e-07
echelle_20240827,MechelleSpect_023.csv,1919,2024-08-27 09:52:19,760.0,165364326391.7489,39993917839.44176,1.2132379045616207e-06,4.222373064081811e-07
echelle_20240827,MechelleSpect_026.csv,2432,2024-08-27 09:56:54,760.0,164911623903.139,35657628782.27437,1.209916536339978e-06,4.001526995809634e-07
echelle_20240827,MechelleSpect_027.csv,2707,2024-08-27 10:07:37,760.0,122928252648.78754,37405109843.88364,9.818550531053317e-07,3.8676702167685985e-07
echelle_20240827,MechelleSpect_031.csv,3350,2024-08-27 10:20:48,760.0,142604729478.70963,42239487855.12577,1.2105664641656165e-06,4.693490004828817e-07
echelle_20240827,MechelleSpect_032.csv,4141,2024-10-03 09:37:55,760.0,124783088271.72313,34881734052.09849,6.748679733462581e-07,2.5312731114756016e-07
echelle_20241003,MechelleSpect_006.csv,257,2024-10-03 09:42:12,760.0,664341543442.9247,92443090685.541,4.396701147868463e-06,1.258350567582158e-06
echelle_20241003,MechelleSpect_008.csv,456,2024-10-03 09:45:31,760.0,525196223750.65576,73204792100.24876,3.4758188203220105e-06,9.951894622201361e-07
echelle_20241003,MechelleSpect_009.csv,717,2024-10-03 09:49:52,760.0,444191830214.1238,65020141208.566185,2.9397209147195484e-06,8.518919441439307e-07
echelle_20241003,MechelleSpect_012.csv,1080,2024-10-03 09:55:55,760.0,459593880568.8344,80245413248.41856,4.299287937968516e-06,1.3118281592830291e-06
echelle_20241003,MechelleSpect_013.csv,1613,2024-10-03 10:04:48,760.0,437412828227.01544,60295150498.27137,3.5246803241500037e-06,1.0068624092356619e-06
echelle_20241003,MechelleSpect_016.csv,1896,2024-10-03 10:09:31,760.0,436466234846.60785,55258897707.80681,3.5170526579098136e-06,9.862159579621127e-07
echelle_20241003,MechelleSpect_017.csv,2626,2024-10-03 10:21:41,760.0,431215742544.5111,57980198912.28126,3.232501818174746e-06,9.18018049643567e-07
echelle_20241003,MechelleSpect_020.csv,2911,2024-10-03 10:26:26,760.0,366257171434.7624,57907240290.28429,2.7455560077568394e-06,8.124819091842607e-07
echelle_20241003,MechelleSpect_021.csv,3478,2024-10-03 10:35:53,760.0,345562218011.57526,60747761236.30882,2.459517565918685e-06,7.520355608040958e-07
