Folder,File,Elapsed time (s),Timestamp,Temperature (K),Gamma_B (1/cm^2/s),Gamma_B error (1/cm^2/s),Sputtering yield,Sputtering yield error
echelle_20240815,MechelleSpect_007.asc,1005,2024-08-15 09:45:05,760.0,4713907737013931.0,815571398500017.9,0.036011518235400546,0.010954211774779541
echelle_20240815,MechelleSpect_010.asc,1576,2024-08-15 09:54:36,760.0,3032205771427463.0,545938889694294.56,0.024894957072475066,0.0076747586233305715
echelle_20240815,MechelleSpect_012.asc,1930,2024-08-15 10:00:30,760.0,3158963980738860.0,582645957994103.0,0.0259569760126447,0.008068472157285289
echelle_20240815,MechelleSpect_015.asc,2844,2024-08-15 10:15:44,760.0,4250446315166403.0,734824053213462.1,0.0382578426207597,0.011632874438317906
echelle_20240815,MechelleSpect_016.asc,3223,2024-08-15 10:22:03,760.0,1965701807077605.8,429807079012229.25,0.017693085572255678,0.005878173651147143
echelle_20240815,MechelleSpect_019.asc,3730,2024-08-15 10:30:30,760.0,2384161899390442.0,477760051847659.4,0.020695849821097588,0.006632340221162109
echelle_20240815,MechelleSpect_020.asc,4603,2024-08-15 10:45:03,760.0,3540899107724530.5,674750285490052.6,0.03324787894577024,0.010457510729752926
echelle_20240827,MechelleSpect_016.asc,477,2024-08-27 09:19:44,760.0,5307268794576985.0,1288842858626569.2,0.024823521022343243,0.00865425687741425
echelle_20240827,MechelleSpect_018.asc,708,2024-08-27 09:23:35,760.0,3884682215314832.0,751887789552070.5,0.02354352857766565,0.007447101181910712
echelle_20240827,MechelleSpect_020.asc,925,2024-08-27 09:27:12,760.0,3418003942867217.5,704921805192487.8,0.02071517541131647,0.006716478209667277
echelle_20240827,MechelleSpect_022.asc,1410,2024-08-27 09:43:46,760.0,4068612001729520.0,896173112807848.1,0.02985041820784681,0.009951663883849046
echelle_20240827,MechelleSpect_023.asc,1919,2024-08-27 09:52:19,760.0,2522617751338259.5,580127210860349.4,0.018507833832268963,0.006290344347543307
echelle_20240827,MechelleSpect_026.asc,2432,2024-08-27 09:56:54,760.0,2754913179147843.0,671881716943038.8,0.020212128973938686,0.0070629260182236715
echelle_20240827,MechelleSpect_027.asc,2707,2024-08-27 10:07:37,760.0,1813080914891955.2,497729161988761.3,0.014481476956006033,0.005378495230720189
echelle_20240827,MechelleSpect_031.asc,3350,2024-08-27 10:20:48,760.0,2326621185499991.0,625546962626727.6,0.0197506042911714,0.0072534291735795575
echelle_20240827,MechelleSpect_032.asc,4141,2024-10-03 09:37:55,760.0,2302930631075774.5,625530201465975.5,0.012455006117229717,0.004598578585739735
echelle_20241003,MechelleSpect_006.asc,257,2024-10-03 09:42:12,760.0,8156630267048579.0,922376131491499.4,0.05398166953705214,0.01481670554277648
echelle_20241003,MechelleSpect_008.asc,456,2024-10-03 09:45:31,760.0,7065003101950465.0,744253540138434.5,0.04675713502283564,0.012688937155272124
echelle_20241003,MechelleSpect_009.asc,717,2024-10-03 09:49:52,760.0,5983358138838626.0,652652510457551.8,0.03959866405584796,0.01080453359185734
echelle_20241003,MechelleSpect_012.asc,1080,2024-10-03 09:55:55,760.0,5988913292107556.0,847120507804252.5,0.056023510683887334,0.01610367102867983
