Folder,File,Elapsed time (s),Timestamp,Temperature (K),Gamma_B (1/cm^2/s),Gamma_B error (1/cm^2/s),Sputtering yield,Sputtering yield error
echelle_20240815,MechelleSpect_007.asc,1005,2024-08-15 09:45:05,760.0,4601817392613835.0,796178214746564.9,0.03515521308337536,0.010693735448349692
echelle_20240815,MechelleSpect_010.asc,1576,2024-08-15 09:54:36,760.0,2960104023117352.0,532957201977596.94,0.024302988695544762,0.007492263253189603
echelle_20240815,MechelleSpect_012.asc,1930,2024-08-15 10:00:30,760.0,3083848093813839.5,568791425886469.1,0.02533975426305538,0.007876614812307723
echelle_20240815,MechelleSpect_015.asc,2844,2024-08-15 10:15:44,760.0,4149376455953816.0,717350932016918.0,0.03734812291587593,0.011356260432507915
echelle_20240815,MechelleSpect_016.asc,3223,2024-08-15 10:22:03,760.0,1918960079229789.5,419586848536823.56,0.01727236794986309,0.0057383986394669104
echelle_20240815,MechelleSpect_019.asc,3730,2024-08-15 10:30:30,760.0,2327469757049627.5,466399564595922.25,0.02020373052994468,0.006474632149421273
echelle_20240815,MechelleSpect_020.asc,4603,2024-08-15 10:45:03,760.0,3456701320535285.0,658705637163406.8,0.03245728939469751,0.010208845281750704
echelle_20240827,MechelleSpect_016.asc,477,2024-08-27 09:19:44,760.0,5181069127507375.0,1258195920255949.0,0.0242332512979765,0.008448470364814673
echelle_20240827,MechelleSpect_018.asc,708,2024-08-27 09:23:35,760.0,3792309731233207.0,734008915805910.5,0.022983695340807315,0.0072700191975289975
echelle_20240827,MechelleSpect_020.asc,925,2024-08-27 09:27:12,760.0,3336728436325469.5,688159718972867.4,0.020222596583790723,0.006556769450463974
echelle_20240827,MechelleSpect_022.asc,1410,2024-08-27 09:43:46,760.0,3971865916327110.5,874863329405008.1,0.02914061567371321,0.009715026789037923
echelle_20240827,MechelleSpect_023.asc,1919,2024-08-27 09:52:19,760.0,2462633316276656.5,566332571149731.0,0.018067742599241793,0.006140768474690528
echelle_20240827,MechelleSpect_026.asc,2432,2024-08-27 09:56:54,760.0,2689405073289441.5,655905279293034.9,0.01973151190968042,0.0068949791991464275
echelle_20240827,MechelleSpect_027.asc,2707,2024-08-27 10:07:37,760.0,1769968305245458.8,485893836331617.06,0.014137127038701748,0.005250601895423898
echelle_20240827,MechelleSpect_031.asc,3350,2024-08-27 10:20:48,760.0,2271297283438120.0,610672302707379.9,0.019280961659067234,0.007080952447366994
echelle_20240827,MechelleSpect_032.asc,4141,2024-10-03 09:37:55,760.0,2248170058326352.2,610655940104339.5,0.012158842933079244,0.0044892306124268335
echelle_20241003,MechelleSpect_006.asc,257,2024-10-03 09:42:12,760.0,7962676641567380.0,900443275777440.9,0.05269805851467492,0.014464384343503988
echelle_20241003,MechelleSpect_008.asc,456,2024-10-03 09:45:31,760.0,6897006892634110.0,726556198508249.5,0.045645313650788284,0.01238721140772777
echelle_20241003,MechelleSpect_009.asc,717,2024-10-03 09:49:52,760.0,5841081982437570.0,637133317305690.1,0.03865706143241277,0.010547616409986301
echelle_20241003,MechelleSpect_012.asc,1080,2024-10-03 09:55:55,760.0,5846505041682212.0,826977128942045.0,0.054691347443238655,0.01572074753241853
echelle_20241003,MechelleSpect_013.asc,1613,2024-10-03 10:04:48,760.0,5453894094789647.0,720188604373381.6,0.043947575300480636,0.012433207882406655
echelle_20241003,MechelleSpect_016.asc,1896,2024-10-03 10:09:31,760.0,5480077178053967.0,710887069036352.5,0.04415855904958878,0.012445240990074111
echelle_20241003,MechelleSpect_017.asc,2626,2024-10-03 10:21:41,760.0,4879774778078798.0,568009956535015.5,0.036580020825178396,0.01009264876457071
echelle_20241003,MechelleSpect_020.asc,2911,2024-10-03 10:26:26,760.0,5197384909937795.0,1014931971176124.8,0.03896090637134779,0.012364074054699891
echelle_20241003,MechelleSpect_021.asc,3478,2024-10-03 10:35:53,760.0,5369453378356886.0,1002806465936190.6,0.03821675002389243,0.011931267444014283
echelle_20241003,MechelleSpect_024.asc,3770,2024-10-03 10:40:45,760.0,5717570077205887.0,936498757805704.2,0.040694448948084605,0.012168742096035594
echelle_20241003,MechelleSpect_025.asc,3960,2024-10-03 10:43:55,760.0,5545050380766590.0,1028186698104736.4,0.03946655075278712,0.012289958982310573
echelle_20241031,MechelleSpect_003.asc,31,2024-10-31 09:45:54,986.9403040497795,4043932334028195.5,1664004588559712.5,0.018183148983939728,0.008756413253409978
echelle_20241031,MechelleSpect_006.asc,415,2024-10-31 09:55:57,1017.743273621747,1.3475165865003364e+16,1.0376866482926918e+16,0.09248569571038685,0.07488283517627445
echelle_20241031,MechelleSpect_008.asc,628,2024-10-31 09:50:39,1006.023092067389,6652105458762678.0,5606369363146614.0,0.029910546127530028,0.02629569865111021
echelle_20241031,MechelleSpect_011.asc,930,2024-10-31 09:25:53,1015.545298442992,4750288056763188.0,3599823764044609.0,0.011685825477892221,0.009325778004041697
echelle_20241031,MechelleSpect_013.asc,1232,2024-10-31 09:32:17,949.658191936323,1.5152428429112288e+16,9624493014282852.0,0.03454726044029249,0.023583621620129412
echelle_20241031,MechelleSpect_016.asc,1517,2024-10-31 09:35:50,891.6470167716543,2296149011622091.0,1377548066407014.2,0.006603822293995085,0.004292365001318855
echelle_20241031,MechelleSpect_020.asc,1835,2024-10-31 09:40:52,810.9917586714746,3922037446581896.0,1246579050558692.0,0.017635060461249533,0.007133202338360764
echelle_20241031,MechelleSpect_021.asc,2234,2024-10-31 10:02:36,785.6577212796215,6036091405696830.0,1432818034224249.2,0.04142821829579156,0.014285134675875
echelle_20241031,MechelleSpect_024.asc,2726,2024-10-31 10:10:48,763.8793746022002,5980189518773194.0,878526274448145.9,0.047995100471694974,0.013927004130106587
echelle_20241031,MechelleSpect_025.asc,3062,2024-10-31 10:16:24,800.1147090077607,5080169643919543.0,736045297482212.1,0.040771826997749144,0.011789502631500847
echelle_20241031,MechelleSpect_028.asc,4102,2024-10-31 10:33:44,774.1322394471702,5347001538499614.0,976651640167354.1,0.0487865103877702,0.015112308617443811
echelle_20241031,MechelleSpect_029.asc,4890,2024-10-31 10:46:52,787.3113287520395,4744048062606505.0,1571544180260572.5,0.0464647214750882,0.019290414358645473
