Wavelength (nm),Brightness (photons/cm^2/s/nm),Brightness error (photons/cm^2/s/nm)
350.01016,65996761255.11984,51675980106.8256
350.03165,544122318640.50433,448471777431.3398
350.0531,770017252213.7686,671962872549.9244
350.07458,175971812588.37527,163148195104.47168
350.09607,196364721893.98618,193657184377.20175
350.11755,154424735835.1579,161891996129.19638
350.13904,0.0,0.0
350.16052,0.0,0.0
350.18201,66948186940.026215,83070735090.64215
350.20349,233681193012.9138,304365035142.9576
350.22498,307967891793.0879,419052485049.27966
350.24646,159551109332.44305,225661741228.44125
350.26794,0.0,0.0
350.28946,0.0,0.0
350.31094,0.0,0.0
350.33243,268392069561.83,418326258942.4554
350.35394,970036431459.9991,1524777485924.284
350.37543,566022688419.6676,891108338743.3754
350.39694,191341168541.46246,299551253215.2627
350.41843,0.0,0.0
350.43994,0.0,0.0
350.46143,0.0,0.0
350.48294,0.0,0.0
350.50446,50930602181.19104,69012869818.72249
350.52594,0.0,0.0
350.54745,0.0,0.0
350.56897,0.0,0.0
350.59048,0.0,0.0
350.612,206341768403.09836,211204616374.95752
350.63351,0.0,0.0
350.65503,0.0,0.0
350.67654,0.0,0.0
350.69806,0.0,0.0
350.71957,194190197807.58435,139863301796.92563
350.74109,0.0,0.0
350.7626,0.0,0.0
350.78412,0.0,0.0
350.80566,0.0,0.0
350.82718,243514398307.93527,163244714445.52484
350.84869,0.0,0.0
350.87024,0.0,0.0
350.89175,103596432398.69685,85402749054.33138
350.9133,0.0,0.0
350.93481,0.0,0.0
350.95636,100935422330.77232,88252762477.88606
350.97791,5359646317.28565,4711651562.422159
350.99942,0.0,0.0
351.02097,49889683873.115616,54178251915.923615
351.04251,0.0,0.0
351.06406,143732398022.52966,178822322536.9241
351.08557,177952313533.6034,224032625352.26718
351.10712,70781905306.10312,88899277746.58807
351.12866,0.0,0.0
351.15021,0.0,0.0
351.17175,28180675163.667843,35119768472.53229
351.1933,12734340354.530855,16429036434.383781
351.21487,0.0,0.0
351.23642,109778181934.66028,129799157470.0971
351.25797,128792706989.22786,132399219686.02242
351.27951,43522102085.53611,45326611718.09904
351.30109,0.0,0.0
351.32263,0.0,0.0
351.34418,7475794471.866527,10420133060.51617
351.36575,101077482131.17299,153162822447.8817
351.3873,19241439250.363865,31121651491.781437
351.40887,88804333069.92207,152151880897.3645
351.43042,137110886820.84076,245992111217.30814
351.452,74960850946.23982,138303723114.93835
351.47357,635460004050.8329,1196122426340.8813
351.49512,841858387312.0352,1574147969030.588
351.51669,0.0,0.0
351.53827,0.0,0.0
351.55984,0.0,0.0
351.58139,0.0,0.0
351.60297,0.0,0.0
351.62454,0.0,0.0
351.64612,0.0,0.0
351.66769,0.0,0.0
351.68927,0.0,0.0
351.71088,0.0,0.0
351.73245,228257272978.2125,270864386643.8926
351.75403,0.0,0.0
351.7756,187772308293.47644,191171719792.43204
351.79721,378771636873.579,366685892964.2145
351.81879,522135072251.5981,490788307784.5868
351.84036,1411889711382.7827,1260487858898.6082
351.86197,992006908513.7231,857705353667.7021
351.88354,98165109332.26695,83110558717.26547
351.90515,130333676100.83147,107820583696.10794
351.92673,14138730675.972708,11295879801.6971
351.94833,90737379613.46188,65409698171.39529
351.96994,66556346969.58721,43080730504.35326
351.99152,30533240201.471382,17628776195.994637
352.01312,114238682444.58592,59170766524.0259
352.03473,0.0,0.0
352.05634,0.0,0.0
352.07794,0.0,0.0
352.09952,0.0,0.0
352.12112,0.0,0.0
352.14273,0.0,0.0
352.16437,26054635344.813927,10292434069.106178
352.18597,124114079807.5698,48196298754.48813
352.20758,657844495474.0841,257024853524.22275
352.22919,2198933817575.0054,845037586492.2402
352.25079,1245638962340.7646,484244658520.89514
352.2724,353115229503.8374,140307118529.1541
352.29404,240156250902.6771,96125715991.8672
352.31564,386753086344.3387,157672119665.52536
352.33728,731354049059.1088,317791638255.7028
352.35889,339354373919.17706,158520682700.13556
352.38049,0.0,0.0
352.40213,0.0,0.0
352.42377,22350570716.247025,15322626503.859953
352.44537,59185093432.07154,40212666353.35041
352.46701,81950508361.29178,56512128549.41327
352.48865,110179663560.03757,80706395020.29228
352.51025,144040128119.1176,115921014414.59111
352.53189,126960536600.0152,112443205735.57704
352.55353,147521649939.47568,140147144720.08804
352.57516,327055550156.5892,326042737762.6176
352.5968,788875680572.9652,802158536786.3818
352.61844,805300841079.7239,817089288902.743
352.64008,222425826282.32925,224168838163.0751
