# Date and Time: Thu Oct  3 09:55:55 2024
# Software Version: 4.25.30005.0
# Temperature (C): -30
# Model: DH334T-18F-03
# Data Type: Counts
# Acquisition Mode: Accumulate
# Trigger Mode: Internal
# Exposure Time (secs): 1
# Accumulate Cycle Time (secs): 1.4025
# Frequency (Hz): 0.71303
# Number of Accumulations: 20
# Readout Mode: Full Vertical Binning
# Horizontal binning: 1
# Vertical Shift Speed (usecs): 6.5
# Pixel Readout Rate (MHz): 3
# Clock Amplitude: Normal
# Serial Number: 5364
# Pre-Amplifier Gain: 4
# Intelligate: off
# Insertion delay: ultra fast
# Gain level: 3000
# Integrate on chip: off
# Gate Mode: DDG on
# Gate Width (nsecs): 1e+09
# Gate Delay (nsecs): 130
# Spurious Noise Filter Mode: No Filter
# Photon counted: false
# Data Averaging Filter Mode: No Filter
# Mechelle: 
# Calibration Temperature: 0.0
# Current Temperature: 21.9
Wavelength (nm),Brightness (photons/cm^2/s/nm),Brightness error (photons/cm^2/s/nm)
350.01245,256039269330.36282,154729705612.57233
350.03409,280751281701.327,178196374841.2175
350.05569,293957572508.0685,195535602949.72623
350.07733,321814296574.51886,223907430498.7419
350.09897,369943564411.0356,268722963458.83176
350.12061,420359102879.9119,318241121509.66595
350.14221,457482380723.94037,360472396201.4914
350.16385,305688737029.1371,250456162526.78174
350.18549,329269675991.2508,280361154993.0281
350.20712,362712618602.1666,320913979143.4058
350.22876,348688772157.38416,320693512411.2191
350.2504,384452678822.9102,367877674547.6905
350.27206,425394940013.9516,423998142017.6016
350.2937,382981296764.6933,398098211287.07
350.31534,358732788598.4669,389357526894.1033
350.33698,731673537170.7589,829901692117.1458
350.35864,0.0,0.0
350.38028,0.0,0.0
350.40192,0.0,0.0
350.42358,173590606319.81012,234242405317.0905
350.44525,270666237518.16467,379988256413.418
350.46689,132372783677.17244,192826392114.21503
350.48856,110371114160.08762,166347342166.35715
350.51019,102315883447.46405,159054818705.2857
350.53186,105086713631.68927,167988543394.08295
350.55353,130058189793.55315,213154949648.04044
350.5752,152133302744.9391,261763703793.5322
350.59686,151709182300.38007,275871328845.3973
350.6185,187662612377.68796,350803885569.2184
350.64017,177447573913.563,352334025820.7404
350.66183,160472384745.0719,331356844800.9093
350.68353,147434257989.49637,307293700773.403
350.7052,155497073451.24316,327846195587.0922
350.72687,168550675276.89392,361609698396.8723
350.74854,203863522573.2592,445772917412.433
350.7702,273493949221.35858,596114474140.0275
350.7919,150069501093.96542,314595818367.07043
350.81357,0.0,0.0
350.83524,0.0,0.0
350.85693,0.0,0.0
350.8786,395123671078.9133,812763523495.6444
350.9003,22732291835.55937,45532969639.521484
350.92197,0.0,0.0
350.94366,0.0,0.0
350.96536,0.0,0.0
350.98703,255455075600.8121,448106074636.3973
351.00873,188355927475.68497,339776454856.74945
351.03043,133903603348.85959,245533351259.2444
351.05212,216787158081.2249,386015759542.9188
351.07382,189770349390.528,329471151369.8271
