label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Gaussian;433.1791097767437;248216218915.86456;0.20308753579857397;;;
2;Gaussian;432.71542805329784;465170587880.9198;0.5775943255828309;;;
3;Gaussian;431.70967638793746;610842631746.5208;0.12364866562194488;;;
4;Gaussian;431.5742686774726;582393375050.9008;0.10034878453283325;;;
5;Gaussian;431.11327049713105;651839873650.7217;0.10420243719004851;;;
6;Gaussian;430.98197420120124;699688745634.6431;0.1248842997063071;;;
7;Gaussian;430.69103729905976;836594523671.3271;0.12619269369568142;;;
8;Gaussian;430.368671825838;546678154819.9455;0.12002790250897899;;;
9;Gaussian;429.85767208185666;387428909651.3766;0.0665959573360464;;;
10;Gaussian;429.77133941954014;495978345164.2431;0.2059284269651518;;;
