name;success;x;y;m01_ampli;m02_ampli;m03_ampli;m04_ampli;m05_ampli;m06_ampli;m07_ampli;m08_ampli;m09_ampli;m10_ampli;m11_ampli;m12_ampli;m13_ampli;m14_ampli;m01_fwhm;m02_fwhm;m03_fwhm;m04_fwhm;m05_fwhm;m06_fwhm;m07_fwhm;m08_fwhm;m09_fwhm;m10_fwhm;m11_fwhm;m12_fwhm;m13_fwhm;m14_fwhm;m01_x0;m02_x0;m03_x0;m04_x0;m05_x0;m06_x0;m07_x0;m08_x0;m09_x0;m10_x0;m11_x0;m12_x0;m13_x0;m14_x0
MechelleSpect_006.csv;True;;;762228991766.289;572393425719.39;663772573444.352;835500407580.381;1123241801476.769;1413752494854.15;557184785035.781;1391488595268.098;1491158587342.296;2115535839618.35;1167926974421.255;759057140174.884;1659815527169.58;1113943986229.52;0.195;0.031;0.241;0.273;0.111;0.1;0.071;0.116;0.126;0.12;0.162;0.102;0.097;0.08;433.208;432.976;432.895;432.614;431.65;431.519;431.257;431.054;430.916;430.631;430.317;430.079;429.786;429.682
MechelleSpect_008.csv;True;;;589493469812.027;451460435185.326;544951438302.328;688066694439.179;1026571929317.064;1231531454681.401;556258359204.897;1320013665858.606;1516357272682.74;2003618200777.497;1121083168925.62;774177631055.064;1415339420520.255;1034493711971.489;0.214;0.036;0.228;0.257;0.116;0.1;0.072;0.102;0.129;0.119;0.159;0.095;0.092;0.081;433.21;432.977;432.89;432.606;431.648;431.515;431.254;431.058;430.917;430.632;430.313;430.087;429.784;429.686
MechelleSpect_009.csv;True;;;517848794124.593;612428370216.09;528242379879.966;621927002569.856;856821527855.029;1035975517724.992;421705410714.939;1227039236953.047;1232771881933.633;1687537563659.314;998639174831.352;649090956622.93;1212951481178.381;962022203050.246;0.278;0.021;0.234;0.248;0.114;0.1;0.078;0.112;0.125;0.115;0.143;0.091;0.093;0.088;433.215;432.976;432.88;432.602;431.647;431.513;431.257;431.051;430.916;430.629;430.306;430.086;429.786;429.68
MechelleSpect_012.csv;True;;;444606182742.631;457297028741.305;369917807413.465;560579082700.813;862178438020.311;1060445023392.498;440325487780.371;1146654836945.912;1114650107703.659;1506954160434.659;810379057688.669;617940754284.597;1142435144159.932;826433648996.652;0.306;0.112;0.104;0.303;0.11;0.096;0.079;0.11;0.125;0.114;0.154;0.094;0.087;0.092;433.234;432.953;432.835;432.618;431.648;431.511;431.256;431.052;430.913;430.624;430.312;430.088;429.783;429.683
MechelleSpect_013.csv;True;;;396387880262.781;303570847262.691;488832910437.811;296300828387.412;825697987258.07;985445177388.785;362895542438.351;982989625471.427;1055535379796.129;1346020298086.316;789149238536.384;578198856813.206;986127008176.729;682961452673.322;0.255;0.086;0.472;0.082;0.109;0.096;0.068;0.102;0.129;0.132;0.169;0.099;0.104;0.078;433.22;432.96;432.714;432.525;431.635;431.505;431.25;431.047;430.91;430.619;430.307;430.074;429.773;429.671
MechelleSpect_016.csv;True;;;416019016568.982;283754182930.82;377323712606.293;546684976374.484;842090724814.857;1039414105731.125;392720703523.027;1041135752501.781;1079491534021.921;1357621597304.168;882207286014.702;575737196456.492;1135325865304.821;749724346831.777;0.24;0.029;0.247;0.271;0.113;0.099;0.074;0.11;0.127;0.126;0.153;0.096;0.084;0.086;433.206;432.976;432.874;432.603;431.636;431.506;431.25;431.046;430.908;430.618;430.305;430.079;429.776;429.678
MechelleSpect_017.csv;True;;;374882080774.607;433422377037.054;386228295091.115;438343952470.43;848460766025.53;980763766105.902;342395769636.472;972054316260.477;1171546343093.692;1407296276646.415;843340176414.443;548251552413.58;1077244466966.854;725509152912.718;0.228;0.025;0.362;0.214;0.115;0.095;0.072;0.122;0.108;0.116;0.152;0.1;0.087;0.096;433.243;432.976;432.845;432.56;431.639;431.503;431.252;431.038;430.902;430.618;430.3;430.072;429.778;429.677
MechelleSpect_020.csv;True;;;374177855674.355;557636682820.894;431126647464.559;390090751214.067;850409986691.042;1036460436093.818;503154050344.688;1055424956091.925;1067670349107.048;1513763989957.69;879542749034.775;582555053263.768;1106856589753.797;736542685729.59;0.188;0.019;0.399;0.204;0.101;0.105;0.079;0.109;0.127;0.119;0.173;0.103;0.1;0.078;433.211;432.975;432.847;432.578;431.662;431.529;431.266;431.065;430.928;430.639;430.326;430.097;429.797;429.693
MechelleSpect_021.csv;True;;;345062209989.177;311737098714.962;340254520860.224;495433562215.537;760607689827.641;952472989488.352;440881513885.418;1015880283079.209;995962414836.076;1349713082767.838;752976554685.104;531559524943.652;890175891675.048;611758000757.446;0.212;0.025;0.218;0.236;0.109;0.105;0.079;0.139;0.105;0.115;0.153;0.102;0.092;0.088;433.196;432.976;432.879;432.605;431.659;431.524;431.263;431.045;430.907;430.636;430.321;430.095;429.795;429.687
MechelleSpect_024.csv;True;;;394141170818.688;246899371690.017;410869522803.167;531905524640.544;868386898223.234;1016675318560.924;382072541697.596;1050304744442.167;1096756600123.44;1486944543450.334;858606948947.088;513882643570.378;1111626804931.162;743250610987.703;0.192;0.036;0.309;0.21;0.11;0.098;0.08;0.117;0.125;0.12;0.154;0.101;0.087;0.098;433.199;432.981;432.852;432.581;431.659;431.52;431.266;431.055;430.924;430.635;430.32;430.094;429.794;429.696
