name;success;x;y;m01_ampli;m02_ampli;m03_ampli;m04_ampli;m05_ampli;m06_ampli;m07_ampli;m08_ampli;m09_ampli;m10_ampli;m11_ampli;m12_ampli;m13_ampli;m01_fwhm;m02_fwhm;m03_fwhm;m04_fwhm;m05_fwhm;m06_fwhm;m07_fwhm;m08_fwhm;m09_fwhm;m10_fwhm;m11_fwhm;m12_fwhm;m13_fwhm;m01_x0;m02_x0;m03_x0;m04_x0;m05_x0;m06_x0;m07_x0;m08_x0;m09_x0;m10_x0;m11_x0;m12_x0;m13_x0
MechelleSpect_006.csv;True;;;1173272052119.55;1037657014732.767;1612483359770.671;1455043602650.142;1380511120957.784;886994159608.88;1713686681319.9;1874721062250.556;2747801165994.711;1748314932011.27;1138007186936.974;1832678913685.976;1316843796261.042;0.112;0.093;0.516;0.228;0.099;0.092;0.126;0.142;0.125;0.206;0.134;0.117;0.148;433.246;433.026;432.79;431.706;431.572;431.325;431.118;430.978;430.694;430.38;430.132;429.854;429.743
MechelleSpect_008.csv;True;;;934178544533.57;928745372203.736;1253799100086.802;1302843824518.964;1191023763873.642;802804692948.068;1548961048658.479;1798908385393.324;2479046903121.374;1520991068047.592;1021529845342.012;1350729995812.887;1296146619495.024;0.117;0.128;0.486;0.224;0.096;0.082;0.109;0.129;0.114;0.182;0.115;0.099;0.172;433.248;433.022;432.76;431.707;431.57;431.322;431.121;430.98;430.697;430.376;430.145;429.855;429.756
MechelleSpect_009.csv;True;;;783095177181.403;1008925540729.576;943465680533.714;1145051416465.985;944951761232.934;644846881848.024;1455146205496.226;1437106673987.513;2114416764991.359;1344967057347.115;873180959155.228;1351858964985.656;1103286406119.154;0.121;0.278;0.353;0.257;0.089;0.084;0.124;0.129;0.114;0.171;0.117;0.115;0.127;433.248;432.994;432.703;431.704;431.571;431.329;431.118;430.982;430.697;430.374;430.146;429.857;429.744
MechelleSpect_012.csv;True;;;616859873872.153;833819335866.069;820235610293.841;1043712794975.179;1096096837863.742;632474469926.282;1333864793580.592;1296469929240.927;1869284656003.459;1103647250890.536;815495014429.547;1163594208080.019;1001038102233.772;0.13;0.274;0.399;0.193;0.096;0.082;0.115;0.129;0.109;0.18;0.118;0.099;0.162;433.257;432.986;432.709;431.716;431.573;431.331;431.12;430.981;430.693;430.381;430.149;429.854;429.75
MechelleSpect_013.csv;True;;;573237882287.434;580419644489.873;881901082083.1;994027180168.446;1029607248431.606;547137088503.65;1138405458412.717;1205539495459.543;1673682609120.859;1018654167409.053;709385506127.871;1053173481347.86;808519174327.989;0.122;0.094;0.566;0.177;0.098;0.077;0.112;0.131;0.119;0.18;0.108;0.113;0.132;433.251;433.033;432.779;431.708;431.571;431.326;431.12;430.981;430.694;430.377;430.142;429.851;429.745
MechelleSpect_016.csv;True;;;638260235800.139;477805586393.088;990819851006.497;1003236731090.326;1059970633743.064;559889246413.659;1224593678132.47;1223767360245.775;1705028968884.088;1146236785817.864;737419763259.779;1187977976640.794;864127128318.578;0.138;0.127;0.478;0.183;0.101;0.079;0.125;0.123;0.119;0.166;0.116;0.092;0.141;433.25;433.029;432.776;431.711;431.576;431.33;431.119;430.981;430.694;430.381;430.149;429.854;429.752
MechelleSpect_017.csv;True;;;522287443913.97;566869733841.178;941327231317.245;1021284105422.198;1030582238329.353;520522216997.573;1143982847766.908;1336134434071.962;1748261768854.812;1112658583919.106;715888230983.555;1090870463649.132;848129073976.805;0.118;0.075;0.582;0.179;0.094;0.075;0.136;0.109;0.113;0.175;0.114;0.092;0.159;433.265;433.049;432.807;431.719;431.576;431.334;431.119;430.981;430.698;430.379;430.145;429.859;429.757
MechelleSpect_020.csv;True;;;568690938911.009;583804649070.468;872315459850.33;965133776603.561;1093897926977.801;669308778128.328;1189180494446.019;1174466351692.633;1817105671359.906;1106653183084.597;700536160806.516;1150046792299.392;850726574551.995;0.102;0.187;0.443;0.156;0.108;0.068;0.117;0.121;0.105;0.178;0.108;0.1;0.137;433.232;433.006;432.74;431.717;431.577;431.325;431.117;430.98;430.694;430.377;430.145;429.856;429.749
MechelleSpect_021.csv;True;;;568561063380.757;690427476632.116;723105747926.571;881952582704.639;937570720322.521;566856516556.083;1161869072290.277;1069267282930.825;1636789430672.749;975264609745.88;688459365459.565;962491194843.814;762804942801.702;0.109;0.324;0.306;0.194;0.099;0.061;0.152;0.096;0.105;0.168;0.128;0.1;0.155;433.24;432.97;432.681;431.714;431.574;431.326;431.102;430.966;430.695;430.378;430.145;429.857;429.744
MechelleSpect_024.csv;True;;;548147201309.055;529672570456.15;956876643282.088;1032644731497.132;1119918983321.383;554287390858.824;1203854052013.094;1177718698823.264;1806274491498.434;1080574853028.877;651812427906.775;1104973509097.598;890759771185.841;0.109;0.042;0.55;0.149;0.105;0.071;0.133;0.12;0.107;0.164;0.107;0.086;0.16;433.233;433.034;432.783;431.719;431.571;431.328;431.108;430.978;430.692;430.375;430.144;429.852;429.754
MechelleSpect_025.csv;True;;;597669247514.03;797280102651.407;835518008311.523;1136890791462.923;1007276218754.964;495937667040.917;1312491977496.334;1089647541048.046;1925825595285.65;1078587425794.612;688491902181.224;1129789851224.35;829272064587.87;0.095;0.258;0.327;0.161;0.103;0.074;0.14;0.108;0.109;0.179;0.111;0.101;0.141;433.24;432.991;432.69;431.715;431.573;431.327;431.106;430.971;430.693;430.377;430.146;429.855;429.748
