label;model;x0;ampli;fwhm;fwhm_l;fwhm_r;alpha
1;Lorentzian;432.74066196322934;631530191606.9589;0.21511390898528715;;;
2;Lorentzian;432.592266585971;457796120386.10364;0.07804706773048009;;;
3;Lorentzian;432.0238888120117;313751735385.7209;0.060704205550488055;;;
4;Lorentzian;431.90646365615737;330932785406.28156;0.03172613923406731;;;
5;Lorentzian;431.70636122613286;798342181360.8942;0.13006889074049788;;;
6;Lorentzian;431.57424974704;827670771268.0188;0.11030250215958715;;;
7;Lorentzian;431.3268201552026;545708857675.35223;0.09939764035274967;;;
8;Lorentzian;431.12180176968786;1107841018162.198;0.09208171925174646;;;
9;Lorentzian;430.986129479589;1550621368638.8994;0.08849304472984265;;;
10;Lorentzian;430.6966305728515;1623399353102.373;0.07533449079403232;;;
11;Lorentzian;430.5771394294839;373637982599.1858;0.055356035847664575;;;
12;Lorentzian;430.36368893414675;1010641369241.975;0.09667607521316457;;;
13;Lorentzian;430.1919826991986;523134291471.05853;0.07444720521198045;;;
14;Lorentzian;429.85789820791143;1279598299591.4695;0.1048804928065028;;;
15;Lorentzian;429.74261705027016;897084408805.0271;0.07744476568671832;;;
