name;success;x;y;m01_ampli;m02_ampli;m03_ampli;m04_ampli;m05_ampli;m06_ampli;m07_ampli;m08_ampli;m09_ampli;m10_ampli;m11_ampli;m12_ampli;m13_ampli;m14_ampli;m15_ampli;m01_fwhm;m02_fwhm;m03_fwhm;m04_fwhm;m05_fwhm;m06_fwhm;m07_fwhm;m08_fwhm;m09_fwhm;m10_fwhm;m11_fwhm;m12_fwhm;m13_fwhm;m14_fwhm;m15_fwhm;m01_x0;m02_x0;m03_x0;m04_x0;m05_x0;m06_x0;m07_x0;m08_x0;m09_x0;m10_x0;m11_x0;m12_x0;m13_x0;m14_x0;m15_x0
MechelleSpect_003.csv;True;;;4040629020455.152;5099876480477.274;5947466496558.237;2644252523965.682;34621341895907.023;2589214705194.854;3259111531733.666;1819905103821.644;6044130846970.402;6626321979588.178;6675018125792.084;3849060243994.593;4413880346358.795;5776138992278.088;;0.129;0.137;0.348;0.25;0.023;0.094;0.149;0.111;0.44;0.143;0.363;0.195;0.107;0.264;;433.274;433.036;432.756;432.039;431.844;431.711;431.571;431.326;430.985;430.685;430.394;430.113;429.852;429.733;
MechelleSpect_006.csv;True;;;1836290701069.106;3278145793310.975;4071296204812.067;87953883483971.05;2745760020286.436;2151924430103.839;1799057571778.714;3813141549324.447;4565624001971.386;6825047765420.043;4715666936026.569;2993214862172.528;5540017309326.243;3817389546752.526;;0.138;0.108;0.342;0.007;0.559;0.085;0.078;0.122;0.147;0.133;0.224;0.164;0.103;0.155;;433.289;433.051;432.751;431.852;431.72;431.572;431.315;431.114;430.976;430.692;430.376;430.146;429.854;429.743;
MechelleSpect_008.csv;True;;;1507727667491.824;2719368320335.152;3385538465048.458;2755036521124.868;2143581323257.834;1195802253167.036;3883613383426.207;3373541057921.658;6805482303615.809;4338654289681.56;2347388148799.769;5447065615411.103;4026346923351.414;;;0.131;0.103;0.354;0.593;0.055;0.0;0.157;0.113;0.109;0.214;0.181;0.091;0.122;;;433.306;433.066;432.767;431.665;431.587;431.513;431.103;430.972;430.698;430.389;430.142;429.859;429.749;;
MechelleSpect_011.csv;True;;;1468465805151.07;1519010560955.08;1627607393285.949;1957013114853.463;1540571745472.721;1212078566149.845;2353579170180.9;3506893460387.481;4794938106993.926;2940236231560.918;1434750764418.531;3950683484128.414;2375597285646.906;;;0.252;0.175;0.231;0.508;0.068;0.091;0.108;0.132;0.102;0.204;0.151;0.095;0.107;;;433.076;432.809;432.673;431.691;431.579;431.316;431.121;430.988;430.692;430.369;430.152;429.855;429.741;;
MechelleSpect_013.csv;True;;;569342208502.217;681952882615.132;1352628758246.388;1409180552424.288;1072784223743.557;804820238597.128;1816826159052.515;2569366889676.67;3233312325443.688;1983875040634.428;1119502539448.326;2673345694564.154;1437283805421.862;;;0.115;0.077;0.263;0.353;0.06;0.085;0.093;0.121;0.1;0.163;0.095;0.119;0.065;;;433.089;432.839;432.692;431.681;431.569;431.319;431.119;430.994;430.693;430.376;430.178;429.849;429.74;;
MechelleSpect_016.csv;True;;;979647543299.302;447776453229.254;568169316029.296;468246401062.229;1130840635610.149;1488945335617.293;812366873924.197;1573961282730.557;1951646610200.415;2598494673207.008;1459238703966.531;746518073397.517;2026569282569.133;1522827803200.984;;0.369;0.052;0.069;0.085;0.108;0.105;0.099;0.098;0.116;0.103;0.149;0.116;0.09;0.077;;432.765;432.602;432.046;431.908;431.716;431.576;431.32;431.12;430.992;430.694;430.376;430.175;429.854;429.749;
MechelleSpect_020.csv;True;;;806982842756.916;545030108835.571;446136351100.943;274022923177.006;1036939039167.844;1116615134146.8;768267911474.097;1068044637076.404;1754451441285.436;2006930662987.632;1201857466253.089;337164686049.085;1470372249071.37;1110491378434.432;;0.211;0.113;0.07;0.08;0.097;0.125;0.099;0.07;0.14;0.096;0.137;0.098;0.1;0.081;;432.753;432.6;432.041;431.912;431.711;431.57;431.31;431.128;431.007;430.694;430.372;430.206;429.859;429.75;
MechelleSpect_021.csv;True;;;584356636510.684;588845343075.488;324998433584.435;291723581629.859;899995228519.972;1026264528858.305;552131207643.385;1002853095519.383;1685512441464.894;1938545725859.24;586825134015.169;1221932138486.209;373680596203.441;1488401969340.905;1060720048566.745;0.079;0.225;0.076;0.088;0.103;0.108;0.104;0.068;0.12;0.079;0.043;0.114;0.093;0.088;0.071;432.805;432.654;432.035;431.929;431.704;431.573;431.318;431.13;431.002;430.698;430.582;430.375;430.204;429.855;429.751
MechelleSpect_024.csv;True;;;631530191606.959;457796120386.104;313751735385.721;330932785406.282;798342181360.894;827670771268.019;545708857675.352;1107841018162.198;1550621368638.9;1623399353102.373;373637982599.186;1010641369241.975;523134291471.059;1279598299591.47;897084408805.027;0.215;0.078;0.061;0.032;0.13;0.11;0.099;0.092;0.088;0.075;0.055;0.097;0.074;0.105;0.077;432.741;432.592;432.024;431.906;431.706;431.574;431.327;431.122;430.986;430.697;430.577;430.364;430.192;429.858;429.743
MechelleSpect_025.csv;True;;;648821336525.182;410503094950.201;273561541059.46;305086791167.372;778132794629.911;921654163637.239;579187114554.211;1004412625118.418;1421000950593.44;1747081746516.985;341188325917.131;1003032087696.294;562186968288.39;1308974492528.771;931929084513.416;0.196;0.078;0.052;0.03;0.146;0.094;0.09;0.1;0.087;0.073;0.042;0.106;0.075;0.094;0.071;432.74;432.592;432.025;431.905;431.714;431.576;431.322;431.116;430.989;430.695;430.578;430.367;430.194;429.856;429.747
MechelleSpect_028.csv;True;;;516402977417.911;418388803717.973;173575786429.038;726430808367.509;692344930878.774;482852501103.825;934795910445.59;1337092744730.347;1474927145906.751;351104730836.985;854217354706.755;374292043700.783;1060298688153.988;688290506876.229;;0.224;0.074;0.285;0.142;0.082;0.102;0.08;0.098;0.066;0.048;0.099;0.071;0.098;0.079;;432.771;432.596;432.034;431.712;431.572;431.323;431.122;430.996;430.698;430.574;430.372;430.206;429.854;429.75;
MechelleSpect_029.csv;True;;;530098970509.826;359991552064.215;215996858480.168;166368819862.038;457534933154.719;673805467635.802;585032741909.583;880361390040.186;1298522341276.07;1274098604907.963;271710263170.484;747770351057.057;582591641042.14;1103550421175.547;617890450584.172;0.262;0.059;0.054;0.058;0.117;0.116;0.077;0.103;0.081;0.076;0.05;0.095;0.063;0.089;0.098;432.743;432.589;432.006;431.9;431.727;431.586;431.321;431.114;430.98;430.692;430.557;430.366;430.185;429.852;429.745
