nist_wl_nm,line,nist_intensity,spec_wl_nm,spec_intensity
358.6,C II,57,358.6684,-0.03536316237342381
358.6832,C II,20,358.6684,-0.03536316237342381
359.184,C II,150*,359.15726,-0.038064039552140654
359.184,C II,150*,359.15726,-0.038064039552140654
359.6166,C I,2700*,359.5578,-0.029283248688201865
359.6166,C I,2700*,359.5578,-0.029283248688201865
360.498,C I,2700,360.53888,-0.024115124225890284
375.017530019,D I,,374.9534,-0.03866348012237939
375.017537961,D I,,374.9534,-0.03866348012237939
376.5026,C I,2800,376.49402,-0.03557406983486544
378.949,B II,190,378.88828,-0.03153459966583179
392.0088,C II,330,391.93472,-0.02285605530834413
392.011,N II,360,391.93472,-0.02285605530834413
392.1803,C II,580,392.17896,-0.04034971453396985
393.024,C II,21*,393.03506,-0.03104961027718888
393.024,C II,21*,393.03506,-0.03104961027718888
393.024,C II,21*,393.03506,-0.03104961027718888
394.5309,C II,14,394.58109,-0.028745261867767085
394.612,C II,24,394.58109,-0.028745261867767085
394.6314,C II,19,394.58109,-0.028745261867767085
394.7395,C II,20u,394.77786,-0.018639222780068517
394.74,B II,12*,394.77786,-0.018639222780068517
394.74,B II,12*,394.77786,-0.018639222780068517
394.74,B II,12*,394.77786,-0.018639222780068517
394.7546,C II,7u,394.77786,-0.018639222780068517
394.8196,C II,11,394.77786,-0.018639222780068517
395.3798,C II,9,395.41812,-0.020389141096320455
396.2524,C I,7900,396.25702,-0.018798053875130265
397.2698,C II,11,397.34546,-0.019933155176711015
397.356,C II,32h*,397.34546,-0.019933155176711015
397.356,C II,32h*,397.34546,-0.019933155176711015
398.8007,C I,2600*,398.76016,-0.04516115838630421
398.8007,C I,2600*,398.76016,-0.04516115838630421
400.1021,C II,11,400.05542,0.02257640748738228
400.12,B III,136,400.05542,0.02257640748738228
410.11,N I,140,410.03998,0.03819514344977746
410.17435,D I,,410.11679,0.039094327536283474
410.17469,D I,,410.11679,0.039094327536283474
410.17759,D I,,410.11679,0.039094327536283474
410.18043,D I,,410.11679,0.039094327536283474
410.18044,D I,,410.11679,0.039094327536283474
412.3096,B II,1500*,412.37708,-0.020576501880436922
412.3096,B II,1500*,412.37708,-0.020576501880436922
412.3096,B II,1500*,412.37708,-0.020576501880436922
412.3096,B II,1500*,412.37708,-0.020576501880436922
412.3096,B II,1500*,412.37708,-0.020576501880436922
412.3096,B II,1500*,412.37708,-0.020576501880436922
415.4545,C I,2300,415.40237,-0.03259314571046836
415.75,C II,"120bl(O II,N II)*",415.7919,-0.021920478059953456
415.75,C II,"120bl(O II,N II)*",415.7919,-0.021920478059953456
415.75,C II,"120bl(O II,N II)*",415.7919,-0.021920478059953456
430.88,C II,21hql,430.87936,-0.022307610190508552
434.5332,C I,1900,434.53513,-0.05505864882486756
434.553,C I,2800,434.53513,-0.05505864882486756
434.69,N III,120,434.67111,-0.03589626323525072
464.438,N II,550,464.39816,-0.054032037893361404
464.843,B IV,320*,464.80591,-0.022098795613283383
464.843,B IV,320*,464.80591,-0.022098795613283383
464.843,B IV,320*,464.80591,-0.022098795613283383
464.843,B IV,320*,464.80591,-0.022098795613283383
464.843,B IV,320*,464.80591,-0.022098795613283383
464.843,B IV,320*,464.80591,-0.022098795613283383
464.872,C III,600,464.80591,-0.022098795613283383
481.001,C I,"690w,d",481.02295,-0.04907536374470981
486.018,N III,90,485.99515,0.3328088790851548
486.034,C I,1100bl(Nd II),485.99515,0.3328088790851548
486.8429,C II,17,486.87973,-0.01939321065559469
486.851,N III,150,486.87973,-0.01939321065559469
487.544,C I,2400bl(Ti II),487.49069,-0.022815074017182992
500.288,N II,650,500.31146,-0.02327878919226244
513.437,C II,130w*,513.49927,-0.018910711143900565
513.471,C II,130w*,513.49927,-0.018910711143900565
525.0971,C II,8,525.15088,-0.024498074309977767
525.7553,C II,8,525.67767,-0.019455193660449944
536.916,C II,6h,536.96075,-0.02171523810981077
537.007,C II,6wh*,536.96075,-0.02171523810981077
537.007,C II,6wh*,536.96075,-0.02171523810981077
537.007,C II,6wh*,536.96075,-0.02171523810981077
568.779,N II,450,568.85126,-0.032644789711964495
571.4095,C II,5,571.3457,-0.04109621500720505
604.413,C I,1400,604.43671,-0.030990013043277094
609.6977,C II,33,609.73303,-0.01968234679766031
610.0198,C II,30,609.99896,-0.02042090066231669
610.0611,C I,1600,609.99896,-0.02042090066231669
656.273687,D I,,656.33832,0.2070567782140413
656.2751979,D I,,656.33832,0.2070567782140413
656.2798684,D I,,656.33832,0.2070567782140413
656.2878934,D I,,656.33832,0.2070567782140413
656.2936,D I,,656.33832,0.2070567782140413
663.877,N I,185,663.86542,-0.019073063781972658
678.2481,C II,19,678.31946,0.02082941603376097
708.9781,C I,18000,708.96985,-0.05096209286180702
714.616,C II,5,714.58038,-0.02612081041978491
722.6232,C I,4500,722.58276,-0.019432689326033935
757.616,C II,26*,757.63025,-0.038181962976522564
757.616,C II,26*,757.63025,-0.038181962976522564
757.616,C II,26*,757.63025,-0.038181962976522564
761.475,C III,150,761.44116,-0.12008227893117025
766.455,C I,27000,766.43964,0.022875691400788673
783.9261,C I,7800,783.85492,-0.02408777139580718
794.679,C I,8100*,794.62683,-0.06588487343294373
794.679,C I,8100*,794.62683,-0.06588487343294373
821.298,N I,300,821.28436,-0.03717894881820101
