# Results from black body fit 
# =========================== 
# Temperature [K]: 541.0 -/+ 293.4
# Scaling factor: 8.19E+03 -/+ 1.39E+05
# Fit local minima: True
# f_scale: 0.1
# lm_window_size: 150
Wavelength (nm),Radiance (W/cm^2/ster/nm)
600.0071549118449,1.3601529263602917e-08
600.0445749118448,2.0784998054933766e-08
600.0819849118449,2.2109704517381924e-08
600.1193949118448,1.6403013467677862e-08
600.1568149118449,8.711357038883518e-09
600.1942249118448,6.240570783663086e-09
600.2316449118448,8.584213598627422e-09
600.2690549118448,1.759264247892023e-08
600.3064749118448,3.472037583899389e-08
600.3439449118448,4.419864462819278e-08
600.3813649118448,3.571265090951299e-08
600.4187749118448,1.9463773726182864e-08
600.4562549118448,1.1161490271036602e-08
600.4936649118448,1.0638431737148676e-08
600.5310849118448,1.1428126999194477e-08
600.5685549118448,1.1477356411125326e-08
600.6059749118448,1.142507326964495e-08
600.6434449118449,1.3766103932572368e-08
600.6808649118449,2.2491778672794484e-08
600.7183349118449,3.360084415416505e-08
600.7557549118449,3.937634737060319e-08
600.7932249118448,3.3634186709172e-08
600.8307049118448,2.149261648285888e-08
600.8681749118448,1.3426745308880775e-08
600.9055949118448,1.193597644559393e-08
600.9430649118449,1.0012715494903607e-08
600.9805449118448,9.754951162747178e-09
601.0180149118448,1.327409875080146e-08
601.0554949118448,1.9803395144397517e-08
601.0929749118449,1.2549780591925244e-08
601.1304449118448,1.1754962351873553e-08
601.1679249118448,1.2780501369791412e-08
601.2053949118448,2.1327079440347076e-08
601.2428749118449,4.0849962487558715e-08
601.2803449118448,5.563692218184304e-08
601.3178249118448,5.503092145312103e-08
601.3553049118449,3.871224603723407e-08
601.3928349118448,2.288205497241793e-08
601.4303149118448,1.5493063186985897e-08
601.4677849118449,4.099007846543498e-09
601.5053249118448,3.613978214508622e-09
601.5428049118449,3.794001209721895e-09
601.5802749118449,4.017997037469746e-09
601.6178149118448,4.342600850678063e-09
601.6552849118449,4.23902593009903e-09
