# Results from black body fit 
# =========================== 
# Temperature [K]: 1062.1 -/+ 40.0
# Scaling factor: 3.77E-01 -/+ 2.36E-01
# Fit local minima: True
# f_scale: 0.1
Wavelength (nm),Radiance (W/cm^2/ster/nm)
400.0524177935923,-3.116742116545963e-08
400.0773477935924,1.1290122427059443e-08
400.1022777935923,4.061758078065859e-08
400.12724779359235,5.522016837841783e-08
400.1522077935924,7.976340511100139e-08
400.1771377935923,6.169042101896847e-08
400.20210779359235,1.0598745145366671e-09
400.3768177935923,-2.9333120479215243e-08
400.4017777935923,-1.1426408650469992e-08
400.4267477935924,2.6208760577960155e-10
400.4517377935923,-8.245265069304923e-09
400.47669779359234,-1.9617355232348873e-08
400.50166779359233,-7.634989669733192e-09
400.52665779359234,1.4670520728369058e-08
400.5516177935923,4.0970466124796336e-09
400.5765877935923,-2.2872687176338702e-08
400.6015777935923,-3.0862437706471687e-08
400.62657779359233,-2.5160071842267058e-08
400.6515377935923,-1.3020552034060016e-08
400.6765277935923,-4.914871135564365e-09
400.70152779359233,-1.3827827412547236e-08
400.72651779359234,-2.9297069849629176e-08
400.92646779359234,-3.978908263938439e-08
400.9514677935923,-9.338011841161263e-09
400.9764877935923,1.923711949599672e-08
401.0014777935923,3.080555696675127e-08
401.02647779359233,2.657748274555992e-08
401.0514977935923,1.7033359583866123e-08
401.07652779359233,8.25543831867149e-09
401.10151779359234,-1.0964812365340207e-09
401.1265377935923,-5.426728802646149e-09
401.15156779359233,-1.3182985256018473e-09
401.17655779359234,5.6553115299513415e-09
401.2015877935923,2.3724830819715917e-09
401.22660779359234,-8.745470356423782e-09
401.2516377935923,-9.701911627122278e-09
401.27665779359234,-5.955904806646076e-10
401.3016877935923,4.180952111803981e-09
401.32670779359233,4.34221131246149e-09
401.3517277935923,1.2037112955870262e-08
401.3767877935923,2.6322757989304617e-08
401.4018077935923,3.598441953754313e-08
401.4268377935924,3.4602554859969184e-08
401.4518577935923,2.9608593198401033e-08
401.4769177935923,2.2863844262723652e-08
401.50193779359233,1.750071012562651e-08
401.52699779359233,1.4672002374904472e-08
401.5520477935923,9.848804702473154e-09
401.5770777935924,-3.3056355802371245e-09
401.60212779359233,-6.903267356247556e-09
401.6271877935923,3.865929504880193e-09
401.6522077935924,1.027675177803904e-08
401.67725779359233,7.951164026246958e-09
401.70231779359233,3.746676900578413e-09
401.7273677935923,8.275130755544047e-09
401.75242779359235,7.652364480192166e-09
401.7774777935924,-4.649058019121732e-09
401.8025377935923,-9.88632431817428e-09
401.8276177935924,-4.028827684146905e-10
