# Results from black body fit 
# =========================== 
# Temperature [K]: 1006.0 -/+ 36.7
# Scaling factor: 1.22E+00 -/+ 7.77E-01
# Fit local minima: True
# f_scale: 0.1
# lm_window_size: 250
Wavelength (nm),Radiance (W/cm^2/ster/nm)
400.0619926013408,-3.129024752641551e-08
400.0869226013408,1.8955189527570746e-08
400.1118526013408,5.972149371194552e-08
400.1368226013408,7.115529312453744e-08
400.1617826013408,1.0081876167405657e-07
400.1867126013408,1.0278223887931608e-07
400.2116826013408,4.782429897080089e-08
400.2366426013408,-4.1423218309295626e-08
400.4113526013407,-4.223118471046205e-08
400.4363226013408,-2.5556840674489534e-08
400.4613126013407,-2.4711520665567923e-08
400.4862726013408,-2.9522069028045373e-08
400.5112426013408,-1.763733613463348e-08
400.5362326013408,-1.0806175852459115e-09
400.5611926013408,-1.4001928842595445e-08
400.5861626013408,-4.2184274509978676e-08
400.6111526013408,-4.8667990954911804e-08
400.6361526013408,-3.336891826494302e-08
400.6611126013408,-1.6957779557559948e-08
400.6861026013408,-7.117454712862754e-09
400.7111026013408,-1.5637443872753747e-08
400.7360926013408,-3.745352864968691e-08
400.9610426013407,-3.044663163108525e-08
400.9860626013408,4.500161015858671e-09
401.0110526013408,2.3971932367556368e-08
401.0360526013408,2.0947106114867554e-08
401.0610726013407,8.104333905690142e-09
401.0861026013408,-7.212348706367839e-09
401.1110926013408,-1.59876091797981e-08
401.1361126013408,-1.5776196851362978e-08
401.1611426013408,-1.5366711711139304e-08
401.1861326013408,-7.285957265974795e-09
401.2111626013408,-2.7927442733609293e-09
401.2361826013408,-1.0344880262706085e-08
401.2612126013408,-1.5441603988684576e-08
401.2862326013408,-1.1978348756311032e-08
401.3112626013408,5.62309316084665e-10
401.3362826013408,8.991832432966171e-09
401.3613026013407,5.900405648575754e-09
401.3863626013407,9.964777485478962e-09
401.4113826013408,2.014980077038573e-08
401.4364126013408,1.1718463137491508e-08
401.4614326013408,-3.111417532747899e-09
401.4864926013408,-9.412950971784018e-09
401.5115126013408,-1.3497986370458679e-08
401.5365726013408,-9.16793580063167e-09
401.5616226013408,4.88049160570454e-09
401.5866526013408,-5.137992039539577e-09
401.6117026013408,-2.510444171835415e-08
401.6367626013408,-1.5140486324339664e-08
401.6617826013408,-3.330095248613523e-09
401.6868326013408,-1.1403782814466233e-08
401.7118926013408,-2.0550795411533062e-08
401.7369426013408,-1.809758122588805e-08
401.7620026013408,-1.3798815850538232e-08
401.7870526013408,-2.5830657169658692e-08
401.8121126013408,-3.7098131307989866e-08
401.8371926013408,-2.700667960480397e-08
401.8622526013408,-1.6548035776324316e-08
401.8873026013408,-2.3592678152215657e-08
401.9123626013408,-4.6148506493687045e-08
401.9625026013408,-2.9041866000827604e-08
401.9875926013408,1.0110515140087338e-09
402.0126426013408,1.9299367649683615e-08
402.0377326013408,1.8108700492630048e-08
402.0628126013408,3.8843875183282764e-09
402.0878726013408,-4.525750776076569e-09
402.1129526013408,2.027490688483551e-09
402.1380426013408,1.0298380821494888e-08
402.1631226013408,9.902691839926121e-09
402.1882126013407,-8.666110810571158e-10
402.2132926013407,-1.3943078499136415e-08
402.2383826013408,-2.1618729157266185e-08
402.2634626013408,-1.5916658669761756e-08
402.2885526013408,1.4935006964420876e-09
402.3136426013408,1.7448926409940067e-08
402.3387226013408,1.911190879093096e-08
402.3638426013408,1.642582682641282e-08
402.3889226013408,8.374449546558331e-09
402.4140426013408,1.7836240585526123e-10
402.4391226013408,-1.35814721609185e-08
402.4642426013408,-1.6234744432588336e-08
402.4893326013408,-2.603054129994479e-09
402.5144426013408,1.698193557984419e-08
402.5395626013408,1.553824200437455e-08
402.5646426013408,-5.113752028060314e-09
402.5897626013408,-2.8163822176728213e-08
402.6148726013408,-3.0729005723382365e-08
402.6399926013408,-2.6926038201221386e-08
402.6651126013407,-2.4631310096773203e-08
402.6902226013408,-7.117105452663088e-09
402.7153426013407,4.954680368266623e-09
402.7404526013408,7.344491958925876e-09
402.7655726013407,6.903973348392914e-09
402.7906926013408,-3.3011797218516665e-09
402.8158326013408,-8.020622793951684e-09
402.8409526013408,8.393014205527566e-09
402.8660626013408,5.6080989437686604e-09
402.8912126013408,-1.522895429617726e-08
402.9163326013408,-2.0498251226484907e-08
402.9414726013408,-4.0790898953856575e-09
402.9666226013408,6.70090588097686e-09
402.9917426013408,-8.226866729668203e-09
403.0168826013408,-2.2759590745630876e-08
403.0420326013408,-1.34350115978391e-08
403.0671826013408,1.7856933840271908e-08
403.0922926013408,3.566049764854437e-08
403.1174426013408,2.118322319250438e-08
403.1425826013408,1.0346878512393612e-08
403.1677326013408,1.2681401831220988e-08
403.1928826013408,1.3808668565189365e-08
403.2180526013408,1.3962583096683378e-09
403.2432026013408,7.30907897090074e-09
403.2683526013408,1.507942368872912e-08
403.2934926013408,1.5883383428928865e-09
403.3186726013408,-1.6689672033336918e-08
403.3438226013408,-2.888050604304436e-08
403.3689926013408,-2.5326537853950672e-08
403.3941426013408,-2.1718009677522238e-08
403.4193226013407,-1.9242600969335784e-08
403.4444626013408,-1.8326914099680543e-08
403.4696426013407,-1.991402141103627e-09
403.4948226013408,2.029959572972191e-09
403.5200026013408,-2.1921309559031075e-08
403.5451726013408,-3.803433633820649e-08
403.5703226013408,-3.443776766134826e-08
403.5955026013408,-2.9875439328971786e-08
403.6206726013408,-2.1334184917373045e-08
403.6458526013408,-1.1898667597787687e-08
403.6710626013408,-1.309160261680034e-08
403.6962326013408,-4.129438980671291e-09
403.7214126013408,8.827954267961762e-12
403.7465926013407,-1.0790364491970297e-09
403.7718026013408,1.0447111437661162e-10
403.7969726013408,1.9562897353713746e-09
403.8221526013408,8.001051285673819e-09
403.8473626013408,6.051100495619282e-09
403.8725626013408,-9.011470204588518e-09
403.8977426013408,-1.6654157573042e-08
403.9229526013408,-7.029869654036861e-09
403.9481626013407,6.114206408163848e-09
403.9733326013408,4.801336109171175e-09
403.9985426013408,9.83260769349436e-09
404.0237526013408,6.270210477173871e-09
404.0489626013408,-7.556447991665486e-09
404.0741626013408,-7.816098589901622e-09
404.0993726013408,4.994623878605742e-09
404.1245826013408,1.5985480224274126e-08
404.1497926013408,4.3044865934367185e-09
404.1749926013408,3.789004215680389e-09
404.2002326013408,1.5850396427713482e-08
404.2254426013408,2.118806059621041e-08
404.2506526013408,1.9682229285728606e-08
404.2758926013408,8.898331587889925e-09
404.3010926013408,-6.490107618725227e-09
404.3263326013408,-8.803895289180205e-09
404.3515426013408,-3.7126562593437548e-09
404.3767826013408,3.329430868495611e-10
404.4020126013408,3.0917853875044644e-09
404.4272526013408,1.1882820103275184e-11
404.4524626013408,-8.745707889009243e-09
404.4777026013407,-8.702356731191587e-09
