# Results from black body fit 
# =========================== 
# Temperature [K]: 794.3 -/+ 51.6
# Scaling factor: 1.72E+01 -/+ 2.46E+01
# Fit local minima: True
# f_scale: 0.1
Wavelength (nm),Radiance (W/cm^2/ster/nm)
400.1507668609257,-2.4431588139534973e-09
400.1756968609257,-1.0586139341708097e-08
401.3753468609257,-6.319152646520059e-09
401.4003668609257,1.541442089520466e-09
401.4253968609258,-4.7500205340345095e-09
402.0016268609257,-1.0196052118665257e-08
402.0267168609257,-6.984886468335411e-09
402.3026268609257,-7.19021492978328e-09
402.3277068609258,-2.3738655115050173e-09
402.3528268609257,-8.64801442161828e-09
402.7294368609257,-4.253810666833079e-09
402.7545568609257,-6.25577420052298e-09
402.7796768609257,-1.1445716794893686e-08
402.8048168609257,-1.153256346304656e-08
402.8299368609257,-4.166364252759845e-09
402.8550468609257,-5.847972346263919e-09
402.9556068609257,-7.781147307633384e-09
403.0561668609257,-1.0495707178783892e-08
403.0812768609257,-6.157691962284376e-09
403.4586268609257,-1.1656603285616002e-08
403.4838068609257,-1.031234828745196e-08
403.9875268609257,-1.0378358701586645e-08
404.1135668609257,-8.019183546868458e-09
404.1387768609257,-9.058616347663289e-09
404.1639768609257,-9.151381787163895e-09
404.1892168609257,-8.406733540323162e-09
404.2144268609257,-1.0979215765000309e-08
404.2396368609257,-1.193838502267819e-08
404.6686168609257,-5.514008846928452e-09
404.6938568609257,5.986699705491699e-09
404.7191268609257,3.482558456054336e-09
404.7443668609257,-7.601080941520603e-09
404.8201368609257,-1.035897961548958e-08
404.8454068609257,-2.9462752934598303e-09
404.8706468609257,-5.705504048529313e-09
404.8959168609257,-1.0399174130395531e-08
405.2244668609257,-1.1892001836365565e-08
405.5026968609257,-5.5468850848007884e-09
405.5279968609257,-5.754405198171069e-09
405.7051768609257,-3.6299247671213256e-09
405.7304768609257,6.022127545703406e-10
405.7558068609257,-2.970730422268551e-09
405.7811368609257,-3.803730656950983e-09
405.8064668609257,5.2657846931714e-10
405.8317668609257,6.434056821954178e-09
405.8570968609257,8.835933090944453e-09
405.8824268609257,3.3372360423256113e-09
405.9077568609257,-7.187299507695309e-09
405.9330868609257,-1.2101726905857564e-08
405.9584168609257,-7.572019252188017e-09
405.9837468609257,-4.183380944749678e-09
406.0090768609257,-5.796012726701482e-09
406.0344368609257,-9.627082533384089e-09
406.0597668609257,-1.0176614497495724e-08
406.1864768609257,-8.634292076673217e-09
406.2118368609257,-4.350662660995555e-09
406.2371668609257,-7.701070436975638e-09
406.2625268609257,-1.346000839877078e-08
406.3132468609257,-8.796818984470828e-09
406.3386068609257,-1.0107864144191044e-08
406.6683768609257,-6.0194840808312346e-09
406.9222468609257,-3.0287968692672264e-09
406.9476368609257,-1.0663550391444449e-08
409.1124368609257,-3.955898253365346e-09
409.1379768609257,-6.260087294123713e-09
409.2912368609257,-1.7525381801469575e-09
