Temperature (K),Effusion rate (D2/cm^2/s)
499.8256, 6.3542e-9
520.0523, 1.4615e10
540.279, 3.6219e10
559.8082, 7.3074e10
580.7323, 1.7728e11
600.2616, 2.7895e11
621.1857, 4.6958e11
640.7149, 7.0087e11
661.6391, 1.0071e12
681.1683, 1.2588e12
700.6975, 1.3617e12
713.252, 1.3922e12
720.2267, 1.3897e12
741.1508, 1.3083e12
757.8901, 1.0885e12
778.8143, 8.8133e11
798.3435, 7.2121e11
819.2677, 5.5854e11
840.1918, 4.4925e11
859.721, 3.5266e11
880.6452, 2.5862e11
900.1743, 2.0524e11
919.7036, 1.4678e11
941.3252, 9.9762e10
961.5518, 7.0532e10
981.0811, 3.749e10
1000.6103, 1.4615e10
1021.5344, 1.9063e9
