Temperature (K),Effusion rate (D2/cm^2/s)
599.7469, 3.2316e10
607.8428, 3.188e10
619.9865, -3.3379e10
628.8919, 3.0747e10
638.6068, 3.0224e10
648.3218, 2.9701e10
659.6559, 5.4593e11
669.3709, 8.6844e11
680.705, 2.1599e12
689.6104, 6.2296e12
700.9445, 1.1204e13
709.0403, 1.8245e13
721.184, 2.4188e13
729.2798, 3.2845e13
742.2331, 3.9563e13
749.5192, 4.654e13
762.4726, 5.1062e13
769.7588, 5.4744e13
780.2833, 5.6552e13
789.9983, 5.9007e13
800.5229, 5.9911e13
809.4282, 5.9846e13
819.9527, 5.9264e13
829.6677, 5.7648e13
838.5731, 5.6678e13
850.7168, 5.5709e13
858.8126, 5.3512e13
870.9563, 5.2154e13
879.0521, 5.028e13
891.1958, 4.7695e13
899.2916, 4.5628e13
911.4353, 4.4141e13
919.5311, 4.1233e13
931.6747, 3.8261e13
939.7706, 3.6645e13
950.2952, 3.5159e13
960.0101, 3.3156e13
971.3442, 3.1346e13
981.0592, 2.9601e13
989.9646, 2.7985e13
998.87, 2.6047e13
1019.919, 2.3591e13
1040.9681, 2.1264e13
1061.2076, 1.8678e13
1081.4471, 1.6352e13
1089.5429, 1.3832e13
1101.6865, 9.3085e12
1108.9727, 5.4318e12
1121.9261, 1.8778e12
