Temperature (K),Desorption rate (D2/m^2/s)
356.8042, 9.9678e14
364.5227, 1.8151e15
368.7359, 2.7501e15
375.7553, 3.9189e15
381.3733, 5.2044e15
384.8927, 7.3077e15
391.2103, 8.3596e15
393.3258, 1.0229e16
401.75, 1.1749e16
402.4579, 1.28e16
405.9729, 1.4202e16
410.1876, 1.5371e16
414.406, 1.7124e16
419.3264, 1.8993e16
424.9449, 2.0396e16
427.0575, 2.1798e16
429.8742, 2.3667e16
437.5928, 2.4486e16
438.3052, 2.6238e16
445.3239, 2.729e16
446.736, 2.8809e16
450.9522, 3.0212e16
453.0655, 3.1731e16
457.2825, 3.325e16
460.7974, 3.4652e16
465.7156, 3.6171e16
468.5413, 3.9443e16
475.5533, 3.9443e16
480.47, 4.0729e16
486.0901, 4.2365e16
488.2056, 4.4234e16
492.4211, 4.552e16
496.6402, 4.7389e16
497.3586, 5.0077e16
500.1775, 5.2297e16
502.2968, 5.475e16
505.1136, 5.662e16
507.2336, 5.919e16
512.1659, 6.2929e16
514.2792, 6.4448e16
518.5028, 6.7019e16
522.0215, 6.9005e16
521.3501, 7.3679e16
524.1698, 7.6016e16
531.1759, 7.5081e16
532.6007, 7.8587e16
538.2081, 7.8236e16
536.8251, 8.1274e16
538.9399, 8.3027e16
542.4526, 8.4078e16
546.6487, 8.2326e16
548.7419, 8.0691e16
555.0691, 8.3261e16
558.5617, 8.1159e16
566.2854, 8.2795e16
572.5874, 8.1393e16
578.2105, 8.3497e16
585.9171, 8.2446e16
588.7323, 8.4081e16
592.9314, 8.2796e16
595.0536, 8.5718e16
598.5455, 8.3498e16
602.0575, 8.4433e16
604.869, 8.5484e16
606.2968, 8.9457e16
612.5928, 8.7121e16
618.2203, 8.9925e16
626.6244, 8.829e16
630.1423, 9.016e16
637.8467, 8.8758e16
642.0636, 9.0277e16
644.8766, 9.1562e16
653.2844, 9.0512e16
658.204, 9.2264e16
663.8077, 9.133e16
668.7237, 9.2499e16
670.8392, 9.4368e16
675.0338, 9.2382e16
677.8617, 9.6004e16
684.1443, 9.1565e16
684.8894, 9.8458e16
687.6808, 9.6355e16
688.359, 9.2734e16
692.5796, 9.4837e16
694.6594, 9.1098e16
700.2795, 9.2734e16
700.9621, 8.9814e16
705.1768, 9.0982e16
704.4599, 8.8529e16
708.6739, 8.958e16
710.0592, 8.6893e16
715.6778, 8.8296e16
714.2575, 8.5492e16
724.7912, 8.7946e16
721.2666, 8.5025e16
728.9858, 8.596e16
731.7728, 8.3156e16
728.9598, 8.1871e16
732.4606, 8.1053e16
739.4756, 8.1521e16
742.2715, 8.0119e16
744.3655, 7.86e16
752.084, 7.9419e16
747.8626, 7.7198e16
754.1705, 7.6732e16
757.6907, 7.8952e16
762.5857, 7.6849e16
615.4058, 8.8406e16
763.2929, 7.7784e16
763.2705, 7.4279e16
770.2983, 7.6733e16
771.6791, 7.3344e16
776.5965, 7.4747e16
782.8991, 7.3462e16
777.975, 7.1008e16
794.1215, 7.393e16
784.2941, 7.2294e16
786.3866, 7.0541e16
798.3183, 7.2295e16
799.0068, 7.0309e16
806.0174, 7.0075e16
801.1037, 6.9257e16
811.6181, 6.8674e16
806.7015, 6.7388e16
815.8209, 6.7973e16
817.2107, 6.5987e16
827.7362, 6.7156e16
821.4127, 6.5169e16
829.1252, 6.5053e16
826.313, 6.3884e16
834.0225, 6.3301e16
837.5226, 6.2366e16
838.9131, 6.0497e16
844.519, 5.9913e16
848.7218, 5.9212e16
852.9216, 5.8044e16
841.0093, 5.9329e16
855.7265, 5.8045e16
862.7385, 5.8045e16
855.0171, 5.6759e16
863.4256, 5.5825e16
863.4181, 5.4657e16
867.6223, 5.419e16
868.311, 5.2204e16
876.721, 5.1503e16
874.6084, 5.0101e16
880.2114, 4.905e16
881.6064, 4.7882e16
888.6162, 4.7532e16
882.999, 4.6363e16
891.4114, 4.6013e16
893.5038, 4.4261e16
901.2201, 4.4728e16
899.8065, 4.2976e16
904.007, 4.1924e16
906.0943, 3.9354e16
910.2933, 3.8069e16
913.0862, 3.62e16
917.2801, 3.4097e16
915.8657, 3.2228e16
924.2668, 3.0125e16
918.6453, 2.8256e16
925.6566, 2.8139e16
927.7513, 2.6738e16
931.2484, 2.5336e16
935.4466, 2.3934e16
937.5391, 2.2182e16
942.4364, 2.0429e16
949.453, 2.1131e16
946.6355, 1.9144e16
955.0455, 1.8444e16
961.3578, 1.8678e16
964.1575, 1.786e16
966.2522, 1.6459e16
973.2612, 1.5992e16
975.3559, 1.459e16
983.0663, 1.4123e16
985.8607, 1.2487e16
992.8787, 1.3423e16
995.6709, 1.1437e16
999.8833, 1.2255e16
1004.0973, 1.3306e16
1006.183, 1.0503e16
1006.8723, 8.6332e15
1015.2898, 9.1011e15
1014.5758, 7.1149e15
1025.0955, 7.3492e15
1025.7856, 5.5968e15
1032.0972, 5.714e15
1028.5815, 4.1949e15
1039.803, 4.5462e15
1041.1928, 2.5601e15
1047.5081, 3.2615e15
1048.2004, 1.8595e15
1055.9234, 3.3789e15
1059.419, 1.7434e15
1064.3334, 2.6784e15
1067.8283, 9.261e14
1073.4484, 2.5622e15
1081.1527, 1.1606e15
1074.1347, 2.255e14
1088.1663, 1.3948e15
1104.9929, 1.0453e15

