Temperature (K),Desorption rate (D2/m^2/s)
306.8178, 1.1673e16
325.0073, 7.5219e15
346.4449, 1.9909e15
357.4881, 5.9948e14
364.632, 7.4614e15
367.8763, 2.2577e16
371.7774, 7.4505e15
375.6705, 2.6689e16
381.518, 2.1181e16
387.3617, 3.2169e16
391.2529, 5.9654e16
397.0985, 6.2395e16
402.9409, 7.8881e16
406.8365, 8.7122e16
413.3308, 9.3985e16
419.1739, 1.0772e17
424.3689, 1.1459e17
428.262, 1.3382e17
433.4561, 1.4481e17
439.3021, 1.4618e17
443.845, 1.6404e17
450.3447, 1.4754e17
453.5901, 1.5853e17
460.733, 1.6951e17
468.5295, 1.6263e17
475.0254, 1.6262e17
480.87, 1.6948e17
488.0175, 1.6122e17
491.2609, 1.8046e17
495.8102, 1.7083e17
501.0031, 1.8732e17
506.8538, 1.6807e17
515.2962, 1.7768e17
523.0915, 1.7629e17
528.9353, 1.8728e17
534.7818, 1.859e17
543.2277, 1.8038e17
547.7726, 1.9e17
554.9144, 2.0511e17
560.7608, 2.051e17
566.6067, 2.0647e17
569.8508, 2.2296e17
575.7025, 1.9958e17
580.2436, 2.2569e17
586.0921, 2.1606e17
590.6417, 2.0505e17
597.136, 2.1192e17
606.2282, 2.2015e17
615.972, 2.2014e17
623.12, 2.0913e17
627.6693, 1.995e17
634.8138, 2.0361e17
638.7104, 2.0773e17
643.2565, 2.1185e17
648.4519, 2.1734e17
652.3475, 2.2558e17
658.1919, 2.3382e17
664.035, 2.4755e17
669.8803, 2.5167e17
673.1221, 2.7778e17
678.9668, 2.8464e17
684.1616, 2.9288e17
689.3487, 3.3411e17
693.8883, 3.6572e17
699.0832, 3.7396e17
699.7292, 3.8908e17
707.5272, 3.767e17
711.4199, 3.9731e17
716.6131, 4.1242e17
721.8063, 4.2753e17
727.6493, 4.4127e17
731.5421, 4.6188e17
736.7311, 4.9487e17
743.2222, 5.1547e17
748.4128, 5.4158e17
751.6416, 6.2405e17
758.1336, 6.4054e17
762.6679, 6.9551e17
767.857, 7.285e17
773.6921, 7.766e17
778.2302, 8.1508e17
783.417, 8.5768e17
789.8965, 9.2777e17
794.4319, 9.7863e17
798.9691, 1.0212e18
803.507, 1.0611e18
810.0, 1.0734e18
815.1836, 1.1298e18
820.3713, 1.1683e18
825.5596, 1.204e18
830.7507, 1.2287e18
835.9416, 1.2535e18
839.8445, 1.2301e18
848.2876, 1.237e18
851.5339, 1.2438e18
856.728, 1.2548e18
861.9327, 1.2204e18
868.4343, 1.1957e18
872.3474, 1.1283e18
878.8452, 1.1201e18
882.7526, 1.0775e18
887.947, 1.0871e18
893.8025, 1.0472e18
899.0107, 9.9771e17
904.2131, 9.7296e17
908.7659, 9.4821e17
913.9712, 9.1109e17
919.1749, 8.8084e17
922.4346, 8.2998e17
928.2943, 7.7224e17
932.8513, 7.2962e17
938.7059, 6.9387e17
943.9198, 6.1964e17
948.4761, 5.7977e17
954.3354, 5.234e17
958.8934, 4.7666e17
964.7476, 4.4228e17
970.6038, 3.9966e17
975.1585, 3.6667e17
981.0137, 3.2817e17
984.9192, 2.938e17
991.4272, 2.4156e17
995.98, 2.1681e17
1001.1834, 1.8793e17
1007.0364, 1.5906e17
1012.2385, 1.3568e17
1016.7915, 1.0956e17
1022.6449, 7.9309e16
1028.4956, 6.0056e16
1033.6961, 4.3553e16
1038.8947, 3.5298e16
1043.439, 4.7662e16
1049.2878, 3.6656e16
1053.8377, 2.4278e16
1057.0889, 1.0528e16
1063.5828, 1.8765e16
1068.782, 7.7605e15
1077.2257, 1.1871e16
1079.8221, 2.0115e16
1085.0153, 3.5227e16
1090.2145, 2.4223e16
1096.0605, 2.5588e16
1099.303, 4.8951e16
1104.5028, 3.5197e16
1112.2963, 4.2058e16
1116.1861, 7.5042e16
1120.7383, 5.3042e16
1127.2399, 2.829e16
1150.631, 2.1373e15
1157.7685, 3.6491e16
1163.6116, 5.0227e16
1168.8022, 7.6336e16
1174.6657, 2.1005e15
1190.2459, 4.4688e16
