 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Deuterium in Boron.txt

 Ion = Hydrogen [1] , Mass = 2.014 amu

 Target Density =  2.3502E+00 g/cm3 = 1.3091E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      B      5    100.00    100.00   
 ====================================
 Bragg Correction = 0.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
    1.1 eV    3.530E-03  1.336E-02       1 A         2 A         1 A   
    1.2 eV    3.530E-03  1.394E-02       1 A         2 A         1 A   
    1.3 eV    3.674E-03  1.448E-02       1 A         2 A         1 A   
    1.4 eV    3.813E-03  1.500E-02       1 A         2 A         1 A   
    1.5 eV    3.947E-03  1.550E-02       1 A         2 A         1 A   
    1.6 eV    4.076E-03  1.597E-02       1 A         2 A         1 A   
    1.7 eV    4.202E-03  1.643E-02       1 A         2 A         1 A   
    1.8 eV    4.323E-03  1.686E-02       1 A         2 A         1 A   
      2 eV    4.557E-03  1.769E-02       1 A         2 A         2 A   
   2.25 eV    4.834E-03  1.864E-02       2 A         2 A         2 A   
2.49999 eV    5.095E-03  1.952E-02       2 A         2 A         2 A   
2.74999 eV    5.344E-03  2.034E-02       2 A         2 A         2 A   
2.99999 eV    5.581E-03  2.111E-02       2 A         2 A         2 A   
3.24999 eV    5.809E-03  2.183E-02       2 A         3 A         2 A   
3.49999 eV    6.029E-03  2.250E-02       2 A         3 A         2 A   
3.74999 eV    6.240E-03  2.314E-02       2 A         3 A         2 A   
3.99999 eV    6.445E-03  2.375E-02       2 A         3 A         2 A   
4.49999 eV    6.836E-03  2.488E-02       2 A         3 A         2 A   
4.99999 eV    7.206E-03  2.592E-02       2 A         3 A         2 A   
5.49999 eV    7.557E-03  2.687E-02       3 A         3 A         3 A   
