time (s),dT1 (C),dT2 (C),dT3 (C),dT4 (C),dT5 (C)
0.0,0.0,0.0,0.0,0.0,0.0
0.05,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.15000000000000002,0.0,0.0,0.0,0.0,0.0
0.2,0.25,0.0,0.0,0.0,0.0
0.25,0.25,0.0,0.0,0.25,0.0
0.30000000000000004,0.25,0.0,0.0,0.25,0.0
0.35000000000000003,0.0,0.0,0.0,2.775557561562889e-15,0.0
0.4,0.0,0.0,0.0,0.25,0.0
0.45,0.0,0.0,0.0,0.25,0.25
0.5,0.0,0.0,0.0,0.5,0.5
0.55,0.0,0.0,0.0,0.75,0.75
0.6000000000000001,0.0,0.0,0.0,1.0,1.25
0.65,0.25,0.0,0.0,1.5,1.5
0.7000000000000001,0.25,0.0,0.0,2.0,1.75
0.75,0.25,0.0,0.25,2.25,2.5
0.8,0.25,0.0,0.25,3.25,3.0
0.8500000000000001,0.5,0.0,0.25,3.75,3.5
0.9,0.5,0.25,0.5,4.25,4.5
0.9500000000000001,0.5,0.25,0.5,5.25,5.0
1.0,0.75,0.25,0.5,6.0,5.5
1.05,0.75,0.5,0.75,6.5,6.75
1.1,1.0,0.5,1.0,7.75,7.25
1.1500000000000001,1.25,0.5000000000000111,1.0,9.00000000000001,7.7500000000000115
1.2000000000000002,1.5,0.75,1.5,9.75,9.0
1.25,1.5,0.75,1.75,10.25,9.5
1.3,2.0,1.0,1.75,11.5,10.0
1.35,2.25,1.0,2.0,12.25,11.0
1.4000000000000001,2.25,1.25,2.25,12.75,11.5
1.4500000000000002,2.75,1.5,2.25,13.75,11.75
1.5,3.0,1.75,2.75,14.25,12.5
1.55,3.0,1.75,3.0,14.75,13.0
1.6,3.25,2.0,3.0,15.5,13.25
1.6500000000000001,3.5,2.25,3.5,16.0,14.0
1.7000000000000002,3.5,2.250000000000022,4.0,16.25000000000002,14.25
1.75,4.0,2.5,4.0,17.0,14.5
1.8,4.5,2.75,4.25,17.25,15.0
1.85,4.5,2.75,4.5,17.5,15.25
1.9000000000000001,4.5,3.000000000000011,4.5,18.25,15.25000000000001
1.9500000000000002,5.0,3.25,5.0,18.5,15.75
2.0,5.0,3.5,5.5,18.5,16.0
2.0500000000000003,5.25,3.75,5.5,19.0,16.0
2.1,5.75,4.0,5.75,19.25,16.5
2.15,5.75,4.0,6.0,19.25,16.75
2.2,5.75,4.250000000000022,6.0,19.75,16.75
