time (s),T1 (C),T2 (C),T3 (C),T4 (C),T5 (C)
0.0,25.5,25.5,25.0,25.25,25.75
0.05,25.5,25.5,25.0,25.25,25.75
0.1,25.5,25.5,25.0,25.25,25.75
0.15000000000000002,25.5,25.5,25.0,25.25,25.75
0.2,25.75,25.5,25.0,25.25,25.75
0.25,25.75,25.5,25.0,25.5,25.75
0.30000000000000004,25.75,25.5,25.0,25.5,25.75
0.35000000000000003,25.5,25.5,25.0,25.250000000000004,25.75
0.4,25.5,25.5,25.0,25.5,25.75
0.45,25.5,25.5,25.0,25.5,26.0
0.5,25.5,25.5,25.0,25.75,26.25
0.55,25.5,25.5,25.0,26.0,26.5
0.6000000000000001,25.5,25.5,25.0,26.25,27.0
0.65,25.75,25.5,25.0,26.75,27.25
0.7000000000000001,25.75,25.5,25.0,27.25,27.5
0.75,25.75,25.5,25.25,27.5,28.25
0.8,25.75,25.5,25.25,28.5,28.75
0.8500000000000001,26.0,25.5,25.25,29.0,29.25
0.9,26.0,25.75,25.5,29.5,30.25
0.9500000000000001,26.0,25.75,25.5,30.5,30.75
1.0,26.25,25.75,25.5,31.25,31.25
1.05,26.25,26.0,25.75,31.75,32.5
1.1,26.5,26.0,26.0,33.0,33.0
1.1500000000000001,26.75,26.00000000000001,26.0,34.250000000000014,33.500000000000014
1.2000000000000002,27.0,26.25,26.5,35.0,34.75
1.25,27.0,26.25,26.75,35.5,35.25
1.3,27.5,26.5,26.75,36.75,35.75
1.35,27.75,26.5,27.0,37.5,36.75
1.4000000000000001,27.75,26.75,27.25,38.0,37.25
1.4500000000000002,28.25,27.0,27.25,39.0,37.5
1.5,28.5,27.25,27.75,39.5,38.25
1.55,28.5,27.25,28.0,40.0,38.75
1.6,28.75,27.5,28.0,40.75,39.0
1.6500000000000001,29.0,27.75,28.5,41.25,39.75
1.7000000000000002,29.0,27.75000000000002,29.0,41.50000000000002,40.0
1.75,29.5,28.0,29.0,42.25,40.25
1.8,30.0,28.25,29.25,42.5,40.75
1.85,30.0,28.25,29.5,42.75,41.0
1.9000000000000001,30.0,28.50000000000001,29.5,43.5,41.000000000000014
1.9500000000000002,30.5,28.75,30.0,43.75,41.5
2.0,30.5,29.0,30.5,43.75,41.75
2.0500000000000003,30.75,29.25,30.5,44.25,41.75
2.1,31.25,29.5,30.75,44.5,42.25
2.15,31.25,29.5,31.0,44.5,42.5
2.2,31.25,29.75000000000002,31.0,45.0,42.5
2.25,31.75,30.0,31.25,45.25,42.5
2.3000000000000003,31.75,30.0,31.75,45.25,42.75
2.35,32.0,30.25,31.75,45.5,42.75
2.4000000000000004,32.25,30.5,32.0,45.5,43.0
2.45,32.25,30.50000000000002,32.25,45.50000000000002,43.0
2.5,32.5,30.75,32.25,45.75,43.0
2.5500000000000003,32.75,31.0,32.5,45.75,43.25
2.6,32.75,31.0,32.75,45.75,43.5
2.6500000000000004,33.0,31.25000000000002,32.75,46.00000000000002,43.5
2.7,33.0,31.5,33.0,46.25,43.50000000000002
2.75,33.0,31.5,33.5,46.25,43.75
2.8000000000000003,33.25,31.75,33.5,46.25,43.75
2.85,33.5,32.0,33.5,46.25,43.75
2.9000000000000004,33.5,32.00000000000002,33.75,46.25000000000002,43.75
2.95,33.75,32.25,34.0,46.5,43.75000000000002
3.0,34.0,32.25,34.0,46.5,44.0
3.0500000000000003,34.0,32.25,34.25,46.5,44.0
3.1,34.0,32.5,34.5,46.5,44.25
3.1500000000000004,34.25,32.75,34.5,46.5,44.25
3.2,34.25,32.75000000000002,34.75,46.5,44.25
3.25,34.25,33.0,34.75,46.5,44.25
3.3000000000000003,34.5,33.0,34.75,46.75,44.25
3.35,34.5,33.0,35.0,46.75,44.25
3.4000000000000004,34.75,33.25000000000002,35.25,46.75,44.5
3.45,34.75,33.5,35.25,46.75,44.49999999999998
3.5,34.75,33.5,35.5,46.75,44.25
3.5500000000000003,35.0,33.5,35.5,46.75,44.5
3.6,35.0,33.75,35.5,46.75,44.5
3.6500000000000004,35.0,33.75,35.75,46.75,44.5
3.7,35.25,34.0,36.0,46.75,44.75
3.75,35.25,34.0,36.0,46.75,44.75
3.8000000000000003,35.25,34.25,36.0,46.75,44.75
3.85,35.25,34.25,36.25,46.75,44.75
3.9000000000000004,35.5,34.25,36.25,46.75,44.75
3.95,35.5,34.5,36.25,46.75,44.75
4.0,35.5,34.5,36.5,46.75,44.75
4.05,35.75,34.5,36.5,46.75,44.75
4.1000000000000005,35.75,34.75,36.5,46.75,44.75000000000004
4.15,35.75,34.75,36.5,46.75,45.0
4.2,36.0,34.75,36.5,46.75,45.0
4.25,36.0,35.0,36.75,46.75,45.0
4.3,36.0,35.0,37.0,46.75,45.0
4.3500000000000005,36.0,35.00000000000004,37.0,46.75,45.0
4.4,36.25,35.25,37.0,46.75,45.0
4.45,36.25,35.25,37.0,46.75,45.0
4.5,36.25,35.25,37.0,46.75,45.0
4.55,36.25,35.5,37.25,46.75,45.0
4.6000000000000005,36.25,35.5,37.25,46.75,45.0
4.65,36.25,35.5,37.25,46.75,45.0
4.7,36.5,35.75,37.5,46.75,45.0
4.75,36.5,35.75,37.5,46.75,45.25
4.800000000000001,36.5,35.75,37.5,46.75,45.25
4.8500000000000005,36.5,35.75,37.5,46.75,45.25
4.9,36.5,35.75,37.75,46.75,45.25
4.95,36.75,35.75,37.75,46.5,45.25
5.0,36.75,36.0,37.75,46.5,45.25
5.050000000000001,36.75,36.00000000000004,37.75,46.50000000000004,45.25
5.1000000000000005,36.75,36.25,37.75,46.74999999999996,45.25
5.15,36.75,36.25,38.0,46.5,45.25
5.2,36.75,36.25,38.0,46.5,45.25
5.25,36.75,36.25,38.0,46.75,45.25
5.300000000000001,37.0,36.5,38.0,46.5,45.25
5.3500000000000005,37.0,36.49999999999996,38.25,46.5,45.25
5.4,37.0,36.25,38.25,46.5,45.25
5.45,37.0,36.5,38.25,46.5,45.25
5.5,37.0,36.5,38.25,46.5,45.25
5.550000000000001,37.0,36.5,38.25,46.5,45.25000000000004
5.6000000000000005,37.0,36.5,38.5,46.5,45.49999999999996
5.65,37.0,36.5,38.5,46.5,45.25
5.7,37.25,36.75,38.5,46.5,45.25
5.75,37.25,36.75,38.5,46.5,45.25
5.800000000000001,37.25,36.75,38.75,46.5,45.5
5.8500000000000005,37.25,36.75000000000004,38.75,46.5,45.5
5.9,37.25,37.0,38.75,46.5,45.5
5.95,37.25,37.0,38.75,46.5,45.5
6.0,37.25,37.0,38.75,46.5,45.5
6.050000000000001,37.25,37.0,38.75,46.5,45.5
6.1000000000000005,37.25,37.00000000000004,38.75,46.5,45.5
6.15,37.5,37.25,39.0,46.5,45.5
6.2,37.5,37.25,39.0,46.25,45.5
