#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: True
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 50 C/min
#	Sample name: BASELINE_XTBC003
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
0.0,40.64,16.0,-0.75,-0.074,360.25
0.435,40.64,16.0,-3.65,-0.358,359.58
0.776,40.86,16.1,-3.91,-0.383,359.0
1.166,41.03,16.2,-3.73,-0.366,358.83
1.448,41.23,16.2,-3.75,-0.368,358.75
1.79,41.38,16.3,-4.0,-0.392,358.25
2.128,41.55,16.4,-3.84,-0.376,358.17
2.483,41.72,16.4,-4.05,-0.397,358.0
3.009,41.9,16.5,-4.2,-0.411,357.83
3.152,42.17,16.6,-4.08,-0.4,357.75
3.824,42.24,16.6,-4.36,-0.427,357.08
4.165,42.58,16.8,-4.23,-0.415,357.5
4.508,42.76,16.8,-4.43,-0.434,357.42
4.85,42.93,16.9,-4.33,-0.424,357.25
5.18,43.1,17.0,-4.35,-0.426,356.67
5.52,43.27,17.0,-4.59,-0.45,356.58
5.86,43.44,17.1,-4.43,-0.435,357.0
6.204,43.62,17.2,-4.56,-0.446,356.75
6.542,43.79,17.2,-4.72,-0.463,356.5
6.882,43.96,17.3,-4.53,-0.444,356.0
7.216,44.14,17.4,-4.86,-0.476,356.0
7.558,44.31,17.4,-4.72,-0.462,356.42
7.927,44.48,17.5,-4.43,-0.434,356.17
8.24,44.67,17.6,-4.87,-0.477,355.92
8.581,44.83,17.6,-4.52,-0.443,355.33
8.948,45.0,17.7,-4.45,-0.436,355.33
9.359,45.19,17.8,-4.76,-0.466,355.75
9.773,45.39,17.9,-3.91,-0.384,355.58
9.973,45.6,18.0,-4.0,-0.392,355.25
10.611,45.71,18.0,-2.79,-0.273,354.83
10.996,46.03,18.1,-3.22,-0.315,355.33
11.292,46.23,18.2,-2.48,-0.243,355.17
11.641,46.38,18.3,-2.31,-0.227,354.67
12.026,46.55,18.3,-3.14,-0.307,354.0
12.43,46.75,18.4,-2.26,-0.222,354.33
12.907,46.95,18.5,-2.12,-0.208,354.58
13.045,47.2,18.6,-2.57,-0.251,354.42
13.674,47.27,18.6,-1.42,-0.139,353.33
14.008,47.59,18.7,-1.46,-0.143,353.83
14.356,47.76,18.8,-0.59,-0.057,354.08
14.692,47.93,18.9,-1.26,-0.124,353.58
15.096,48.1,18.9,-0.88,-0.087,352.75
15.36,48.31,19.0,-0.43,-0.042,352.92
15.754,48.44,19.1,-0.99,-0.097,353.5
16.041,48.64,19.2,-0.3,-0.03,353.33
16.397,48.79,19.2,0.02,0.002,352.75
16.936,48.97,19.3,-0.34,-0.033,352.08
17.061,49.24,19.4,0.7,0.069,352.5
17.742,49.31,19.4,0.54,0.053,352.58
18.078,49.65,19.5,1.3,0.128,352.0
18.58,49.82,19.6,1.01,0.099,351.58
18.772,50.08,19.7,1.85,0.181,352.0
19.447,50.18,19.8,1.93,0.189,351.83
19.808,50.52,19.9,2.87,0.281,351.25
20.212,50.7,20.0,2.69,0.263,351.25
20.462,50.91,20.0,2.98,0.292,351.75
20.829,51.03,20.1,3.82,0.374,351.58
21.241,51.22,20.2,3.69,0.361,350.92
21.647,51.43,20.2,4.32,0.424,350.25
21.808,51.64,20.3,5.33,0.523,350.67
22.675,51.72,20.4,5.96,0.584,350.92
22.827,52.16,20.5,6.69,0.655,350.25
23.696,52.24,20.6,7.67,0.751,350.25
23.899,52.68,20.7,8.14,0.797,350.83
24.526,52.78,20.8,9.14,0.896,349.83
25.21,53.1,20.9,9.47,0.928,349.33
