#Procedure: <__main__.ExtrusionProcedure>
#Parameters:
#	Displacement: 10 in
#	Is baseline?: False
#	Ku: 5
#	Load cell error %: 9.8 %
#	Load cell range: 32 kg
#	Temperature stabilization time: 60 s
#	Ramping rate: 60 C/min
#	Sample name: XTBC008
#	Extruder speed: 0.508
#	Start position: 16 in
#	Setpoint temperature: 350 C
#	Tu: 32
#Data:
Time (s),Position (cm),Position (in),Force (N),Force error (N),Temperature (C)
0.0,40.64,16.0,-0.0,-0.0,357.0
0.437,40.64,16.0,0.34,0.034,356.5
0.78,40.86,16.1,0.1,0.01,356.75
1.114,41.04,16.2,0.19,0.019,356.83
1.456,41.21,16.2,0.4,0.04,356.5
1.798,41.38,16.3,0.03,0.003,355.92
2.141,41.55,16.4,0.06,0.006,356.0
2.496,41.73,16.4,0.34,0.033,356.67
2.814,41.91,16.5,-0.01,-0.001,356.58
3.156,42.07,16.6,0.0,0.0,355.92
3.492,42.24,16.6,0.3,0.03,355.5
3.987,42.41,16.7,-0.04,-0.004,356.17
4.168,42.67,16.8,-0.14,-0.014,356.75
4.848,42.76,16.8,-0.21,-0.02,355.17
5.189,43.1,17.0,-0.43,-0.042,355.17
5.53,43.28,17.0,-0.28,-0.027,355.75
5.868,43.45,17.1,-0.41,-0.04,355.92
6.214,43.62,17.2,-0.67,-0.066,355.0
6.545,43.8,17.2,-0.47,-0.046,354.25
6.883,43.97,17.3,-0.45,-0.044,354.67
7.263,44.14,17.4,-0.67,-0.065,355.25
7.567,44.33,17.5,-0.49,-0.048,355.17
7.903,44.48,17.5,-0.47,-0.046,354.33
8.241,44.65,17.6,-0.75,-0.073,353.92
8.587,44.83,17.6,-0.57,-0.056,354.42
8.921,45.0,17.7,-0.54,-0.053,354.92
9.262,45.17,17.8,-0.89,-0.087,354.42
9.606,45.35,17.9,-0.68,-0.067,353.67
9.94,45.52,17.9,-0.5,-0.049,353.58
10.282,45.69,18.0,-1.0,-0.098,354.17
10.624,45.86,18.1,-0.59,-0.057,354.42
10.958,46.04,18.1,-0.27,-0.027,353.67
11.296,46.21,18.2,-0.87,-0.085,352.83
11.641,46.38,18.3,-0.5,-0.049,353.08
11.976,46.55,18.3,-0.11,-0.011,353.67
12.316,46.72,18.4,-1.03,-0.101,353.58
12.654,46.9,18.5,-0.51,-0.05,352.75
12.999,47.07,18.5,0.11,0.01,352.33
13.342,47.24,18.6,-0.54,-0.053,353.0
13.816,47.42,18.7,0.02,0.002,353.5
14.017,47.66,18.8,0.91,0.089,353.0
14.698,47.76,18.8,0.67,0.066,352.17
15.044,48.11,18.9,1.82,0.178,352.67
15.455,48.28,19.0,1.62,0.159,352.83
15.712,48.49,19.1,1.3,0.128,352.0
16.049,48.62,19.1,1.66,0.162,351.33
16.39,48.79,19.2,1.12,0.11,351.58
16.732,48.97,19.3,1.23,0.12,352.08
17.072,49.14,19.3,2.12,0.208,351.92
17.414,49.31,19.4,1.96,0.192,351.08
17.744,49.49,19.5,2.16,0.212,350.83
18.085,49.65,19.5,3.1,0.304,351.42
18.426,49.83,19.6,3.01,0.295,351.92
18.773,50.0,19.7,2.76,0.27,351.33
19.106,50.18,19.8,3.79,0.371,350.5
19.448,50.35,19.8,3.69,0.362,350.67
19.781,50.52,19.9,3.65,0.357,351.17
20.127,50.69,20.0,4.72,0.463,351.17
20.465,50.86,20.0,4.8,0.47,350.33
20.801,51.04,20.1,4.76,0.467,350.0
21.145,51.21,20.2,5.52,0.541,350.58
21.479,51.38,20.2,5.41,0.53,351.0
21.82,51.55,20.3,5.05,0.495,350.5
22.166,51.72,20.4,5.9,0.578,349.75
22.502,51.9,20.4,5.76,0.564,349.83
22.843,52.07,20.5,5.51,0.54,350.42
23.188,52.24,20.6,6.27,0.614,350.5
23.514,52.42,20.6,6.51,0.638,349.67
23.855,52.59,20.7,6.21,0.608,349.0
24.196,52.76,20.8,7.05,0.691,349.42
24.538,52.93,20.8,7.22,0.707,349.92
24.879,53.11,20.9,7.17,0.702,349.83
25.219,53.28,21.0,8.05,0.789,349.0
25.554,53.45,21.0,8.55,0.838,348.75
25.899,53.62,21.1,8.38,0.822,349.25
26.241,53.8,21.2,9.5,0.931,349.67
26.571,53.97,21.2,10.09,0.989,349.17
26.912,54.14,21.3,9.7,0.95,348.5
27.258,54.31,21.4,10.49,1.028,348.67
27.594,54.49,21.5,11.07,1.085,349.17
27.926,54.66,21.5,11.07,1.085,349.08
28.267,54.83,21.6,11.65,1.142,348.25
28.608,55.0,21.7,12.18,1.194,348.0
28.948,55.17,21.7,12.57,1.231,348.58
29.29,55.35,21.8,12.99,1.273,349.08
29.648,55.52,21.9,13.7,1.343,348.5
29.96,55.7,21.9,13.28,1.301,347.75
30.305,55.86,22.0,14.1,1.382,347.83
30.642,56.04,22.1,15.08,1.478,348.5
30.984,56.21,22.1,15.13,1.483,348.67
31.329,56.38,22.2,16.04,1.572,347.83
31.668,56.56,22.3,16.86,1.652,347.17
32.006,56.73,22.3,16.11,1.579,347.42
32.339,56.9,22.4,16.72,1.639,348.0
32.68,57.07,22.5,17.71,1.736,347.92
33.069,57.24,22.5,17.04,1.67,347.25
33.36,57.44,22.6,17.45,1.711,347.0
33.702,57.59,22.7,18.4,1.803,347.58
34.038,57.76,22.7,18.11,1.775,348.17
34.378,57.93,22.8,18.67,1.83,347.75
34.721,58.1,22.9,19.65,1.925,347.08
35.057,58.28,22.9,19.57,1.918,347.17
35.398,58.45,23.0,19.87,1.948,347.75
35.934,58.62,23.1,20.77,2.035,348.0
36.141,58.89,23.2,20.7,2.029,347.25
36.758,59.0,23.2,22.56,2.211,346.42
37.106,59.31,23.4,22.41,2.196,347.0
37.432,59.49,23.4,23.05,2.259,347.5
37.774,59.66,23.5,24.33,2.385,347.08
38.114,59.83,23.6,24.44,2.395,346.42
38.448,60.0,23.6,24.88,2.438,346.58
38.791,60.17,23.7,25.83,2.531,347.25
39.13,60.35,23.8,25.82,2.531,347.5
39.621,60.52,23.8,26.18,2.566,346.75
39.808,60.77,23.9,27.05,2.651,346.17
40.645,60.86,24.0,27.22,2.667,346.83
40.849,61.29,24.1,28.22,2.766,347.0
41.504,61.39,24.2,28.51,2.794,346.0
41.844,61.72,24.3,29.24,2.866,346.33
42.186,61.9,24.4,29.48,2.889,346.92
42.693,62.07,24.4,29.42,2.883,346.83
42.866,62.33,24.5,30.3,2.969,346.17
43.538,62.42,24.6,30.2,2.96,346.25
43.879,62.76,24.7,31.18,3.055,346.83
44.218,62.93,24.8,30.97,3.035,346.5
44.558,63.1,24.8,31.16,3.054,346.25
44.9,63.28,24.9,32.13,3.149,346.42
45.24,63.45,25.0,32.19,3.154,346.92
45.584,63.62,25.0,32.11,3.147,347.25
45.912,63.8,25.1,33.02,3.236,346.5
46.252,63.96,25.2,32.85,3.22,345.92
46.593,64.14,25.3,32.66,3.201,346.25
46.934,64.31,25.3,33.88,3.32,346.75
47.275,64.48,25.4,34.1,3.341,346.75
47.616,64.66,25.5,34.19,3.35,346.08
47.959,64.83,25.5,35.12,3.442,346.0
48.288,65.0,25.6,35.21,3.451,346.5
48.632,65.17,25.7,35.1,3.44,347.0
48.971,65.34,25.7,35.88,3.516,346.5
49.306,65.52,25.8,35.22,3.452,345.92
49.644,65.69,25.9,28.11,2.755,346.0
49.991,65.86,25.9,28.45,2.788,346.67
50.333,66.04,26.0,28.72,2.814,347.08
