Time (s),TC1 (C),TC2 (C)
0.0,23.0,22.5
0.015,22.75,22.5
0.03,22.75,22.5
0.045,22.75,22.5
0.06,22.75,22.5
0.075,22.75,22.5
0.09,22.75,22.5
0.105,22.75,22.5
0.12,22.75,22.5
0.135,22.75,22.5
0.15,22.75,22.5
0.165,23.0,22.5
0.18,23.0,22.5
0.195,23.0,22.5
0.21,23.0,22.5
0.225,23.0,22.5
0.24,22.75,22.5
0.255,22.75,22.5
0.27,22.75,22.5
0.285,22.75,22.5
0.3,22.75,22.5
0.315,23.0,22.5
0.33,23.0,22.5
0.345,23.0,22.5
0.36,23.0,22.75
0.375,23.0,22.75
0.39,23.0,22.75
0.405,23.0,22.75
0.42,23.0,22.75
0.435,23.0,22.5
0.45,23.0,22.5
0.465,22.75,22.5
0.48,22.75,22.5
0.495,22.75,22.5
0.51,22.75,22.5
0.525,22.75,22.5
0.54,22.75,22.5
0.555,22.75,22.5
0.57,22.75,22.5
0.585,22.75,22.75
0.6,22.75,22.75
0.615,23.0,22.75
0.63,23.0,22.75
0.645,23.0,22.75
0.66,23.0,22.5
0.675,23.0,22.5
0.69,23.0,22.5
0.705,23.0,22.5
0.72,23.0,22.75
0.735,23.0,22.75
0.75,22.75,22.75
0.765,22.75,22.75
0.78,22.75,22.75
0.795,22.75,22.75
0.81,22.75,22.75
0.825,23.0,22.75
0.84,23.0,22.75
0.855,23.0,22.75
0.87,23.0,22.75
0.885,23.0,22.75
0.9,23.0,22.75
0.915,23.0,22.75
0.93,23.0,22.75
0.945,23.0,22.75
0.96,23.0,22.75
0.975,23.0,22.75
0.99,23.0,22.75
1.005,23.0,22.75
1.02,23.0,22.75
1.035,23.0,22.75
1.05,22.75,22.75
1.065,22.75,22.75
1.08,22.75,22.75
1.095,22.75,22.75
1.11,22.75,22.75
1.125,22.75,22.75
1.14,22.75,22.75
1.155,22.75,22.75
1.17,22.75,22.75
1.185,22.75,22.75
1.2,22.75,22.75
1.215,22.75,22.75
1.23,22.75,22.75
1.245,22.75,22.5
1.26,22.75,22.5
1.275,22.75,22.5
1.29,22.75,22.5
1.305,22.75,22.5
1.32,22.75,22.75
1.335,22.75,22.75
1.35,23.0,22.75
1.365,23.0,22.75
1.38,23.0,22.75
1.395,23.0,22.75
1.41,23.0,22.75
1.425,23.0,22.75
1.44,23.0,22.75
1.455,23.0,22.75
1.47,23.0,22.5
1.485,23.0,22.5
1.5,23.0,22.5
1.515,23.0,22.5
1.53,23.0,22.5
1.545,23.0,22.75
1.56,23.0,22.75
1.575,22.75,22.75
1.59,22.75,22.75
1.605,22.75,22.75
1.62,22.75,22.75
1.635,22.75,22.75
1.65,23.0,22.75
1.665,23.0,22.75
1.68,23.0,22.75
1.695,23.0,22.75
1.71,23.0,22.75
1.725,23.0,22.75
1.74,23.0,22.75
1.755,23.0,22.75
1.77,23.0,23.0
1.785,23.0,23.0
1.8,22.75,23.0
1.815,22.75,23.0
1.83,22.75,23.0
1.845,22.75,22.75
1.86,22.75,22.75
1.875,23.0,22.75
1.89,23.0,22.75
1.905,23.0,22.75
1.92,23.0,22.75
1.935,23.0,22.75
1.95,23.0,22.75
1.965,23.0,22.75
1.98,23.0,22.75
1.995,23.0,22.75
2.01,23.0,22.75
2.025,23.0,22.75
2.04,23.0,22.75
2.055,23.0,22.75
2.07,23.0,22.5
2.085,23.0,22.5
2.1,22.75,22.5
2.115,22.75,22.5
2.13,22.75,22.5
2.145,22.75,22.75
2.16,22.75,22.75
2.175,22.75,22.75
2.19,22.75,22.75
2.205,22.75,22.75
2.22,22.75,22.75
2.235,22.75,22.75
2.25,23.0,22.75
2.265,23.0,22.75
2.28,23.0,22.75
2.295,23.0,22.75
2.31,23.0,22.75
2.325,22.75,22.75
2.34,22.75,22.75
2.355,22.75,22.75
2.37,22.75,22.75
2.385,22.75,22.75
2.4,22.75,22.75
2.415,22.75,22.75
2.43,22.75,22.75
2.445,22.75,22.75
2.46,23.0,22.75
2.475,23.0,22.75
2.49,23.0,22.75
2.505,23.0,22.75
2.52,23.0,23.0
2.535,22.75,23.0
2.55,22.75,23.0
2.565,22.75,23.0
2.58,22.75,23.0
2.595,22.75,23.0
2.61,22.75,23.0
2.625,22.75,23.0
2.64,22.75,23.0
2.655,22.75,23.0
2.67,22.75,24.25
2.685,23.0,24.25
2.7,23.0,24.25
2.715,23.0,24.25
2.73,23.0,27.25
2.745,23.0,27.25
2.76,22.75,27.25
2.775,22.75,27.25
2.79,22.75,27.25
2.805,22.75,30.75
2.82,22.75,30.75
2.835,22.75,30.75
2.85,22.75,30.75
2.865,22.75,30.75
2.88,22.75,33.75
2.895,22.75,33.75
2.91,22.75,33.75
2.925,22.75,33.75
2.94,22.75,33.75
2.955,22.75,36.5
2.97,22.75,36.5
2.985,22.75,36.5
3.0,22.75,36.5
3.015,22.75,36.5
3.03,22.75,39.25
3.045,22.75,39.25
3.06,22.75,39.25
3.075,22.75,39.25
3.09,22.75,39.25
3.105,22.75,41.25
3.12,22.75,41.25
3.135,23.0,41.25
3.15,23.0,41.25
3.165,23.0,41.25
3.18,23.0,43.0
3.195,23.0,43.0
3.21,23.0,43.0
3.225,23.0,43.0
3.24,23.0,43.0
3.255,23.0,44.75
3.27,23.0,44.75
3.285,23.0,44.75
3.3,23.0,44.75
3.315,23.0,44.75
3.33,23.0,46.0
3.345,23.0,46.0
3.36,23.0,46.0
3.375,23.0,46.0
3.39,23.0,46.0
3.405,23.0,47.0
3.42,23.0,47.0
3.435,23.0,47.0
3.45,23.0,47.0
3.465,23.0,47.0
3.48,23.0,47.75
3.495,23.0,47.75
3.51,23.0,47.75
3.525,23.0,47.75
3.54,23.0,47.75
3.555,23.0,48.5
3.57,23.0,48.5
3.585,22.75,48.5
3.6,22.75,48.5
3.615,22.75,48.5
3.63,22.75,49.0
