Folder,File,Elapsed time (s),Timestamp,Temperature (K),Temperature error (K),Gamma_B (1/cm^2/s),Gamma_B error (1/cm^2/s),Sputtering yield,Sputtering yield error
echelle_20240815,MechelleSpect_007.asc,1005,8/15/24 9:45,760,35,4.71E+15,8.16E+14,0.03601152,0.01095421
echelle_20240815,MechelleSpect_010.asc,1576,8/15/24 9:54,760,35,3.03E+15,5.46E+14,0.02489496,0.00767476
echelle_20240815,MechelleSpect_012.asc,1930,8/15/24 10:00,760,35,3.16E+15,5.83E+14,0.02595698,0.00806847
echelle_20240815,MechelleSpect_015.asc,2844,8/15/24 10:15,760,35,4.25E+15,7.35E+14,0.03825784,0.01163287
echelle_20240815,MechelleSpect_016.asc,3223,8/15/24 10:22,760,35,1.97E+15,4.30E+14,0.01769309,0.00587817
echelle_20240815,MechelleSpect_019.asc,3730,8/15/24 10:30,760,35,2.38E+15,4.78E+14,0.02069585,0.00663234
echelle_20240815,MechelleSpect_020.asc,4603,8/15/24 10:45,760,35,3.54E+15,6.75E+14,0.03324788,0.01045751
echelle_20240827,MechelleSpect_016.asc,477,8/27/24 9:19,593.0229016,100,5.31E+15,1.29E+15,0.02482352,0.00865426
echelle_20240827,MechelleSpect_018.asc,708,8/27/24 9:23,554.050712,100,3.88E+15,7.52E+14,0.02354353,0.0074471
echelle_20240827,MechelleSpect_020.asc,925,8/27/24 9:27,547.9658807,100,3.42E+15,7.05E+14,0.02071518,0.00671648
echelle_20240827,MechelleSpect_022.asc,1410,8/27/24 9:43,543.7975612,100,4.07E+15,8.96E+14,0.02985042,0.00995166
echelle_20240827,MechelleSpect_023.asc,1919,8/27/24 9:52,538.1383906,100,2.52E+15,5.80E+14,0.01850783,0.00629034
echelle_20240827,MechelleSpect_026.asc,2432,8/27/24 9:56,535.8013119,100,2.75E+15,6.72E+14,0.02021213,0.00706293
echelle_20240827,MechelleSpect_027.asc,2707,8/27/24 10:07,521.3778144,100,1.81E+15,4.98E+14,0.01448148,0.0053785
echelle_20240827,MechelleSpect_031.asc,3350,8/27/24 10:20,518.760055,100,2.33E+15,6.26E+14,0.0197506,0.00725343
echelle_20240827,MechelleSpect_032.asc,4141,10/3/24 9:37,525.2012457,100,2.30E+15,6.26E+14,0.01245501,0.00459858
echelle_20241003,MechelleSpect_006.asc,257,10/3/24 9:42,557.7470572,100,8.16E+15,9.22E+14,0.05398167,0.01481671
echelle_20241003,MechelleSpect_008.asc,456,10/3/24 9:45,552.4795803,100,7.07E+15,7.44E+14,0.04675714,0.01268894
echelle_20241003,MechelleSpect_009.asc,717,10/3/24 9:49,545.2205527,100,5.98E+15,6.53E+14,0.03959866,0.01080453
echelle_20241003,MechelleSpect_012.asc,1080,10/3/24 9:55,541.9985959,100,5.99E+15,8.47E+14,0.05602351,0.01610367
echelle_20241003,MechelleSpect_013.asc,1613,10/3/24 10:04,535.8915942,100,5.59E+15,7.38E+14,0.04501804,0.01273605
echelle_20241003,MechelleSpect_016.asc,1896,10/3/24 10:09,540.9981376,100,5.61E+15,7.28E+14,0.04523417,0.01274838
echelle_20241003,MechelleSpect_017.asc,2626,10/3/24 10:21,535.4732073,100,5.00E+15,5.82E+14,0.03747103,0.01033848
echelle_20241003,MechelleSpect_020.asc,2911,10/3/24 10:26,500.7152883,100,5.32E+15,1.04E+15,0.03990991,0.01266524
echelle_20241003,MechelleSpect_021.asc,3478,10/3/24 10:35,529.7447076,100,5.50E+15,1.03E+15,0.03914763,0.01222189
echelle_20241003,MechelleSpect_024.asc,3770,10/3/24 10:40,535.6436763,100,5.86E+15,9.59E+14,0.04168568,0.01246515
echelle_20241003,MechelleSpect_025.asc,3960,10/3/24 10:43,532.2981623,100,5.68E+15,1.05E+15,0.04042787,0.01258932
echelle_20241031,MechelleSpect_003.asc,31,10/31/24 9:45,986.940304,42.1987,4.16E+15,1.71E+15,0.01868786,0.00899947
echelle_20241031,MechelleSpect_006.asc,415,10/31/24 9:55,1017.743274,56.66797,1.39E+16,1.07E+16,0.0950926,0.07699357
echelle_20241031,MechelleSpect_008.asc,628,10/31/24 9:50,1006.023092,36.66619,6.84E+15,5.76E+15,0.03074877,0.02703262
echelle_20241031,MechelleSpect_011.asc,930,10/31/24 9:25,1015.545298,34.8839,4.88E+15,3.70E+15,0.01201486,0.00958836
echelle_20241031,MechelleSpect_013.asc,1232,10/31/24 9:32,949.6581919,38.08462,1.56E+16,9.89E+15,0.03548791,0.02422576
echelle_20241031,MechelleSpect_016.asc,1517,10/31/24 9:35,891.6470168,35.15745,2.36E+15,1.41E+15,0.00677805,0.00440561
echelle_20241031,MechelleSpect_020.asc,1835,10/31/24 9:40,810.9917587,32.86898,4.02E+15,1.28E+15,0.01807879,0.00731269
echelle_20241031,MechelleSpect_021.asc,2234,10/31/24 10:02,785.6577213,37.65856,6.19E+15,1.47E+15,0.04245421,0.01463891
echelle_20241031,MechelleSpect_024.asc,2726,10/31/24 10:10,763.8793746,36.10469,6.13E+15,9.00E+14,0.04916714,0.0142671
echelle_20241031,MechelleSpect_025.asc,3062,10/31/24 10:16,800.114709,60.05323,5.21E+15,7.54E+14,0.04179081,0.01208415
echelle_20241031,MechelleSpect_028.asc,4102,10/31/24 10:33,774.1322394,48.86318,5.48E+15,1.00E+15,0.04998584,0.01548382
echelle_20241031,MechelleSpect_029.asc,4890,10/31/24 10:46,787.3113288,52.8478,4.86E+15,1.61E+15,0.04761666,0.01976866
