Wavelength (nm),Brightness (photons/cm^2/s/nm),Brightness error (photons/cm^2/s/nm)
200.0927884270701,0.0,0.0
200.10678842707011,0.0,0.0
200.12079842707013,0.0,0.0
200.1348084270701,0.0,0.0
200.14881842707013,0.0,0.0
200.1628184270701,0.0,0.0
200.17681842707012,0.0,0.0
200.19081842707013,0.0,0.0
200.2048284270701,0.0,0.0
200.21883842707012,0.0,0.0
200.2328484270701,0.0,0.0
200.24684842707012,0.0,0.0
200.2608584270701,0.0,0.0
200.27486842707012,0.0,0.0
200.2888884270701,0.0,0.0
200.30289842707012,0.0,0.0
200.3169084270701,0.0,0.0
200.3309084270701,0.0,0.0
200.34491842707013,0.0,0.0
200.3589284270701,0.0,0.0
200.37294842707013,0.0,0.0
200.3869584270701,0.0,0.0
200.40096842707013,0.0,0.0
200.4149684270701,0.0,0.0
200.42899842707013,0.0,0.0
200.4429984270701,0.0,0.0
200.45702842707013,0.0,0.0
200.4710384270701,0.0,0.0
200.48503842707012,0.0,0.0
200.4990684270701,0.0,0.0
200.51306842707012,0.0,0.0
200.52709842707011,0.0,0.0
200.54109842707012,0.0,0.0
200.55512842707012,0.0,0.0
200.56912842707013,0.0,0.0
200.58315842707012,0.0,0.0
200.5971784270701,0.0,0.0
200.61118842707012,0.0,0.0
200.6252084270701,0.0,0.0
200.63922842707012,0.0,0.0
200.6532384270701,0.0,0.0
200.66725842707012,0.0,0.0
200.68128842707011,0.0,0.0
200.6953084270701,0.0,0.0
200.70932842707012,0.0,0.0
200.7233384270701,0.0,0.0
200.73735842707012,0.0,0.0
200.7513784270701,0.0,0.0
200.76540842707013,0.0,0.0
200.77942842707012,0.0,0.0
200.7934484270701,0.0,0.0
200.80747842707012,0.0,0.0
200.8214984270701,0.0,0.0
200.83551842707013,0.0,0.0
200.84953842707012,0.0,0.0
200.8635684270701,0.0,0.0
200.87758842707012,0.0,0.0
200.8916084270701,0.0,0.0
200.9056484270701,0.0,0.0
200.91966842707012,0.0,0.0
200.9336984270701,0.0,0.0
200.94771842707013,0.0,0.0
200.96175842707012,0.0,0.0
200.9757784270701,0.0,0.0
200.98979842707013,0.0,0.0
201.00383842707012,0.0,0.0
