# Results from black body fit 
# =========================== 
# Temperature [K]: 766.1 -/+ 104.6
# Scaling factor: 1.97E+01 -/+ 6.10E+01
# Fit local minima: True
# f_scale: 0.1
Wavelength (nm),Radiance (W/cm^2/ster/nm)
401.358915606292,-6.489729477736107e-09
401.3839356062921,5.421835413808064e-10
401.4089656062921,-8.85117220817288e-09
401.98519560629205,-1.0432663354095708e-08
402.3112756062921,-8.231481772180132e-09
402.7130056062921,-5.926384090786091e-09
402.738125606292,-4.538935907643552e-09
402.76324560629206,-8.61309033613728e-09
402.7883856062921,-7.842436324391288e-09
402.8135056062921,-8.919436892832163e-10
402.8386156062921,-4.021132737244126e-09
402.93917560629205,-9.517193815186367e-09
403.06484560629207,-1.0279120949656998e-08
403.4673756062921,-1.0323105936502721e-08
404.09713560629206,-8.405095334155292e-09
404.1223456062921,-9.81854821099793e-09
404.19799560629207,-1.1035185833664734e-08
404.6521856062921,-1.042832050352001e-08
404.6774256062921,1.20359693364589e-09
404.7026956062921,1.6067807673098695e-09
404.7279356062921,-6.666183914016774e-09
404.80370560629206,-9.056994936487027e-09
404.8289756062921,-5.3886331307658356e-09
404.8542156062921,-5.605628453917412e-09
404.87948560629206,-1.0525728917363356e-08
405.5115656062921,-7.135477859088402e-09
405.5368956062921,-1.0896247494455787e-08
405.68874560629206,-6.805002447665618e-09
405.7140456062921,2.5709382627794666e-10
405.73937560629207,-3.9312672359858617e-10
405.76470560629207,-2.633286033215469e-10
405.79003560629207,1.363171579883778e-09
405.8153356062921,3.4853758279094516e-09
405.8406656062921,6.13545772060131e-09
405.8659956062921,5.071480450336622e-09
405.89132560629207,-4.31147622091828e-09
405.91665560629207,-9.761033967376117e-09
405.94198560629206,-7.017948740155337e-09
405.96731560629206,-5.591132489367833e-09
405.99264560629206,-7.812078463048558e-09
406.0180056062921,-1.0697614762728379e-08
406.0433356062921,-1.0309642838844237e-08
406.1700456062921,-1.051761037610886e-08
406.19540560629207,-5.638151547960388e-09
406.22073560629207,-6.927093970018944e-09
406.29681560629206,-1.0784142542812915e-08
406.3221756062921,-9.3246827144898e-09
406.6519456062921,-1.1272181251429761e-08
409.09600560629207,-1.9206458811905456e-09
409.1215456062921,-7.517208128122882e-09
409.2748056062921,-9.154584021203586e-10
410.04208560629206,1.491023533359319e-08
410.06768560629206,8.205608224211098e-08
410.09328560629206,2.1331325549652738e-07
410.1188956062921,3.4487644023210186e-07
410.1444956062921,3.6087887596771485e-07
410.17010560629205,2.339302567788808e-07
410.1957056062921,9.040293424984436e-08
410.22134560629206,1.3990906978682318e-08
410.733915606292,-1.1544678367422165e-08
410.75957560629206,-8.72485686611475e-09
410.78521560629207,-9.371613743859878e-09
410.9904756062921,-7.472082582104376e-09
411.01614560629207,-7.443046702279401e-09
411.0418056062921,-1.1286990640572126e-08
411.4269656062921,-1.0258316940607114e-08
411.452665606292,-1.0493767487279788e-08
411.4783556062921,-1.1783216093248002e-08
411.6325656062921,-9.525607295951577e-09
411.6582656062921,-8.92939531753418e-09
411.9668556062921,-3.850256714068445e-09
411.9925856062921,-8.130927552075333e-09
412.4302056062921,-7.153982756290619e-09
412.4559956062921,-7.620310182524464e-09
412.48174560629207,-8.551883760787376e-09
412.50750560629206,-1.1548158928247576e-08
412.5848056062921,-8.99422880075802e-09
412.6105656062921,-3.038145686876872e-09
412.636315606292,1.6556784775053735e-10
412.6621056062921,1.4140033683432718e-09
412.68786560629206,8.625635185745605e-09
412.7136556062921,6.620788840481962e-09
412.7394356062921,-5.622371729641599e-09
412.9199156062921,-1.0128558429580719e-08
413.0230656062921,-9.354728813388032e-09
413.04888560629206,-2.9405620069509185e-09
413.0746756062921,-4.152825569214921e-09
413.10046560629206,-8.360702709763622e-09
413.6426656062921,-1.168939295957445e-08
413.66848560629205,-1.1320303417961503e-08
413.77184560629206,-3.710134477677487e-09
413.79769560629205,-1.2678124381339237e-09
413.823545606292,8.273939078018549e-10
413.8493956062921,-1.2065221368268327e-09
413.8752456062921,-4.721145643592871e-09
414.1855756062921,-7.176148054470903e-09
414.2114556062921,-1.1554818711541735e-09
414.2373356062921,2.613364984741292e-09
414.2632156062921,2.5058839587011456e-09
414.2890856062921,-3.7135425202823664e-09
414.5997556062921,-9.227713881789855e-09
414.62563560629206,-6.713518665149132e-09
414.96249560629207,-9.265902128762329e-09
415.55917560629206,-5.9668437365809405e-09
418.1899056062921,-1.1407080235963095e-08
418.6082456062921,-1.2005829816424146e-08
418.63439560629206,-6.753930071220861e-09
418.6605456062921,-4.702566480481005e-09
418.6867356062921,-6.345591313811131e-09
418.7128856062921,-7.089194944372864e-09
418.7390756062921,-2.7505556272748678e-09
418.76522560629206,-2.669816856011392e-09
420.2597056062921,-1.101463700206789e-08
420.2859756062921,-1.1803648957044595e-08
420.6802056062921,-9.60632557849005e-09
420.7064756062921,1.5996189461387132e-08
420.73278560629205,2.1801248984619967e-08
420.7590956062921,1.2977428569788368e-08
420.78539560629207,-2.8083808339211735e-09
421.1274656062921,-3.21145087390036e-09
421.1537756062921,1.1364097118477037e-08
421.1801156062921,1.4311914089549205e-08
421.2064456062921,2.3158448593279115e-09
421.33810560629206,-8.725692260839401e-09
421.3644356062921,-9.155111909719328e-09
421.46981560629206,-1.1723219952673471e-08
421.49615560629206,-7.125126672417288e-09
421.5225156062921,-3.521984400193657e-09
421.5488556062921,-6.248610209716713e-09
421.57522560629207,-1.0373857166188905e-08
421.78609560629206,-5.4536510745233186e-09
421.8124656062921,7.483127363289446e-09
421.8388356062921,5.8626712390539714e-09
421.8652056062921,-2.1786320980523948e-09
421.8915656062921,-1.2101735428984857e-08
421.944335606292,-9.012194544050238e-10
421.97069560629205,1.6262858303756605e-08
421.9970656062921,2.6124962847251043e-08
422.02346560629206,2.553072080183919e-08
422.0498356062921,1.400390402816353e-08
422.0762256062921,2.234888126040735e-09
422.10262560629207,-1.1253816606016838e-08
422.18178560629207,-8.893148104090535e-09
422.2081856062921,1.1074364867154289e-10
422.23458560629206,3.4506255751896398e-09
