# ******** Mean D flux on the sample **********
# Gamma_D_mean: 1.123E+17 -/+ 2.250E+16 1/cm^2/s
# *********** Polynomial fit to n_e ***********
# Order:      10
# a_ 0: 2.590E+11 -/+ 3.282E+10
# a_ 1: -4.451E+09 -/+ 2.222E+10
# a_ 2: -4.841E+10 -/+ 2.011E+10
# a_ 3: 7.419E+08 -/+ 6.605E+09
# a_ 4: 6.041E+09 -/+ 3.897E+09
# a_ 5: -5.084E+07 -/+ 6.736E+08
# a_ 6: -3.845E+08 -/+ 3.173E+08
# a_ 7: 1.306E+06 -/+ 2.759E+07
# a_ 8: 1.109E+07 -/+ 1.137E+07
# a_ 9: -8.088E+03 -/+ 3.913E+05
# a_10: -1.170E+05 -/+ 1.479E+05
# *********** Polynomial fit to T_e ***********
# Order:      10
# a_ 0: 3.052E+00 -/+ 4.980E-01
# a_ 1: -2.298E-01 -/+ 5.272E-01
# a_ 2: -1.513E+00 -/+ 4.109E-01
# a_ 3: 8.784E-02 -/+ 2.277E-01
# a_ 4: 2.883E-01 -/+ 1.118E-01
# a_ 5: -1.121E-02 -/+ 3.163E-02
# a_ 6: -2.448E-02 -/+ 1.240E-02
# a_ 7: 5.819E-04 -/+ 1.724E-03
# a_ 8: 9.510E-04 -/+ 5.876E-04
# a_ 9: -1.036E-05 -/+ 3.198E-05
# a_10: -1.346E-05 -/+ 9.830E-06
x (cm),n_e (cm^{-3}),n_e error (cm^{-3}),T_e (eV),T_e error (eV)
-4.0,63315872483.8405,15129396405.700346,0.5222677557726296,0.49185722601545623
-3.959798994974874,65491760014.20146,14523122672.606255,0.507420305615998,0.4919660118160131
-3.919597989949749,67607733314.732925,13985952383.156418,0.4960144858228883,0.49401494673404056
-3.879396984924623,69661307304.34996,13542922467.421185,0.4875254328707026,0.49666600561519236
-3.8391959798994977,71650673326.25525,13215922383.231049,0.48144746528351945,0.49891554977856184
-3.798994974874372,73574685051.10103,13021437759.493605,0.47729846249188945,0.5000749010352192
-3.758793969849246,75432840515.1941,12968519873.989103,0.4746235469981963,0.4997286619244085
-3.7185929648241207,77225260688.50497,13057650064.417711,0.472998119916066,0.4976874404845455
-3.678391959798995,78952664949.01984,13280971282.41268,0.4720302978563957,0.49394321604076324
-3.6381909547738696,80616343822.20055,13623858140.432287,0.4713627970860266,0.48863024273257244
-3.5979899497487438,82218129326.99548,14067300540.40625,0.4706743088894063,0.4819916046619874
-3.557788944723618,83760363252.92868,14590394062.632042,0.46968040811553546,0.47435032194567717
-3.5175879396984926,85245863676.34079,15172397614.350122,0.46813403499401485,0.46608352574507905
-3.477386934673367,86677890007.80794,15794133788.71941,0.46582558845286215,0.457598274227288
-3.4371859296482414,88060106847.12993,16438764008.546106,0.4625826673678781,0.44930791054717817
-3.3969849246231156,89396546907.0945,17092092969.297035,0.45826949441598197,0.44160843179645537
-3.35678391959799,90691573252.4046,17742572845.62425,0.45278605549564244,0.43485512622113814
-3.3165829145728645,91949841085.77911,18381142821.0936,0.446066986012422,0.4293406520588782
-3.2763819095477387,93176259299.24663,19000994057.113888,0.4380802337092615,0.42527654966246575
-3.2361809045226133,94375951995.05785,19597312539.85791,0.428825526146273,0.42278056752469967
-3.1959798994974875,95554220167.44688,20167026532.690243,0.41833266940518454,0.421871848125772
-3.1557788944723617,96716503723.6539,20708569853.04609,0.40665970310669164,0.42247491047217295
-3.115577889447236,97868344010.20523,21221663758.237183,0.39389093538624476,0.42443179346652965
-3.0753768844221105,99015346998.37933,21707116171.35143,0.38013488007242113,0.4275202529154596
-3.035175879396985,100163147271.13034,22166635443.22523,0.36552211695410364,0.4314750586133225
-2.9949748743718594,101317372942.4154,22602655677.364723,0.35020309470490496,0.436009425477641
-2.9547738693467336,102483611628.94269,23018171176.213093,0.33434589475773446,0.440834272714995
-2.914572864321608,103667377583.76239,23416578429.10019,0.31813397318616166,0.4456739685293017
-2.8743718592964824,104874080090.90305,23801525046.480183,0.30176389645383217,0.450278131102244
-2.834170854271357,106108993210.3703,24176766024.822456,0.285443085736525,0.4544297148453276
-2.7939698492462313,107377226953.29517,24546028610.024677,0.2693875834038806,0.45794996970865715
-2.7537688442211055,108683699957.82768,24912887737.284492,0.2538198541685773,0.46070097639951874
-2.7135678391959797,110033113727.51096,25280654494.332443,0.23896663236894577,0.46258642038679465
-2.6733668341708543,111429928485.35274,25652280229.771744,0.22505682584692,0.4635511514165938
-2.633165829145729,112878340688.60747,26030278780.678562,0.21231948591524832,0.4635799363012244
-2.592964824120603,114382262241.41066,26416668829.279644,0.20098185197645319,0.4626956797163343
-2.5527638190954773,115945301434.84714,26812937662.35357,0.1912674784600628,0.4609572720490769
-2.5125628140703515,117570745636.78886,27220026680.323914,0.18339445088359801,0.4584571266568066
-2.472361809045226,119261545746.90198,27638337992.982544,0.17757369701648956,0.45531838900156446
-2.4321608040201004,121020302425.58923,28067760461.368454,0.1740073983336214,0.45169173484511566
-2.391959798994975,122849254099.2955,28507712706.42069,0.17288750618620097,0.4477516244167927
-2.351758793969849,124750266738.5672,28957199983.914986,0.17439436639150424,0.4436918487555894
-2.3115577889447234,126724825399.50185,29414881464.4699,0.17869545524947955,0.4397202025720509
-2.271356783919598,128774027513.75705,29879144360.90386,0.18594422933201948,0.43605215802555475
-2.2311557788944723,130898577907.10263,30348181483.460636,0.1962790907603181,0.43290350906624275
-2.190954773869347,133098785521.58655,30820069123.998985,0.2098224690857028,0.430482113254164
-2.150753768844221,135374561811.74371,31292842610.16172,0.2266800203196988,0.42897906830871485
-2.1105527638190953,137725420780.90393,31764567367.39333,0.2469399431190706,0.4285598910800303
-2.07035175879397,140150480619.5383,32233403826.95095,0.2706724116207178,0.42935645901610325
-2.030150753768844,142648466903.72784,32697664981.736248,0.2979291239389554,0.431460557583612
-1.9899497487437188,145217717308.23392,33155865793.655685,0.32874296488356614,0.43491979433184025
-1.949748743718593,147856187785.2887,33606763984.65873,0.3631277810302003,0.439736378900224
-1.9095477386934672,150561460157.11108,34049391997.931866,0.4010782658749829,0.44586887751726767
-1.8693467336683418,153330751067.27545,34483080103.07407,0.4425699524319171,0.45323662975146245
-1.829145728643216,156160922233.41473,34907470751.38609,0.487559310284176,0.4617261754439769
-1.7889447236180902,159048491941.3253,35322524378.93182,0.5359839437784057,0.47119885880287343
-1.7487437185929648,161989647718.3475,35728516920.4406,0.5877628877538715,0.4814987733188018
-1.708542713567839,164980260121.92386,36126029350.196594,0.6427969969253576,0.4924603489625965
-1.6683417085427137,168015897577.47775,36515929618.78373,0.7009694247895241,0.5039150961998339
-1.6281407035175879,171091842198.2079,36899347416.52873,0.7621461876984055,0.5156972443925791
-1.587939698492462,174203106518.0484,37277642272.507576,0.8261768095404224,0.527648199827658
-1.5477386934673367,177344451067.90405,37652365595.70971,0.892895042288068,0.5396198806562003
-1.507537688442211,180510402724.32056,38025217382.64257,0.9621196575118016,0.5514770621546039
-1.4673366834170856,183695273758.99374,38397998450.0158,1.033655303821129,0.5630988968256123
-1.4271356783919598,186893181516.95465,38772559195.328316,1.1072934250758004,0.5743797743546899
-1.386934673366834,190098068650.8748,39150746032.12778,1.1828132341119635,0.5852296694532905
-1.3467336683417086,193303723838.7284,39534346777.76564,1.259982736649473,0.5955741010046192
-1.3065326633165828,196503802912.0097,39925036375.462906,1.3385597999868244,0.6053538000379443
-1.2663316582914574,199691850321.82843,40324324395.19268,1.4182932610487615,0.6145241604166422
