Time (s),Evaporation rate (atoms/s),Evaporation rate lb (atoms/s),Evaporation rate ub (atoms/s),DiMES temperature (K),Pebble rod temperature (K)
1.500465199998871,1533434198529488.5,396235067142054.9,6716569045403826.0,552.1474060058594,1588.0536362521102
1.50146020000102,1535175611366122.0,396758279924264.25,6722574887686356.0,552.2333740234375,1588.100216736319
1.502455200003169,1535175611366122.0,396758279924264.25,6722574887686356.0,552.2333740234375,1588.100216736319
1.5034511999983806,1561513156042594.2,404666507745331.6,6813446277140441.0,553.5158447265625,1588.8020186708472
1.5044462000005296,1535175611366122.0,396758279924264.25,6722574887686356.0,552.2333740234375,1588.100216736319
1.5054422000030172,1531694238011513.0,395712246888305.06,6710568542274841.0,552.0613464355469,1588.007071053043
1.5064372000051662,1509287287219409.8,388975254816760.25,6633326452986071.0,550.9369262695312,1587.4051729605467
1.5074322000000393,1517855905928159.5,391552497626310.44,6662857344695154.0,551.3706726074219,1587.6358532356026
1.5084282000025269,1517855905928159.5,391552497626310.44,6662857344695154.0,551.3706726074219,1587.6358532356026
1.509423200004676,1479074746093639.2,379877155036326.25,6529282697947256.0,549.3621887207031,1586.5860436316284
1.5104191999998875,1479074746093639.2,379877155036326.25,6529282697947256.0,549.3621887207031,1586.5860436316284
1.5114142000020363,1472510792124084.8,377898137093950.75,6506695172888735.0,549.0093444824219,1586.4067233261142
1.5124092000041855,1521301132324227.8,392588399114078.0,6674733545097929.0,551.5437072753906,1587.7284218395434
1.5134051999993972,1490695726050982.5,383378786010806.06,6569286507294906.0,549.9770874023437,1586.9022576556886
1.5144002000015462,1470879172157102.5,377406080292088.1,6501081360051973.0,548.92099609375,1586.3620639818837
1.5153962000040335,1451573299499316.2,371580256749451.5,6434678372075853.0,547.8552917480469,1585.8308107400003
1.5163911999989068,1461161453170718.2,374474439680666.3,6467652440717682.0,548.3893493652344,1586.0953318364063
1.5173862000010558,1482377249960147.2,380872537717873.3,6540649228916289.0,549.53818359375,1586.6760649146113
1.5183822000035434,1419050064991471.2,361752639689034.75,6322869190810820.0,545.9667114257812,1584.9216981988643
1.5193771999984165,1428177248380989.2,364512075231322.7,6354243821307400.0,546.5094360351562,1585.1788824498485
1.520373200000904,1446828681150735.2,370147528525288.94,6418364193464264.0,547.5873779296875,1585.6993794593063
1.521368200003053,1474146620638782.0,378391412788736.25,6512323789641616.0,549.0976623535156,1586.4514632341393
1.5223641999982649,1542162702461621.0,398857143048580.2,6746675441929519.0,552.5767272949219,1588.2868805173516
1.5233592000004137,1648597633038331.2,430764203382876.9,7114301168954030.0,557.6118225097656,1591.0939788860976
1.5243542000025627,1711381267204595.5,449548384650367.06,7331454010662293.0,560.5348266601562,1592.7271175098958
1.5253502000050505,1788831245123849.8,472705297892407.75,7599485610252987.0,564.248388671875,1594.7282145823256
1.5263451999999234,1787253949715848.0,472233733980993.4,7594026254362158.0,564.1705383300781,1594.6875592001093
1.527341200002411,1802870636086117.8,476902769605307.25,7648079268704433.0,564.946875,1595.089970970785
1.52833620000456,1813588128154808.0,480107276821782.5,7685175008678037.0,565.48740234375,1595.3660174811598
1.529331199999433,1827097804087433.0,484147036231779.0,7731934261911799.0,566.1789306640625,1595.7138871615598
1.5303272000019206,1810544232717834.5,479197134718189.25,7674639413064301.0,565.3331970214844,1595.287625165292
1.5313222000040696,1687225370151624.5,442323258008022.8,7247886886855455.0,559.4064392089844,1592.1002330495558
1.5323181999992812,1731740701814104.2,455636564617045.8,7401900801479946.0,561.49375,1593.2542989517588
1.5333132000014302,1709669193336285.0,449036362719930.25,7325530489907452.0,560.4545654296875,1592.6827390410667
1.5343082000035793,1680255830374163.0,440238216779933.94,7223779626728172.0,559.08212890625,1591.9190449722719
1.5353041999987909,1660959388887019.8,434464209728876.7,7157044519489563.0,558.1857360839844,1591.4165674451583
