OSP B source estimated from core B-V CER data #203780 and EDGE2D Pinj=1.5 MW case

 time [s]    Bdot(CER)[1e20 B/s]
  1.30  -0.30
  1.31  -0.17
  1.35  -0.14
  1.36  -0.11
  1.40  -0.01
  1.41   0.02
  1.45  -0.07
  1.46   0.01
  1.50  -0.06
  1.51  -0.05
  1.55  -0.00
  1.56  -0.03
  1.60  -0.03
  1.61   0.01
  1.65  -0.02
  1.66  -0.03
  1.70  -0.01
  1.71  -0.01
  1.75   0.06
  1.76  -0.12
  1.80  -0.04
  1.81  -0.00
  1.85  -0.00
  1.86  -0.08
  1.90  -0.02
  1.91   0.30
  1.95  -0.02
  1.96   0.02
  2.00  -0.01
  2.01  -0.04
  2.05  -0.01
  2.06   0.20
  2.10   0.02
  2.11   0.19
  2.15  -0.00
  2.16   0.25
  2.20   0.22
  2.21   0.48
  2.25   2.15
  2.26   2.40
  2.30   2.66
  2.31   2.85
  2.35   3.37
  2.36   3.22
  2.40   2.60
  2.41   2.69
  2.45   1.80
  2.46   1.72
  2.50   1.28
  2.51   1.16
  2.55   0.95
  2.56   1.01
  2.60   0.95
  2.61   0.87
  2.65   0.73
  2.66   0.79
  2.70   0.68
  2.71   0.59
  2.75   0.58
  2.76   0.44
  2.80   0.64
  2.81   0.65
  2.85   1.09
  2.86   1.36
  2.90   2.38
  2.91   2.38
  2.95   2.21
  2.96   2.11
  3.00   1.54
  3.01   1.44
  3.05   1.13
  3.06   1.03
  3.10   0.81
  3.11   0.49
  3.15   0.57
  3.16   0.54
  3.20   0.29
  3.21   0.36
  3.25   0.44
  3.26   0.27
  3.30   0.35
  3.31   0.22
  3.35   0.10
  3.36   0.26
  3.40   0.24
  3.41   0.34
  3.45   0.03
  3.46   0.33
  3.50   0.24
  3.51   0.13
  3.55   0.02
  3.56   0.22
  3.60   0.21
  3.61   0.18
  3.65  -0.04
  3.66   0.01
  3.70   0.04
  3.71   0.22
  3.75   0.08
  3.76  -0.01
  3.80   0.05
  3.81   0.21
  3.85   0.15
  3.86  -0.07
  3.90   0.01
  3.91   0.00
  3.95  -0.01
  3.96  -0.12
  4.00  -0.04
  4.01   0.02
  4.05   0.06
  4.06  -0.14
  4.10  -0.25
  4.11  -0.25
  4.15   0.51
  4.16   0.64
  4.20   0.84
  4.21   0.86
  4.25   0.38
  4.26   0.50
  4.30   0.39
  4.31   0.36
  4.35   0.34
  4.36   0.40
  4.40   0.32
  4.41   0.30
  4.45   0.28
  4.46   0.23
  4.50   0.27
  4.55   0.19
  4.56   0.24
