OSP B source estimated from dro1 #203782 and Ysput for 45deg 100 eV D+ on B

 time [s]    Bdot(Ysput)[1e18 B/s]
  1.49   0.48
  1.50   0.48
  1.51   0.47
  1.52   0.46
  1.53   0.46
  1.54   0.46
  1.55   0.46
  1.57   0.47
  1.58   0.48
  1.59   0.49
  1.60   0.50
  1.61   0.50
  1.62   0.50
  1.63   0.49
  1.64   0.48
  1.65   0.47
  1.66   0.46
  1.67   0.46
  1.68   0.46
  1.70   0.47
  1.71   0.47
  1.72   0.48
  1.73   0.47
  1.74   0.46
  1.75   0.45
  1.76   0.44
  1.77   0.43
  1.78   0.42
  1.79   0.42
  1.80   0.43
  1.82   0.44
  1.83   0.45
  1.84   0.46
  1.85   0.46
  1.86   0.45
  1.87   0.44
  1.88   0.44
  1.89   0.43
  1.90   0.43
  1.91   0.43
  1.92   0.44
  1.93   0.45
  1.95   0.45
  1.96   0.45
  1.97   0.45
  1.98   0.44
  1.99   0.43
  2.00   0.43
  2.01   0.44
  2.02   0.45
  2.03   0.48
  2.04   0.51
  2.05   0.54
  2.07   0.57
  2.08   0.59
  2.09   0.61
  2.10   0.63
  2.11   0.65
  2.12   0.69
  2.13   0.74
  2.14   0.80
  2.15   0.87
  2.16   0.94
  2.17   1.00
  2.18   1.06
  2.20   1.10
  2.21   1.13
  2.22   1.14
  2.23   1.13
  2.24   1.08
  2.25   0.98
  2.26   0.85
  2.27   0.69
  2.28   0.52
  2.29   0.36
  2.30   0.23
  2.32   0.12
  2.33   0.05
  2.34   0.00
  2.35   0.00
  2.36   0.00
  2.37   0.00
  2.38   0.00
  2.39   0.00
  2.40   0.00
  2.41   0.00
  2.42   0.00
  2.43   0.00
  2.45   0.00
  2.46   0.00
  2.47   0.00
  2.48   0.00
  2.49   0.00
  2.50   0.00
  2.51   0.00
  2.52   0.00
  2.53   0.00
  2.54   0.00
  2.55   0.00
  2.57   0.00
  2.58   0.00
  2.59   0.00
  2.60   0.00
  2.61   0.00
  2.62   0.00
  2.63   0.00
  2.64   0.00
  2.65   0.00
  2.66   0.00
  2.67   0.00
  2.68   0.00
  2.70   0.00
  2.71   0.00
  2.72   0.00
  2.73   0.00
  2.74   0.00
  2.75   0.00
  2.76   0.04
  2.77   0.18
  2.78   0.39
  2.79   0.67
  2.80   0.97
  2.82   1.27
  2.83   1.50
  2.84   1.65
  2.85   1.70
  2.86   1.69
  2.87   1.61
  2.88   1.49
  2.89   1.34
  2.90   1.18
  2.91   1.02
  2.92   0.88
  2.93   0.77
  2.95   0.70
  2.96   0.65
  2.97   0.63
  2.98   0.62
  2.99   0.62
  3.00   0.61
  3.01   0.60
  3.02   0.58
  3.03   0.56
  3.04   0.53
  3.05   0.51
  3.07   0.50
  3.08   0.49
  3.09   0.49
  3.10   0.50
  3.11   0.51
  3.12   0.51
  3.13   0.51
  3.14   0.51
  3.15   0.50
  3.16   0.50
  3.17   0.50
  3.18   0.50
  3.20   0.50
  3.21   0.51
  3.22   0.52
  3.23   0.52
  3.24   0.52
  3.25   0.51
  3.26   0.50
  3.27   0.50
  3.28   0.50
  3.29   0.51
  3.30   0.51
  3.32   0.51
  3.33   0.50
  3.34   0.49
  3.35   0.49
  3.36   0.48
  3.37   0.48
  3.38   0.48
  3.39   0.48
  3.40   0.49
  3.41   0.50
  3.42   0.50
  3.43   0.50
  3.45   0.49
  3.46   0.48
  3.47   0.47
  3.48   0.47
  3.49   0.47
