Time (s),Evaporation rate (atoms/s),Evaporation rate lb (atoms/s),Evaporation rate ub (atoms/s),DiMES temperature (K),Pebble rod temperature (K)
1.500242200003413,1721928293179879.5,459398090162103.5,7327717934495956.0,612.5656188964844,1595.2397228603147
1.5012381999986246,1714001245797796.8,457128333620977.6,7299717281621200.0,612.8888610839844,1595.0721402585104
1.5022332000007736,1715323299042362.8,457506911247761.25,7304386741923132.0,612.8350280761719,1595.1000962994513
1.503228200002923,1703419545350619.5,454097724990055.7,7262349055273380.0,613.3187316894531,1594.8482805816614
1.5042241999981345,1707388703196136.5,455234594621034.1,7276364470808158.0,613.1576904296875,1594.9322702025013
1.5052192000002833,1712679222597306.2,456749751317555.7,7295048095700238.0,612.9426635742187,1595.044182061108
1.5062152000027709,1704743229104343.0,454476875512866.9,7267022918693481.0,613.2650512695312,1594.8762932127204
1.50721020000492,1696802728941486.8,452202233710900.94,7238987963952160.0,613.5867065429687,1594.708210633594
1.508205199999793,1707388703196136.5,455234594621034.1,7276364470808158.0,613.1576904296875,1594.9322702025013
1.5092012000022803,1707388703196136.5,455234594621034.1,7276364470808158.0,613.1576904296875,1594.9322702025013
1.5101962000044296,1708711970597123.5,455613586249667.56,7281037374551552.0,613.1039489746094,1594.960265799257
1.5111921999996412,1700773361508120.2,453339723438345.6,7253006020418244.0,613.4259704589844,1594.792272205781
1.5121872000017902,1710033820580614.8,455992158700359.1,7285705442269882.0,613.0502380371094,1594.988228653448
1.5131822000039392,1706065533972764.8,454855617884283.6,7271692083646298.0,613.2114013671875,1594.904273932642
1.5141781999991508,1700773361508120.2,453339723438345.6,7253006020418244.0,613.4259704589844,1594.792272205781
1.5151732000012998,1706065533972764.8,454855617884283.6,7271692083646298.0,613.2114013671875,1594.904273932642
1.5161692000037874,1700773361508120.2,453339723438345.6,7253006020418244.0,613.4259704589844,1594.792272205781
1.5171641999986605,1695478573748424.8,451822869122650.3,7234313465879710.0,613.6402648925781,1594.6801717919611
1.518160200001148,1695478573748424.8,451822869122650.3,7234313465879710.0,613.6402648925781,1594.6801717919611
1.519155200003297,1708711970597123.5,455613586249667.56,7281037374551552.0,613.1039489746094,1594.960265799257
1.52015019999817,1703419545350619.5,454097724990055.7,7262349055273380.0,613.3187316894531,1594.8482805816614
1.5211462000006577,1686213357838751.5,449168058627029.9,7201610497959173.0,614.0144409179687,1594.4839073347816
1.5221412000028067,1696802728941486.8,452202233710900.94,7238987963952160.0,613.5867065429687,1594.708210633594
1.5231371999980183,1715323299042362.8,457506911247761.25,7304386741923132.0,612.8350280761719,1595.1000962994513
1.5241322000001674,1691507478519262.2,450685089184792.44,7220295847106634.0,613.8007568359375,1594.5960682520217
1.5251272000023164,1679596019495563.8,447271565743203.2,7178258857692387.0,614.2811340332031,1594.3436538071064
1.526123200004804,1688860602222251.0,449926652825904.8,7210953473283283.0,613.9076293945312,1594.5399969701302
1.527118199999677,1695478573748424.8,451822869122650.3,7234313465879710.0,613.6402648925781,1594.6801717919611
1.5281142000021646,1679596019495563.8,447271565743203.2,7178258857692387.0,614.2811340332031,1594.3436538071064
1.5291092000043136,1671660078522703.2,444996738102309.25,7150259898598422.0,614.6004699707031,1594.175367325071
1.530104199999187,1679596019495563.8,447271565743203.2,7178258857692387.0,614.2811340332031,1594.3436538071064
1.5311002000016742,1691507478519262.2,450685089184792.44,7220295847106634.0,613.8007568359375,1594.5960682520217
1.5320952000038233,1679596019495563.8,447271565743203.2,7178258857692387.0,614.2811340332031,1594.3436538071064
1.5330911999990349,1678272722873957.8,446892277008868.44,7173589662684882.0,614.3344177246094,1594.3155989288502
1.534086200001184,1691507478519262.2,450685089184792.44,7220295847106634.0,613.8007568359375,1594.5960682520217
1.535081200003333,1680919693347949.0,447650949542016.2,7182929560799801.0,614.2278198242187,1594.371714091461
1.5360771999985443,1687536452301993.8,449547211043934.6,7206280035701443.0,613.9610656738281,1594.5119422869811
1.5370722000006936,1690184281813192.0,450305946736307.06,7215625425370674.0,613.8541931152344,1594.5680390486064
1.5380682000031811,1695478573748424.8,451822869122650.3,7234313465879710.0,613.6402648925781,1594.6801717919611
1.5390631999980542,1641324425758498.0,436296730795028.75,7043292420578094.0,615.8180297851562,1593.5312440640978
1.5400582000002032,1638696309497743.0,435542684981070.06,7034029970572688.0,615.9234069824219,1593.475379436798
1.5410542000026908,1650537174930409.5,438939596358472.0,7075767463182390.0,615.448583984375,1593.7269986370434
1.5420492000048398,1630823871540937.2,433283653036018.0,7006289153382664.0,616.2390808105469,1593.307981168882
1.5430452000000514,1611235785285889.8,427660715105122.9,6937295232583612.0,617.025244140625,1592.8910917285043
1.5440402000022004,1613839162919689.2,428408207998511.5,6946462399944964.0,616.9206604003906,1592.9465292745726
1.5450352000043497,1606039006872002.8,426168436802987.7,6918998419775787.0,617.2341369628906,1592.7804013696
1.546031199999561,1609935611075345.5,427287383900370.4,6932717280491271.0,617.077490234375,1592.8634017358754
1.54702620000171,1590524466003257.8,421712107567187.06,6864394216006192.0,617.8590454101562,1592.4497254795579
1.5480222000041977,1600854625854805.8,424679508654598.75,6900748468898454.0,617.442724609375,1592.6699383265782
1.5490171999990707,1615141583497725.2,428782144910524.25,6951048857883978.0,616.8683532714844,1592.9742601470166
1.5500122000012198,1591813374380384.5,422082400551096.06,6868929466664084.0,617.8070434570312,1592.4772096814515
1.551008200003707,1620358657912126.5,430279884049359.06,6969422694003797.0,616.6589111328125,1593.085317703611
1.5520031999985804,1612536973045506.2,428034324235224.5,6941876952572075.0,616.9729675292969,1592.9188009914703
1.552999200001068,1594391704641443.2,422823094347908.3,6878002394844803.0,617.7030700683594,1592.5321822426438
1.553994200003217,1577695369715551.8,418025683486788.75,6819264245992948.0,618.3776916503906,1592.176039180465
1.5549901999984286,1572591352206366.2,416558678302119.0,6801315334648023.0,618.5846313476562,1592.0670914532398
1.5559852000005776,1575141084861671.5,417291553459180.0,6810281358369353.0,618.4812072753906,1592.1215211826916
1.5569802000027266,1563700536055069.0,414002749699397.75,6770057954947869.0,618.9460510253906,1591.8772275092856
