# S/XB Table for B I 821.2 nm (2s2p² ²D → 4f ²F)
# Generated by standalone CR model
# WARNING: Uses simplified atomic physics - validate with ADAS
#
# Te range: 2.00 - 50.00 eV
# ne range: 1.00e+18 - 3.16e+19 m^-3
#
# Format: Te(eV)  ne(m^-3)  S/XB(ph/ion)
#============================================================
   2.000   1.00000e+18   2.23787e-03
   2.000   1.10692e+18   2.47676e-03
   2.000   1.22528e+18   2.74110e-03
   2.000   1.35629e+18   3.03360e-03
   2.000   1.50131e+18   3.35724e-03
   2.000   1.66184e+18   3.71533e-03
   2.000   1.83953e+18   4.11151e-03
   2.000   2.03621e+18   4.54980e-03
   2.000   2.25393e+18   5.03466e-03
   2.000   2.49493e+18   5.57100e-03
   2.000   2.76170e+18   6.16425e-03
   2.000   3.05699e+18   6.82038e-03
   2.000   3.38386e+18   7.54600e-03
   2.000   3.74567e+18   8.34839e-03
   2.000   4.14617e+18   9.23557e-03
   2.000   4.58949e+18   1.02164e-02
   2.000   5.08022e+18   1.13006e-02
   2.000   5.62341e+18   1.24989e-02
   2.000   6.22469e+18   1.38231e-02
   2.000   6.89025e+18   1.52862e-02
   2.000   7.62699e+18   1.69023e-02
   2.000   8.44249e+18   1.86872e-02
   2.000   9.34519e+18   2.06580e-02
   2.000   1.03444e+19   2.28335e-02
   2.000   1.14505e+19   2.52341e-02
   2.000   1.26748e+19   2.78824e-02
   2.000   1.40300e+19   3.08028e-02
   2.000   1.55302e+19   3.40221e-02
   2.000   1.71907e+19   3.75693e-02
   2.000   1.90288e+19   4.14759e-02
   2.000   2.10634e+19   4.57760e-02
   2.000   2.33156e+19   5.05065e-02
   2.000   2.58086e+19   5.57071e-02
   2.000   2.85682e+19   6.14206e-02
   2.000   3.16228e+19   6.76926e-02
   2.172   1.00000e+18   2.16296e-03
   2.172   1.10692e+18   2.39383e-03
   2.172   1.22528e+18   2.64931e-03
   2.172   1.35629e+18   2.93199e-03
   2.172   1.50131e+18   3.24476e-03
   2.172   1.66184e+18   3.59081e-03
   2.172   1.83953e+18   3.97367e-03
   2.172   2.03621e+18   4.39721e-03
   2.172   2.25393e+18   4.86575e-03
   2.172   2.49493e+18   5.38401e-03
   2.172   2.76170e+18   5.95725e-03
   2.172   3.05699e+18   6.59122e-03
   2.172   3.38386e+18   7.29232e-03
   2.172   3.74567e+18   8.06755e-03
   2.172   4.14617e+18   8.92467e-03
   2.172   4.58949e+18   9.87221e-03
   2.172   5.08022e+18   1.09196e-02
   2.172   5.62341e+18   1.20771e-02
   2.172   6.22469e+18   1.33561e-02
   2.172   6.89025e+18   1.47691e-02
   2.172   7.62699e+18   1.63299e-02
   2.172   8.44249e+18   1.80534e-02
   2.172   9.34519e+18   1.99562e-02
   2.172   1.03444e+19   2.20564e-02
   2.172   1.14505e+19   2.43737e-02
   2.172   1.26748e+19   2.69297e-02
   2.172   1.40300e+19   2.97480e-02
   2.172   1.55302e+19   3.28541e-02
   2.172   1.71907e+19   3.62758e-02
   2.172   1.90288e+19   4.00435e-02
   2.172   2.10634e+19   4.41898e-02
   2.172   2.33156e+19   4.87500e-02
   2.172   2.58086e+19   5.37619e-02
   2.172   2.85682e+19   5.92664e-02
   2.172   3.16228e+19   6.53069e-02
   2.359   1.00000e+18   2.09618e-03
   2.359   1.10692e+18   2.31991e-03
   2.359   1.22528e+18   2.56748e-03
   2.359   1.35629e+18   2.84140e-03
   2.359   1.50131e+18   3.14449e-03
   2.359   1.66184e+18   3.47981e-03
   2.359   1.83953e+18   3.85078e-03
   2.359   2.03621e+18   4.26118e-03
   2.359   2.25393e+18   4.71515e-03
   2.359   2.49493e+18   5.21730e-03
   2.359   2.76170e+18   5.77268e-03
   2.359   3.05699e+18   6.38689e-03
   2.359   3.38386e+18   7.06610e-03
   2.359   3.74567e+18   7.81710e-03
   2.359   4.14617e+18   8.64739e-03
   2.359   4.58949e+18   9.56522e-03
   2.359   5.08022e+18   1.05797e-02
   2.359   5.62341e+18   1.17007e-02
   2.359   6.22469e+18   1.29394e-02
   2.359   6.89025e+18   1.43077e-02
   2.359   7.62699e+18   1.58190e-02
   2.359   8.44249e+18   1.74877e-02
   2.359   9.34519e+18   1.93298e-02
   2.359   1.03444e+19   2.13627e-02
   2.359   1.14505e+19   2.36055e-02
   2.359   1.26748e+19   2.60789e-02
   2.359   1.40300e+19   2.88057e-02
   2.359   1.55302e+19   3.18104e-02
   2.359   1.71907e+19   3.51199e-02
   2.359   1.90288e+19   3.87631e-02
   2.359   2.10634e+19   4.27714e-02
   2.359   2.33156e+19   4.71787e-02
   2.359   2.58086e+19   5.20212e-02
   2.359   2.85682e+19   5.73379e-02
   2.359   3.16228e+19   6.31703e-02
   2.562   1.00000e+18   2.03650e-03
   2.562   1.10692e+18   2.25385e-03
   2.562   1.22528e+18   2.49435e-03
   2.562   1.35629e+18   2.76045e-03
   2.562   1.50131e+18   3.05486e-03
   2.562   1.66184e+18   3.38059e-03
   2.562   1.83953e+18   3.74094e-03
   2.562   2.03621e+18   4.13958e-03
   2.562   2.25393e+18   4.58053e-03
   2.562   2.49493e+18   5.06825e-03
   2.562   2.76170e+18   5.60767e-03
   2.562   3.05699e+18   6.20420e-03
   2.562   3.38386e+18   6.86383e-03
   2.562   3.74567e+18   7.59315e-03
   2.562   4.14617e+18   8.39943e-03
   2.562   4.58949e+18   9.29066e-03
   2.562   5.08022e+18   1.02757e-02
   2.562   5.62341e+18   1.13641e-02
   2.562   6.22469e+18   1.25666e-02
   2.562   6.89025e+18   1.38949e-02
   2.562   7.62699e+18   1.53618e-02
   2.562   8.44249e+18   1.69814e-02
   2.562   9.34519e+18   1.87690e-02
   2.562   1.03444e+19   2.07416e-02
   2.562   1.14505e+19   2.29175e-02
   2.562   1.26748e+19   2.53168e-02
   2.562   1.40300e+19   2.79614e-02
   2.562   1.55302e+19   3.08751e-02
   2.562   1.71907e+19   3.40836e-02
   2.562   1.90288e+19   3.76148e-02
   2.562   2.10634e+19   4.14991e-02
   2.562   2.33156e+19   4.57687e-02
   2.562   2.58086e+19   5.04585e-02
   2.562   2.85682e+19   5.56059e-02
   2.562   3.16228e+19   6.12504e-02
   2.782   1.00000e+18   1.98304e-03
   2.782   1.10692e+18   2.19467e-03
   2.782   1.22528e+18   2.42883e-03
   2.782   1.35629e+18   2.68791e-03
   2.782   1.50131e+18   2.97456e-03
   2.782   1.66184e+18   3.29169e-03
   2.782   1.83953e+18   3.64252e-03
   2.782   2.03621e+18   4.03061e-03
   2.782   2.25393e+18   4.45989e-03
   2.782   2.49493e+18   4.93469e-03
   2.782   2.76170e+18   5.45978e-03
   2.782   3.05699e+18   6.04046e-03
   2.782   3.38386e+18   6.68253e-03
   2.782   3.74567e+18   7.39240e-03
   2.782   4.14617e+18   8.17713e-03
   2.782   4.58949e+18   9.04449e-03
   2.782   5.08022e+18   1.00030e-02
   2.782   5.62341e+18   1.10622e-02
   2.782   6.22469e+18   1.22323e-02
   2.782   6.89025e+18   1.35246e-02
   2.782   7.62699e+18   1.49516e-02
   2.782   8.44249e+18   1.65270e-02
   2.782   9.34519e+18   1.82657e-02
   2.782   1.03444e+19   2.01840e-02
