# SDTrimSP: VERSION 7.03    20.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (back_sputtered-recoil)       
        4000         640  ! NH NR
#     species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.55520E+02  0.80363E+01  0.54594E+02 -0.47644E+00 -0.47084E+01  0.55682E+02 -0.26945E+01  0.12745E+02  0.24473E+01  0.22181E+01  0.96868E+00 -0.92276E+00  0.75960E+01  0.63427E+02  0.60382E+02  0.12308E+02  0.00000E+00  0.21601E+02
            2            1  0.12500E+00  0.16303E+02  0.49369E+01  0.45768E+02  0.19876E+01 -0.47852E+01  0.48877E+02 -0.33616E+01  0.97222E+01  0.31092E+01  0.53492E+01  0.82474E+00  0.48418E+00  0.58318E+01  0.27802E+02  0.25813E+02  0.52774E+01  0.00000E+00  0.24774E+02
            2            1  0.12500E+00  0.13833E+03  0.10335E+02  0.71097E+02 -0.70486E+00 -0.38655E+01  0.80407E+02 -0.12349E+01  0.14200E+02  0.93108E+01  0.83438E+00  0.94385E+00  0.99904E+00  0.11661E+02  0.19798E+03  0.19319E+03  0.27500E+02  0.17205E+03  0.22694E+02
            2            1  0.12500E+00  0.20781E+02  0.13295E+01  0.23174E+02 -0.82585E-02 -0.39527E+01  0.23346E+02 -0.53444E+01  0.52822E+01  0.31416E+00  0.53361E+01  0.78555E+00 -0.63569E-01  0.16319E+01  0.82016E+01  0.76364E+01  0.22844E+01  0.00000E+00  0.12764E+02
            2            1  0.12500E+00  0.61292E+03  0.83668E+01  0.18119E+03  0.36646E+02 -0.43285E+01  0.18652E+03  0.45966E+02  0.12695E+02  0.53208E+01  0.93192E+01  0.86877E+00  0.97203E+00  0.11773E+02  0.29528E+03  0.29232E+03  0.53277E+02  0.24923E+03  0.10107E+02
            2            1  0.12500E+00  0.30492E+01  0.56587E+00  0.19700E+02  0.42915E-01 -0.47850E+01  0.20970E+02  0.22029E+01  0.53508E+01  0.12701E+01  0.21600E+01  0.77393E+00  0.50687E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.23099E+00  0.00000E+00  0.56246E+01
            2            1  0.12500E+00  0.76141E+02  0.80868E+01  0.55777E+02  0.69199E+00 -0.40639E+01  0.58214E+02  0.56040E+01  0.12151E+02  0.24375E+01  0.49120E+01  0.93151E+00  0.11193E+00  0.76331E+01  0.84206E+02  0.80350E+02  0.15471E+02  0.69612E+02  0.19279E+02
            2            1  0.12500E+00  0.50717E+02  0.11907E+01  0.22440E+02  0.16289E-01 -0.43401E+01  0.24171E+02  0.11664E+01  0.55307E+01  0.17316E+01  0.11501E+01  0.93116E+00  0.83300E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.13247E+01  0.00000E+00  0.40549E+01
            2            1  0.12500E+00  0.12353E+01  0.14680E+01  0.24240E+02  0.13017E-01 -0.42775E+01  0.25590E+02 -0.26473E+00  0.57455E+01  0.13499E+01  0.27775E+00  0.88341E+00  0.97948E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.49262E+00  0.00000E+00  0.15626E+02
            2            1  0.12500E+00  0.13392E+02  0.16148E+01  0.11651E+04  0.12530E+03 -0.49982E+01  0.11610E+04  0.12592E+03  0.66130E+01  0.40518E+01  0.67953E+00  0.79970E+00 -0.99983E+00  0.19695E+01  0.26759E+01  0.26759E+01  0.12675E+01  0.00000E+00  0.10374E+02
#ende
          10   number particle from SDTrimSP
