# SDTrimSP: VERSION 7.03    17.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
       10000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E+00  0.25719E+02  0.25630E+02  0.67184E+02 -0.60011E+01  0.27842E+02  0.69034E+02 -0.54916E+01  0.22123E+01  0.18506E+01  0.50952E+00  0.00000E+00  0.00000E+00  0.31684E+01  0.24254E+02  0.22797E+02  0.14655E+01  0.00000E+00  0.18037E+02
            2            1  0.10000E+00  0.45021E+02  0.32066E+01  0.81530E+02  0.16497E+02  0.18363E+01  0.82771E+02  0.17235E+02  0.87786E+00  0.18855E+01  0.10691E+01  0.00000E+00  0.00000E+00  0.25885E+01  0.43596E+02  0.41942E+02  0.14253E+01  0.37490E+02  0.18004E+02
            2            1  0.10000E+00  0.26205E+02  0.10974E+02  0.70755E+02  0.16579E+02  0.13964E+02  0.69050E+02  0.17547E+02  0.29897E+01  0.17046E+01  0.10403E+01  0.00000E+00  0.00000E+00  0.42108E+01  0.24424E+02  0.22588E+02  0.17809E+01  0.00000E+00  0.38440E+02
            2            1  0.10000E+00  0.88471E+02  0.18250E+01  0.30332E+02 -0.14034E+01  0.30469E+01  0.33232E+02 -0.46370E+01  0.12219E+01  0.33740E+01  0.32336E+01  0.00000E+00  0.00000E+00  0.65433E+01  0.83018E+02  0.79903E+02  0.54530E+01  0.52229E+02  0.30303E+02
            2            1  0.10000E+00  0.25849E+02  0.11932E+02  0.33554E+02  0.10224E+02  0.12035E+02  0.34875E+02  0.10599E+02  0.10250E+00  0.13207E+01  0.37520E+00  0.00000E+00  0.00000E+00  0.13767E+01  0.25849E+02  0.24771E+02  0.00000E+00  0.00000E+00  0.64711E+01
            2            1  0.10000E+00  0.99818E+02  0.38521E+02  0.71544E+02 -0.63837E+01  0.40376E+02  0.72731E+02 -0.36311E+01  0.16354E+01  0.12965E+01  0.23342E+01  0.00000E+00  0.00000E+00  0.33908E+01  0.97451E+02  0.96217E+02  0.23671E+01  0.94567E+02  0.10146E+02
            2            1  0.10000E+00  0.55590E+02  0.42416E+02  0.74902E+02 -0.30169E+02  0.42139E+02  0.76277E+02 -0.31625E+02  0.17961E+01  0.35606E+01  0.92332E+00  0.00000E+00  0.00000E+00  0.45248E+01  0.52922E+02  0.50764E+02  0.26680E+01  0.33376E+02  0.28937E+02
            2            1  0.10000E+00  0.36595E+02  0.74395E+02  0.47890E+02  0.51034E+02  0.74422E+02  0.47119E+02  0.55587E+02  0.38381E+00  0.77138E+00  0.45530E+01  0.00000E+00  0.00000E+00  0.49964E+01  0.33006E+02  0.30144E+02  0.31905E+01  0.00000E+00  0.27812E+02
            2            1  0.10000E+00  0.25066E+02  0.21233E+01  0.16624E+02  0.33755E+01  0.28541E+01  0.15514E+02  0.37785E+01  0.73079E+00  0.11093E+01  0.40308E+00  0.00000E+00  0.00000E+00  0.13882E+01  0.25066E+02  0.24663E+02  0.00000E+00  0.00000E+00  0.66275E+01
            2            1  0.10000E+00  0.29440E+02  0.24019E+02  0.57677E+02  0.27056E+00  0.26190E+02  0.59417E+02  0.43414E+00  0.21716E+01  0.17395E+01  0.39051E+00  0.00000E+00  0.00000E+00  0.29216E+01  0.28311E+02  0.27185E+02  0.11293E+01  0.00000E+00  0.17834E+02
#ende
          10   number particle from SDTrimSP
