# SDTrimSP: VERSION 7.03    18.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
        4000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.54956E+03  0.26534E+02  0.26066E+03 -0.18238E+02  0.24391E+02  0.26040E+03 -0.31005E+02  0.20113E+01  0.43185E+01  0.13095E+02  0.00000E+00  0.00000E+00  0.17090E+02  0.50579E+03  0.50115E+03  0.43364E+02  0.46007E+03  0.25968E+02
            2            1  0.12500E+00  0.81336E+02  0.66519E+01  0.45058E+02  0.43786E+00  0.11748E+02  0.45464E+02 -0.64457E+01  0.50964E+01  0.40615E+00  0.68835E+01  0.00000E+00  0.00000E+00  0.87657E+01  0.73698E+02  0.69629E+02  0.76383E+01  0.00000E+00  0.36446E+02
            2            1  0.12500E+00  0.33030E+02  0.55801E+02  0.29285E+03  0.21745E+02  0.51998E+02  0.29289E+03  0.20636E+02  0.38031E+01  0.69218E+00  0.11364E+01  0.00000E+00  0.00000E+00  0.46602E+01  0.30871E+02  0.29147E+02  0.21590E+01  0.00000E+00  0.30793E+02
            2            1  0.12500E+00  0.13582E+03  0.25011E+03  0.58439E+03  0.26468E+03  0.25929E+03  0.59248E+03  0.26557E+03  0.91826E+01  0.80902E+01  0.11633E+01  0.00000E+00  0.00000E+00  0.14191E+02  0.12074E+03  0.11534E+03  0.15084E+02  0.43303E+02  0.61866E+02
            2            1  0.12500E+00  0.18903E+03  0.17825E+03  0.65180E+03  0.35877E+03  0.16793E+03  0.65795E+03  0.34985E+03  0.10080E+02  0.58486E+01  0.91067E+01  0.00000E+00  0.00000E+00  0.16466E+02  0.16459E+03  0.15856E+03  0.24437E+02  0.10292E+03  0.43344E+02
            2            1  0.12500E+00  0.51545E+02  0.17921E+03  0.65304E+03  0.37248E+03  0.17835E+03  0.65459E+03  0.37335E+03  0.53485E+00  0.20005E+01  0.62341E+00  0.00000E+00  0.00000E+00  0.23831E+01  0.49996E+02  0.49119E+02  0.15492E+01  0.45416E+02  0.17585E+02
            2            1  0.12500E+00  0.41772E+02  0.19087E+03  0.55354E+03  0.43194E+03  0.19056E+03  0.55243E+03  0.43034E+03  0.36920E+00  0.89562E+00  0.11438E+01  0.00000E+00  0.00000E+00  0.14989E+01  0.39613E+02  0.39285E+02  0.13507E+01  0.37985E+02  0.55345E+01
            2            1  0.12500E+00  0.25265E+02  0.99498E+01  0.59433E+02  0.14193E+01  0.12491E+02  0.58583E+02  0.27035E+01  0.25416E+01  0.84955E+00  0.12843E+01  0.00000E+00  0.00000E+00  0.31523E+01  0.24181E+02  0.23545E+02  0.10831E+01  0.00000E+00  0.17392E+02
            2            1  0.12500E+00  0.39020E+03  0.18787E+02  0.11759E+03  0.68314E+01  0.25618E+02  0.12852E+03  0.57835E+01  0.68318E+01  0.10933E+02  0.32721E+01  0.00000E+00  0.00000E+00  0.14927E+02  0.36688E+03  0.36205E+03  0.23320E+02  0.30171E+03  0.39443E+02
            2            1  0.12500E+00  0.49799E+02  0.33952E+02  0.19532E+03 -0.21583E+02  0.31071E+02  0.19707E+03 -0.23167E+02  0.25400E+01  0.15090E+01  0.12346E+01  0.00000E+00  0.00000E+00  0.33567E+01  0.48172E+02  0.47292E+02  0.16266E+01  0.31822E+02  0.12815E+02
#ende
          10   number particle from SDTrimSP
