# SDTrimSP: VERSION 7.03    17.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (back_sputtered-recoil)       
       10000         640  ! NH NR
#     species     gen/coll      fluence   end-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.10000E+00  0.35865E+02  0.93248E+00  0.17629E+03 -0.93760E+00 -0.48137E+01  0.17534E+03 -0.19263E+01  0.57461E+01  0.95622E+00  0.98866E+00  0.96961E+00 -0.69522E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.85039E+00  0.00000E+00  0.35866E+01
            2            1  0.10000E+00  0.36209E+01  0.29121E+01  0.10916E+03 -0.31601E+01 -0.43800E+01  0.10940E+03 -0.32422E+01  0.72922E+01  0.45985E+00  0.80687E+00  0.97700E+00 -0.24428E+00  0.15388E+01  0.36147E+02  0.35689E+02  0.21234E+01  0.33112E+02  0.19969E+02
            2            1  0.10000E+00  0.38445E+02  0.42924E+00  0.11904E+03  0.41556E+02 -0.51962E+01  0.12082E+03  0.41285E+02  0.56254E+01  0.17864E+01  0.27078E+00  0.94729E+00  0.98871E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.41029E+00  0.00000E+00  0.16388E+01
            2            1  0.10000E+00  0.18467E+02  0.74033E-01  0.18605E+02  0.19553E-01 -0.35075E+01  0.20017E+02 -0.81395E+00  0.35816E+01  0.14118E+01  0.83350E+00  0.88971E+00  0.86112E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.53573E-01  0.00000E+00  0.40862E+00
            2            1  0.10000E+00  0.93096E+02  0.23521E+00  0.48970E+02 -0.70516E+01 -0.34857E+01  0.49904E+02 -0.11545E+02  0.37209E+01  0.93336E+00  0.44937E+01  0.61015E+00  0.20336E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.51381E+00  0.00000E+00  0.89712E+00
            2            1  0.10000E+00  0.59105E+01  0.17653E+01  0.86065E+02  0.35923E+01 -0.41270E+01  0.86387E+02  0.32972E+01  0.58923E+01  0.32211E+00  0.29515E+00  0.99552E+00  0.73729E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.79816E+00  0.00000E+00  0.13213E+02
            2            1  0.10000E+00  0.22727E+02  0.71926E+00  0.21337E+02 -0.30274E+00 -0.36729E+01  0.23779E+02  0.28044E+01  0.43921E+01  0.24424E+01  0.31071E+01  0.69193E+00  0.61799E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.70333E+00  0.00000E+00  0.44216E+01
            2            1  0.10000E+00  0.16663E+02  0.25289E+00  0.18840E+02  0.96846E-01 -0.33755E+01  0.20350E+02 -0.17041E+00  0.36284E+01  0.15096E+01  0.26725E+00  0.90245E+00  0.98469E+00  0.00000E+00  0.00000E+00  0.00000E+00  0.17367E+00  0.00000E+00  0.14352E+01
            2            1  0.10000E+00  0.33777E+02  0.31450E+01  0.34788E+02  0.33340E+00 -0.39013E+01  0.41251E+02 -0.45578E+00  0.70462E+01  0.64632E+01  0.78919E+00  0.66444E+00  0.97082E+00  0.39053E+01  0.13663E+02  0.13190E+02  0.40193E+01  0.00000E+00  0.15304E+02
            2            1  0.10000E+00  0.16940E+03  0.23441E+01  0.39020E+02 -0.54532E+00 -0.33501E+01  0.52891E+02 -0.89937E+01  0.56942E+01  0.13871E+02  0.84483E+01  0.42366E+00  0.94189E+00  0.98331E+01  0.53237E+02  0.51137E+02  0.21094E+02  0.40186E+02  0.16310E+02
#ende
          10   number particle from SDTrimSP
