# SDTrimSP: VERSION 7.03    20.08.2025
T -> B  flux=5E20                                                               
          10   maxnumber (stopped-recoil E(start)>ED)  
        4000         640  ! NH NR
#     species     gen/coll      fluence start-energy      x_start      y_start      z_start        x_end        y_end        z_end        x_max        y_max        z_max         cosp         cosa   pathlength e_transf_sum     e_transf   e_con_elec  e_transf>ED         time
            2            1  0.12500E+00  0.31770E+02  0.96951E+02  0.52199E+03 -0.67372E+02  0.98535E+02  0.52158E+03 -0.65216E+02  0.15837E+01  0.40898E+00  0.21563E+01  0.00000E+00  0.00000E+00  0.30869E+01  0.30504E+02  0.29328E+02  0.12665E+01  0.00000E+00  0.16902E+02
            2            1  0.12500E+00  0.10936E+03  0.12486E+03  0.81516E+03 -0.15161E+03  0.12171E+03  0.81647E+03 -0.16238E+03  0.36504E+01  0.20186E+01  0.10764E+02  0.00000E+00  0.00000E+00  0.12458E+02  0.97912E+02  0.93487E+02  0.11452E+02  0.00000E+00  0.54579E+02
            2            1  0.12500E+00  0.32056E+02  0.22336E+03  0.98485E+03 -0.15881E+03  0.22299E+03  0.98660E+03 -0.15739E+03  0.10658E+01  0.17551E+01  0.14171E+01  0.00000E+00  0.00000E+00  0.29109E+01  0.30531E+02  0.28717E+02  0.15255E+01  0.00000E+00  0.19558E+02
            2            1  0.12500E+00  0.75887E+02  0.52176E+03  0.12352E+04 -0.14403E+03  0.51853E+03  0.12447E+04 -0.14438E+03  0.32296E+01  0.95582E+01  0.58737E+00  0.00000E+00  0.00000E+00  0.10537E+02  0.67752E+02  0.64528E+02  0.81352E+01  0.00000E+00  0.52213E+02
            2            1  0.12500E+00  0.34840E+02  0.56201E+03  0.12332E+04 -0.13627E+03  0.56315E+03  0.12359E+04 -0.13503E+03  0.11483E+01  0.26434E+01  0.12394E+01  0.00000E+00  0.00000E+00  0.32945E+01  0.33525E+02  0.33901E+02  0.13155E+01  0.00000E+00  0.14862E+02
            2            1  0.12500E+00  0.27528E+02  0.57084E+03  0.12264E+04 -0.13225E+03  0.57287E+03  0.12292E+04 -0.13203E+03  0.20285E+01  0.27641E+01  0.12031E+01  0.00000E+00  0.00000E+00  0.45043E+01  0.25358E+02  0.22920E+02  0.21698E+01  0.00000E+00  0.33787E+02
            2            1  0.12500E+00  0.41136E+02  0.57529E+03  0.12199E+04 -0.13176E+03  0.57269E+03  0.12164E+04 -0.13453E+03  0.26035E+01  0.37350E+01  0.27686E+01  0.00000E+00  0.00000E+00  0.61092E+01  0.37879E+02  0.34367E+02  0.32567E+01  0.00000E+00  0.49768E+02
            2            1  0.12500E+00  0.20784E+03  0.67250E+03  0.10892E+04 -0.19737E+03  0.67020E+03  0.10879E+04 -0.20026E+03  0.22882E+01  0.12317E+01  0.34550E+01  0.00000E+00  0.00000E+00  0.49939E+01  0.19932E+03  0.19785E+03  0.79833E+01  0.18482E+03  0.16065E+02
            2            1  0.12500E+00  0.30342E+02  0.70904E+03  0.11075E+04 -0.16882E+03  0.71114E+03  0.11059E+04 -0.16533E+03  0.20996E+01  0.16110E+01  0.34958E+01  0.00000E+00  0.00000E+00  0.45994E+01  0.28190E+02  0.25461E+02  0.21516E+01  0.00000E+00  0.32728E+02
            2            1  0.12500E+00  0.29576E+02  0.19917E+02  0.14395E+03 -0.71844E+00  0.23875E+02  0.14147E+03 -0.32892E+01  0.39582E+01  0.24762E+01  0.25708E+01  0.00000E+00  0.00000E+00  0.58973E+01  0.26646E+02  0.24456E+02  0.29303E+01  0.00000E+00  0.48590E+02
#ende
          10   number particle from SDTrimSP
